Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchange Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Others,,,,,,,,,,
S.N. ,Security Name,,,,,Previous Year Closing Price,,Current Year Closing Price,,Difference
1,Nepal Doorsanchar Comapany Limited,,,,,655,,1314,,659
2,Nepal Film Development Company Limited,,,,,34,,34,,0
3,Nepal Reinsurance Company Limited,,,,,504,,1594,,1090
,,,,,,,,,,
Tradings,,,,,,,,,,
S.N. ,Security Name,,,,,Previous Year Closing Price,,Current Year Closing Price,,Difference
1,Bishal Bazar Company Limited,,,,,1561,,5600,,4039
2,Nepal Tading Limited,,,,,56,,56,,0
3,Nepal Welfare Company Limited,,,,,95,,95,,0
4,Salt Trading Corporation,,,,,2815,,9849,,7034
