Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Nepal Stock Exchange Limited,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
7,Global IME Bank Limited,,GBIME,216325031,100,,,,21632.5,61902051,23926.44,,285068,522,243,441,,386.52,,246,,,95399.34
8,Himalayan Bank Limited,,HBL,106844009,100,,,,10684.4,3686575,2150.41,,28701,749,477,484,,583.31,,202,,,51712.5
9,Kumari Bank Limited,,KBL,138784749,100,,,,13878.47,67291188,19721.69,,207746,405,180,371,,293.08,,246,,,51489.14
10,Laxmi Bank Limited,,LBL,106956896,100,,,,10695.69,25472618,8094.76,,86138,447,208,395,,317.78,,246,,,42247.97
11,Machhapuchhre Bank Limited,,MBL,90531088,100,,,,9053.11,29707170,9183.35,,90520,424,219,385,,309.13,,246,,,34854.47
12,Mega  Bank Nepal Ltd.,,MEGA,146549648,100,,,,14654.96,50787991,15315.94,,183542,397,209,366,,301.57,,246,,,53637.17
13,Nabil Bank Limited,,NABIL,134801584,100,,,,13480.16,25496620,30689.79,,200204,1550,774,1359,,1203.68,,246,,,183195.35
14,Nepal Bangladesh Bank Limited,,NBB,90048212,100,,,,9004.82,48327632,16147.35,,156355,456,190,436,,334.12,,246,,,39261.02
15,Nepal Bank Limited,,NBL,126367587,100,,,,12636.76,69495554,27417.54,,178094,491,244,443,,394.52,,246,,,55980.84
16,Nepal Credit And Commercial Bank Limited,,NCCB,103145174,100,,,,10314.52,60428941,19465.43,,141755,395,185,367,,322.12,,246,,,37854.28
17,Nepal Investment Bank Limited,,NIB,162573295,100,,,,16257.33,14941013,7029.5,,91341,557,403,460,,470.48,,202,,,74783.72
18,Nepal SBI Bank Limited,,SBI,94935779,100,,,,9493.58,9760763,4162.32,,44783,506,385,409,,426.43,,246,,,38828.73
19,NIC Asia Bank Ltd.,,NICA,115640056,100,,,,11564.01,40110055,32431.9,,192931,1027,537,994,,808.57,,246,,,114946.22
20,NMB Bank Limited,,NMB,163259616,100,,,,16325.96,40325366,17537.28,,186643,505,379,440,,434.89,,246,,,71834.23
21,Prabhu  Bank Limited,,PRVU,113470576,100,,,,11347.06,62349370,24527.02,,220225,514,222,457,,393.38,,246,,,51856.05
22,Prime Commercial Bank Ltd.,,PCBL,160830368,100,,,,16083.04,39798396,16312.98,,143864,498,257,479,,409.89,,246,,,77037.75
23,Sanima Bank Limited,,SANIMA,96815192,100,,,,9681.52,31744266,12444.09,,121249,512,300,485,,392.01,,246,,,46955.37
24,Siddhartha Bank Limited,,SBL,109622992,100,,,,10962.3,31907856,13294.26,,106749,533,287,504,,416.65,,246,,,55249.99
25,Standard Chartered Bank Limited,,SCB,85722304,100,,,,8572.23,7932176,5010.71,,69942,754,552,590,,631.69,,246,,,50576.16
26,Sunrise Bank Limited,,SRBL,94879448,100,,,,9487.94,26671433,8322.73,,88983,406,223,363,,312.05,,246,,,34441.24
,Grand Total,,,3046923152,,,,,304692.31999999995,950120715,378012.14,,3576301,,,,,,,,,,1513049.96
,,,,,,,,,,,,,,,,,,,,,,,
Debentures,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,10% Himalayan Bank Debenture 2083,,HBLD83,0,1000,,,,0,7810,8.21,,124,1128,1020,1128,,1051.74,,73,,,0
2,10% Laxmi Bank Debenture 2086,,LBLD86,0,1000,,,,0,1166,1.23,,37,1076,1042,1060,,1054.01,,23,,,0
3,10% Nabil Debenture 2082,,NBLD82,0,1000,,,,0,2310,2.44,,57,1106,1000,1106,,1054.44,,27,,,0
4,10% Nepal SBI Bank Debenture 2086,,SBIBD86,0,1000,,,,0,13997,14.63,,127,1071,364,1065,,1045.17,,81,,,0
5,10% Prabhu Bank Debenture 2084,,PBLD84,0,1000,,,,0,54426,57.16,,450,1100,1000,1050,,1050.15,,140,,,0
6,10% Sanima Bank Limited Debenture,,SAND2085,2000000,1000,,,,2000,26282,27.34,,520,1111,995,1111,,1040.4,,195,,,0
7,10% Sunrise Debenture 2080,,SRD80,1000000,1000,,,,1000,8000,8.4,,124,1086,1000,1048,,1049.7,,58,,,0
8,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,,GBD80/81,103105160,1000,,,,103105.16,19259,20.29,,183,1085,1010,1076,,1053.52,,99,,,0
9,10.25% KBL Debenture 2086,,KBLD86,0,1000,,,,0,61868,66.57,,118,1141,344,1141,,1075.98,,67,,,0
10,10.25% Machhapuchhre Bank Debenture 2085,,MBLD2085,0,1000,,,,0,4600,4.91,,66,1119,1000,1119,,1066.58,,27,,,0
11,10.25% NBBL Debenture 2085,,NBBD2085,0,1000,,,,0,4596,4.9,,113,1145,1020,1145,,1065.45,,56,,,0
12,10.25% NIC Asia Debenture 2083/84,,NICD83/84,0,1000,,,,0,12070,12.76,,119,1123,1000,1112,,1057.36,,77,,,0
13,10.25% Prabhu Bank  Debenture 2086,,PBLD86,0,1000,,,,0,1970,2.09,,38,1088,1050,1088,,1059.19,,18,,,0
14,10.25% SBL Debenture 2083,,SBLD83,0,1000,,,,0,1652,1.75,,37,1097,1000,1097,,1056.86,,24,,,0
15,10.25% Sunrise Bank Debenture 2083,,SRBLD83,0,1000,,,,0,73370,78.58,,214,1090,1000,1086,,1071.04,,116,,,0
16,10.35% Agricultural Bank Debenture 2083,,ADBLD83,0,1000,,,,0,14190,15.26,,255,1150,344,1083,,1075.67,,48,,,0
17,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,NIBD2082,0,1000,,,,0,7140,7.82,,98,1150,1000,1115,,1095.79,,69,,,0
18,10.50% SBL Debenture 2082,,SBLD2082,0,1000,,,,0,8491,9.06,,195,1134,1008,1134,,1067.54,,108,,,0
19,11% NIC Asia Debenture 082/83,,NICAD8283,0,1000,,,,0,42534,47.61,,496,1246,1030,1246,,1119.38,,184,,,0
20,12 % Goodwill Finance Limited Debenture 2083,,GWFD83,0,1000,,,,0,4308,5.12,,51,1242,344,1200,,1188.13,,9,,,0
21,12% ICFC Finance Limited Debenture 2083,,ICFCD83,0,1000,,,,0,14513,17.11,,230,1274,344,1264,,1178.66,,73,,,0
22,8.5% Sanima Debenture 2087,,SBD87,0,1000,,,,0,7262,7.27,,192,1010,990,1004,,1001.25,,29,,,0
23,8.5% SBL Debenture 2084,,SBLD84,0,1000,,,,0,5175,5.17,,138,1020,990,1001,,998.34,,29,,,0
24,9% NIC Asia Debenture 2081/82,,NICAD8182,0,1000,,,,0,4309,4.39,,115,1049,986,1018,,1018.56,,53,,,0
25,9.5% Manjushree Finance Limited Debenture 2085,,MFLD85,0,1000,,,,0,6982,7.11,,176,1055,992,1025,,1018.69,,55,,,0
,Grand Total,,,106105160,,,,,106105.16,408280,437.18,,4273,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,
Development Banks,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Corporate Development Bank Limited,,CORBL,2000000,100,,,,200,1622649,857.18,,15758,855,110,751,,528.26,,244,,,1502
2,Deva Bikas Bank Limited,,DBBL,0,100,,,,0,0,0,,0,147,142.79,142.79,,0,,0,,,0
3,Excel Development Bank Ltd.,,EDBL,8111213,100,,,,811.12,4535775,2607.79,,28406,964,293,855,,574.94,,245,,,6935.09
4,Gandaki Bikas Bank Limited,,GDBL,0,100,,,,0,0,0,,0,201,201,100,,0,,0,,,0
5,Garima Bikas Bank Limited,,GBBL,36759126,100,,,,3675.91,26005491,10223.5,,115392,627,223,544,,393.13,,246,,,19996.96
6,Green Development Bank Ltd.,,GRDBL,5190000,100,,,,519,5318494,1289.43,,32782,421,106,358,,242.44,,245,,,1858.02
7,Jyoti Bikas Bank Limited,,JBBL,38448228,100,,,,3844.82,37532333,12029,,165438,548,166,478,,320.5,,246,,,18378.25
8,Kamana Sewa Bikas Bank Limited,,KSBBL,26519640,100,,,,2651.96,29138537,10532.75,,115460,663,137,580,,361.47,,246,,,15381.39
9,Kanchan Development Bank Limited,,KADBL,0,100,,,,0,0,0,,0,283,283,283,,0,,0,,,0
10,Karnali Development Bank Limited,,KRBL,5300100,100,,,,530.01,6899416,1651.85,,35479,435,100,354,,239.42,,244,,,1876.24
11,Lumbini Bikas Bank Ltd.,,LBBL,29064536,100,,,,2906.45,27821160,11211.95,,90667,730,177,585,,403,,246,,,17002.75
12,Mahalaxmi Bikas Bank Ltd.,,MLBL,33424028,100,,,,3342.4,17930951,6065.66,,67269,514,183,445,,338.28,,246,,,14873.69
13,Miteri Development Bank Limited,,MDB,7973770,100,,,,797.38,5489497,2568.72,,29574,705,312,586,,467.93,,246,,,4672.63
14,Muktinath Bikas Bank Ltd.,,MNBBL,48115508,100,,,,4811.55,21695511,10366.54,,122246,745,307,657,,477.82,,246,,,31611.89
15,Narayani Development Bank Limited,,NABBC,1312338,100,,,,131.23,1287025,835.56,,13104,851,290,697,,649.22,,154,,,914.7
16,Nepal Community Development Bank Ltd.,,NCDB,0,100,,,,0,0,0,,0,145,145,145,,0,,0,,,0
17,NIDC Development Bank Ltd.,,NIDC,0,100,,,,0,0,0,,0,150,150,150,,0,,0,,,0
18,Sahara Bikas Bank Ltd.,,SHBL,2722707,100,,,,272.27,0,0,,0,460,460,460,,0,,0,,,1252.45
19,Sahayogi Bikas Bank Limited,,SBBLJ,0,100,,,,0,0,0,,0,197,197,197,,0,,0,,,0
20,Saptakoshi Development Bank Ltd,,SAPDBL,8343385,100,,,,834.34,7935743,2041.02,,38762,422,116,365,,257.19,,245,,,3045.34
21,Shangrila Development Bank Ltd.,,SADBL,27369724,100,,,,2736.97,18211264,5377.07,,61450,502,139,424,,295.26,,244,,,11604.76
22,Shine Resunga Development Bank Ltd.,,SHINE,34084640,100,,,,3408.46,16643217,5691.24,,77191,510,224,447,,341.96,,246,,,15235.83
23,Sindhu Bikash Bank Ltd,,SINDU,5574561,100,,,,557.46,9197393,2456.69,,39771,469,120,401,,267.11,,244,,,2235.4
24,Tinau Mission Development Bank Limited,,TMDBL,0,100,,,,0,949062,175.65,,3406,226,157,100,,185.08,,64,,,0
,Grand Total,,,320313504,,,,,32031.33,238213518,85981.59999999999,,1052155,,,,,,,,,,168377.39
,,,,,,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Best Finance Company Ltd.,,BFC,8289138,100,,,,828.91,10843455,2775.91,,57554,497,92,426,,256,,246,,,3531.17
2,Capital Merchant Bank & Finance Co. Ltd.,,CMB,9350695,100,,,,935.07,0,0,,0,140,140,140,,0,,0,,,1309.1
3,Central Finance Co. Ltd.,,CFCL,8810358,100,,,,881.04,9433466,2887.13,,41172,539,118,485,,306.05,,245,,,4273.02
4,City Express Finance Co. Limited,,CEFL,0,100,,,,0,0,0,,0,101,101,101,,0,,0,,,0
5,Crystal Finance Ltd.,,CFL,700000,100,,,,70,0,0,,0,117,117,117,,0,,0,,,81.9
6,Goodwill Finance Co. Ltd.,,GFCL,8672000,100,,,,867.2,6976907,2873.06,,34423,803,144,682,,411.8,,245,,,5914.3
7,Guheshowori Merchant Bank & Finance Co. Ltd.,,GMFIL,8640000,100,,,,864,6434373,2186,,23107,621,119,518,,339.74,,245,,,4475.52
8,Gurkhas Finance Ltd.,,GUFL,8679937,100,,,,867.99,10284730,5731.93,,46508,1444,114,1250,,557.32,,245,,,10849.92
9,Himalayan Finance Limited (Bittiya Sanstha),,HFL,1400000,100,,,,140,0,0,,0,18,18,18,,0,,0,,,25.2
10,ICFC Finance Limited,,ICFC,10242658,100,,,,1024.27,14863153,6131.8,,66069,735,170,640,,412.55,,244,,,6555.3
11,Janaki Finance Ltd.,,JFL,6004112,100,,,,600.41,7181799,2389.37,,36572,547,159,477,,332.7,,245,,,2863.96
12,Lalitpur Finance Ltd.,,LFC,1878697,100,,,,187.87,0,0,,0,126,126,126,,0,,0,,,236.72
13,Manjushree Finance Ltd.,,MFIL,9653949,100,,,,965.39,15343315,9364.78,,69227,1290,263,1280,,610.35,,246,,,12357.05
14,Multipurpose Finance Company  Limited,,MPFL,4000000,100,,,,400,6382976,1590.3,,26823,481,102,451,,249.15,,244,,,1804
15,Nepal Finance Ltd.,,NFS,3055512,100,,,,305.55,5304070,2003.01,,33852,580,128,570,,377.64,,245,,,1741.64
16,Nepal Share Markets Ltd.,,NSM,4320000,100,,,,432,0,0,,0,174,174,174,,0,,0,,,751.68
17,Pokhara Finance Ltd.,,PFL,9631459,100,,,,963.15,8664311,3461.03,,51701,817,143,670,,399.46,,245,,,6453.08
18,ProgressiveFinance Limited,,PROFL,8001000,100,,,,800.1,13486015,3342.14,,51344,463,100,396,,247.82,,242,,,3168.4
19,Reliance Finance Ltd.,,RLFL,9156577,100,,,,915.66,14476157,4926.37,,59733,590,118,532,,340.31,,245,,,4871.3
20,Samjhana Finance Co. Ltd.,,SFC,225000,100,,,,22.5,0,0,,0,230,230,230,,0,,0,,,51.75
21,Samriddhi Finance Company Limited,,SFCL,5459409,100,,,,545.94,11015305,3051.59,,50501,485,96,469,,277.03,,244,,,2560.46
22,Shree Investment Finance Co. Ltd.,,SIFC,8901349,100,,,,890.13,7415857,2402.01,,26744,599,147,489,,323.9,,244,,,4352.76
23,Shrijana Finance  (Bittaya Sanstha),,SFFIL,9630339,100,,,,963.03,0,0,,0,210,185,185,,0,,0,,,1781.61
24,United Finance Ltd.,,UFL,10408347,100,,,,1040.83,2288764,724.24,,9740,466,168,423,,316.43,,190,,,4402.73
,Grand Total,,,155110536,,,,,15511.05,150394653,55840.67,,685070,,,,,,,,,,84412.57
,,,,,,,,,,,,,,,,,,,,,,,
Hotels And Tourism,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Chandragiri Hills Limited,,CGH,15340910,100,,,,1534.09,2052024,4103.11,,90834,2800,159,1505,,1999.54,,94,,,23088.07
2,Oriental Hotels Limited,,OHL,11280905,100,,,,1128.09,4860829,2473.17,,25409,761,308,654,,508.8,,245,,,7377.71
3,Soaltee Hotel Limited,,SHL,84257973,10,,,,842.58,21944379,3496.78,,42164,321,148,262,,159.35,,245,,,22075.59
4,Taragaon Regency Hotel Limited,,TRH,18866540,100,,,,1886.65,5268405,1757.33,,27195,455,182,400,,333.56,,245,,,7546.62
5,Yak And Yeti Hotel Limited,,YHL,2209208,100,,,,220.92,0,0,,0,600,600,600,,0,,0,,,1325.52
,Grand Total,,,131955536,,,,,5612.33,34125637,11830.39,,185602,,,,,,,,,,61413.509999999995
,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Ankhu Khola Jalvidhyut Company Ltd,,AKJCL,8000000,100,,,,800,4576204,848.58,,53421,349,47.04,289,,185.43,,245,,,2312
2,Api Power Company Ltd.,,API,24967184,100,,,,2496.72,55955263,17352,,206828,481,105,403,,310.1,,246,,,10061.78
3,Arun Kabeli Power Ltd.,,AKPL,15856500,100,,,,1585.65,57787837,18727.09,,156548,553,108,474,,324.07,,246,,,7515.98
4,Arun Valley Hydropower Development Co. Ltd.,,AHPC,15723591,100,,,,1572.36,49337272,16093.31,,155278,590,92,480,,326.19,,246,,,7547.32
5,Barun Hydropower Co. Ltd.,,BARUN,2679075,100,,,,267.91,10272376,3346.8,,51086,677,79,531,,325.81,,242,,,1422.59
6,Butwal Power Company Limited,,BPCL,29513605,100,,,,2951.36,17236043,7901.9,,102389,590,343,506,,458.45,,246,,,14933.88
7,Chhyangdi Hydropower Ltd.,,CHL,2976750,100,,,,297.68,7038218,2159.05,,42255,576,79,485,,306.76,,245,,,1443.72
8,Chilime Hydropower Company Limited,,CHCL,62807392,100,,,,6280.74,19084248,11830.09,,86808,785,376,687,,619.89,,246,,,43148.68
9,Dibyashwori Hydropower Ltd.,,DHPL,2640000,100,,,,264,8412261,1488.01,,45782,346,45.5,279,,176.89,,245,,,736.56
10,Ghalemdi Hydro Limited,,GHL,5500000,100,,,,550,3715855,739.71,,38547,387,50,305,,199.07,,245,,,1677.5
11,GreenLife Hydropower Limited,,GLH,18000000,100,,,,1800,2648234,1043.25,,91061,463,299,373,,393.94,,84,,,6714
12,Himal Dolakha Hydropower Company Limited,,HDHPC,16000000,100,,,,1600,53957658,9974.43,,138691,350,81,292,,184.86,,241,,,4672
13,Himalaya Urja Bikas Company Limited,,HURJA,9900000,100,,,,990,4790026,1460.17,,40603,444,87,360,,304.84,,245,,,3564
14,Himalayan Power Partner Ltd.,,HPPL,10654170,100,,,,1065.42,10549791,4088.38,,71925,545,129,449,,387.53,,246,,,4783.72
15,Joshi Hydropower Development Company Ltd,,JOSHI,3714000,100,,,,371.4,4977980,938.1,,54490,368,45.28,294,,188.45,,243,,,1091.92
16,Kalika power Company Ltd,,KPCL,6000000,100,,,,600,5086947,1510.28,,56717,566,101,474,,296.89,,245,,,2844
17,Khanikhola Hydropower Co. Ltd.,,KKHC,4657143,100,,,,465.71,2950076,518.31,,32508,317,44,279,,175.69,,238,,,1299.34
18,Liberty Energy Company Limited,,LEC,15000000,100,,,,1500,9027655,2812.14,,103727,486,194,380,,311.5,,202,,,5700
19,Mountain Energy Nepal Limited,,MEN,19680270,100,,,,1968.03,3184031,2129.97,,96933,1045,343,890,,668.96,,145,,,17515.44
20,Mountain Hydro Nepal Limited,,MHNL,12500000,100,,,,1250,4406744,1195.22,,33325,439,76,346,,271.23,,245,,,4325
21,National Hydro Power Company Limited,,NHPC,13851862,100,,,,1385.19,85595153,16494.45,,197465,365,51,310,,192.7,,246,,,4294.08
22,Nepal Hydro Developers Ltd.,,NHDL,2990000,100,,,,299,1365727,494.47,,17453,534,120,473,,362.06,,237,,,1414.27
23,Ngadi Group Power Ltd.,,NGPL,5891103,100,,,,589.11,12347663,3892.18,,52656,573,113,570,,315.22,,246,,,3357.93
24,Panchakanya Mai Hydropower Ltd,,PMHPL,11000000,100,,,,1100,3333045,672.66,,41534,382,70,302,,201.81,,241,,,3322
25,Panchthar Power Compant Limited,,PPCL,9625000,100,,,,962.5,4077372,1119.48,,40434,465,110,370,,274.56,,243,,,3561.25
26,Radhi Bidyut Company Ltd,,RADHI,6464046,100,,,,646.4,8366585,6838.62,,81588,1340,160,746,,817.37,,243,,,4822.18
27,Rairang Hydropower Development Company Ltd.,,RRHP,5600000,100,,,,560,4522400,1574.54,,41442,510,88,428,,348.17,,241,,,2396.8
28,RASUWAGADHI HYDROPOWER COMPANY LIMITED,,RHPL,61578900,100,,,,6157.89,23782097,9450.71,,162166,613,140,474,,397.39,,245,,,29188.4
29,Ridi Hydropower Development Company Ltd.,,RHPC,5855580,100,,,,585.56,19493072,5595.13,,70282,700,79,576,,287.03,,245,,,3372.81
30,Ru Ru Jalbidhyut Pariyojana Limited,,RURU,4077055,100,,,,407.71,234193,234.98,,12194,1287,356,906,,1003.35,,52,,,3693.81
31,Sanima Mai Hydropower Ltd.,,SHPC,28084100,100,,,,2808.41,26099864,10460.49,,81064,607,213,513,,400.79,,246,,,14407.14
32,SANJEN JALAVIDHYUT COMPANY LIMITED,,SJCL,32850000,100,,,,3285,13038005,4582.9,,134750,550,129,449,,351.5,,246,,,14749.65
33,Shiva Shree Hydropower Ltd,,SSHL,14764000,100,,,,1476.4,21313817,4763.54,,63681,407,120,338,,223.5,,176,,,4990.23
34,Singati Hydro Energy Limited,,SHEL,14500000,100,,,,1450,1286122,569.05,,57231,554,306,433,,442.46,,55,,,6278.5
35,Synergy Power Development Ltd.,,SPDL,7332500,100,,,,733.25,20874085,6488.03,,77867,521,95,449,,310.82,,246,,,3292.29
36,Union Hydropower Limited,,UNHPL,7500000,100,,,,750,10266384,2148.76,,54612,470,49,370,,209.3,,243,,,2775
37,United IDI Mardi RB Hydropower Limited.,,UMRH,4200000,100,,,,420,1948187,742.22,,40436,607,200,475,,380.98,,143,,,1995
38,United Modi Hydropower Ltd.,,UMHL,11500000,100,,,,1150,33684240,9127.41,,102562,466,99,403,,270.97,,245,,,4634.5
39,UNIVERSAL POWER COMPANY LTD,,UPCL,21003500,100,,,,2100.35,29558561,6068.51,,120119,388,68,315,,205.3,,243,,,6616.1
40,Upper Tamakoshi Hydropower Ltd,,UPPER,105900000,100,,,,10590,40605458,24591.15,,285865,933,210,704,,605.61,,246,,,74553.6
,Grand Total,,,661337326,,,,,66133.76,696786749,222066.07,,3394323,,,,,,,,,,337024.97
,,,,,,,,,,,,,,,,,,,,,,,
Investment,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,CEDB Hydropower Development Company Limited,,CHDC,8394100,100,,,,839.41,662417,428.85,,36842,806,416,619,,647.4,,27,,,5195.95
2,Citizen Investment Trust,,CIT,32700004,100,,,,3270,1933720,7680.82,,51671,4691,2435,3491,,3972.04,,94,,,114155.71
3,Hydorelectricity Investment and Development Company Ltd,,HIDCL,220000000,100,,,,22000,33337417,16015.3,,165215,606,125,449,,480.4,,94,,,98780
4,Nepal Infrastructure Bank Limited,,NIFRA,200000000,100,,,,20000,42721679,23412.16,,475994,631,340,492,,548.02,,94,,,98400
5,NRN Infrastructure and Development Limited,,NRN,11649635,100,,,,1164.96,6782301,4140.57,,67385,840,306,622,,610.5,,94,,,7246.07
,Grand Total,,,472743739,,,,,47274.37,85437534,51677.700000000004,,797107,,,,,,,,,,323777.73000000004
,,,,,,,,,,,,,,,,,,,,,,,
Life Insurance,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Asian Life Insurance Co. Limited,,ALICL,20107608,100,,,,2010.76,12605124,13822.34,,66251,1565,600,1348,,1096.57,,246,,,27105.06
2,Gurans Life Insurance Company Ltd.,,GLICL,19755846,100,,,,1975.58,10709885,7744.1,,69373,901,430,759,,723.08,,244,,,14994.69
3,Jyoti Life Insurance Ltd,,JLI,22000000,100,,,,2200,2296601,1945.04,,113937,998,360,745,,846.92,,68,,,16390
4,Life Insurance Co. Nepal,,LICN,22110000,100,,,,2211,3878947,8026.39,,30111,2800,1335,2342,,2069.22,,246,,,51781.62
5,National Life Insurance Co. Ltd.,,NLICL,33908896,100,,,,3390.89,18520470,20368.12,,99924,1411,635,1151,,1099.76,,246,,,39029.14
6,Nepal Life Insurance Co. Ltd.,,NLIC,71999707,100,,,,7199.97,22476644,45693.29,,261670,3000,1265,1919,,2032.92,,246,,,138167.44
7,Prabhu Life Insurance Limited,,PLI,20000000,100,,,,2000,4270782,3473.24,,193865,1016,137,754,,813.26,,133,,,15080
8,Prime Life Insurance Company Limited,,PLIC,24170570,100,,,,2417.06,10626431,8925.57,,63318,1133,516,954,,839.94,,246,,,23058.72
9,Reliance Life Insurance Limited,,RLI,21000000,100,,,,2100,8446361,5729.58,,280675,818,322,672,,678.35,,210,,,14112
10,Surya Life Insurance Company Limited,,SLICL,7197120,100,,,,719.71,13574705,10388.06,,78442,1091,418,922,,765.25,,246,,,6635.74
,Grand Total,,,262249747,,,,,26224.97,107405950,126115.73,,1257566,,,,,,,,,,346354.41000000003
,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing And Processing,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Arun Vanaspati Udhyog Limited,,AVU,550343,100,,,,55.03,0,0,,0,58,58,58,,0,,0,,,31.92
2,Birat Shoe Limited,,BSL,165000,100,,,,16.5,0,0,,0,28,28,28,,0,,0,,,4.62
3,Bottlers Nepal (Balaju) Limited,,BNL,1948887,100,,,,194.89,0,0,,0,1830,1830,1830,,0,,0,,,3566.46
4,Bottlers Nepal (Terai) Limited,,BNT,1210000,100,,,,121,70255,670.64,,4045,12178,6099,10262,,9545.82,,231,,,12417.02
