.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
39,Finance,Crystal Finance Ltd.,117.00,117.00,0.00
40,Finance,Goodwill Finance Limited,483.00,627.00,144.00
41,Finance,Guheshowori Merchant Bank & Finance Co. Ltd.,396.80,520.00,123.20
42,Finance,Gurkhas Finance Ltd.,560.00,720.00,160.00
43,Finance,Himalayan Finance Limited (Bittiya Sanstha),18.00,18.00,0.00
44,Finance,ICFC Finance Limited,525.00,619.00,94.00
45,Finance,Janaki Finance Company Limited,409.00,742.50,333.50
46,Finance,Manjushree Finance Ltd.,550.00,602.90,52.90
47,Finance,Multipurpose Finance Company  Limited,381.10,529.50,148.40
48,Finance,Nepal Finance Ltd.,351.00,894.00,543.00
49,Finance,Nepal Share Markets Ltd.,174.00,174.00,0.00
50,Finance,Pokhara Finance Ltd.,398.00,592.00,194.00
51,Finance,Progressive Finance Limited,408.90,426.00,17.10
52,Finance,Reliance Finance Ltd.,385.90,459.00,73.10
53,Finance,Samjhana Finance Co. Ltd.,230.00,230.00,0.00
54,Finance,Samriddhi Finance Company Limited,323.00,460.00,137.00
55,Finance,Shree Investment Finance Co. Ltd.,375.00,490.00,115.00
56,Hotels And Tourism,Chandragiri Hills Limited,1280.00,908.00,-372.00
57,Hotels And Tourism,City Hotel Limited,680.10,744.00,63.90
58,Hotels And Tourism,Kalinchowk Darshan Limited,934.00,1171.00,237.00
59,Hotels And Tourism,Oriental Hotels Limited,799.00,785.00,-14.00
60,Hotels And Tourism,Soaltee Hotel Limited,485.00,442.00,-43.00
61,Hotels And Tourism,Taragaon Regency Hotel Limited,790.30,807.00,16.70
62,Hotels And Tourism,Yak And Yeti Hotel Limited,600.00,600.00,0.00
63,Hydro Power,Ankhu Khola Jalvidhyut Company Ltd,192.50,220.00,27.50
64,Hydro Power,Api Power Company Ltd.,197.00,191.00,-6.00
65,Hydro Power,Arun Kabeli Power Ltd.,234.50,185.00,-49.50
66,Hydro Power,Arun Valley Hydropower Development Co. Ltd.,255.00,177.90,-77.10
67,Hydro Power,Asian Hydropower Limited,330.00,520.30,190.30
68,Hydro Power,Balephi Hydropower Limited,260.00,415.00,155.00
69,Hydro Power,Barahi Hydropower Public Limited,454.50,648.00,193.50
70,Hydro Power,Barun Hydropower Co. Ltd.,249.00,296.00,47.00
71,Hydro Power,Bhagawati Hydropower Development Company Limited,-,987.30,-
72,Hydro Power,Bhugol Energy Development Company Limited,232.20,444.00,211.80
73,Hydro Power,Bindhyabasini Hydropower Development Company Limited,390.00,580.00,190.00
74,Hydro Power,Buddha Bhumi Nepal Hydropower Company Limited,335.00,637.00,302.00
75,Hydro Power,Butwal Power Company Limited,330.50,310.00,-20.50
76,Hydro Power,Chhyangdi Hydropower Ltd.,264.00,314.00,50.00
77,Hydro Power,Chilime Hydropower Company Limited,536.70,465.00,-71.70
78,Hydro Power,Chirkhwa Hydropower Limited ,-,606.70,-
79,Hydro Power,Dibyashwori Hydropower Ltd.,185.00,213.00,28.00
80,Hydro Power,Dolti Power Company Limited,228.00,462.00,234.00
81,Hydro Power,Dordi Khola Jal Bidyut Company Limited,245.00,450.50,205.50
82,Hydro Power,Eastern Hydropower Limited,311.00,550.10,239.10
83,Hydro Power,Ghalemdi Hydro Limited,222.00,166.70,-55.30
84,Hydro Power,Green Ventures Limited,385.00,645.00,260.00
85,Hydro Power,GreenLife Hydropower Limited,255.50,216.10,-39.40
86,Hydro Power,Himal Dolakha Hydropower Company Limited,152.00,149.00,-3.00
87,Hydro Power,Himalaya Urja Bikas Company Limited,274.00,195.00,-79.00
88,Hydro Power,Himalayan Hydropower Limited,249.00,376.80,127.80
89,Hydro Power,Himalayan Power Partner Ltd.,285.90,306.00,20.10
90,Hydro Power,Ingwa Hydropower Limited,257.00,450.00,193.00
91,Hydro Power,Joshi Hydropower Development Company Ltd,269.00,298.10,29.10
92,Hydro Power,Kalika power Company Ltd,355.00,465.00,110.00
93,Hydro Power,Khanikhola Hydropower Co. Ltd.,203.60,238.90,35.30
94,Hydro Power,Kutheli Bukhari Small Hydropower Limited,-,1509.00,-
95,Hydro Power,Liberty Energy Company Limited,244.50,201.00,-43.50
96,Hydro Power,Madhya Bhotekoshi Jalavidyut Company Limited,295.10,307.50,12.40
97,Hydro Power,Mai Khola Hydropower Limited,276.10,590.90,314.80
98,Hydro Power,Mailung Khola Jal Vidhyut Company Limited,392.00,576.00,184.00
99,Hydro Power,Makar Jitumaya Suri Hydropower Limited,273.10,454.30,181.20
100,Hydro Power,Manakamana Engineering Hydropower Limited,-,348.00,-
101,Hydro Power,Mandakini Hydropower Limited,303.00,565.00,262.00
102,Hydro Power,Mandu Hydropower Limited,-,1493.10,-
103,Hydro Power,Mathillo Mailun Khola Jalvidhyut Limited,-,558.80,-
104,Hydro Power,Maya Khola Hydropower Company Limited,233.50,354.80,121.30
105,Hydro Power,Menchhiyam Hydropower Limited,226.00,449.00,223.00
106,Hydro Power,Mid Solu Hydropower Limited,-,657.10,-
107,Hydro Power,Modi Energy Limited,207.50,233.90,26.40
108,Hydro Power,Molung Hydropower Company Limited,209.40,410.00,200.60
109,Hydro Power,Mountain Energy Nepal Limited,995.00,597.00,-398.00
110,Hydro Power,Mountain Hydro Nepal Limited,238.00,249.00,11.00
111,Hydro Power,National Hydro Power Company Limited,177.90,162.90,-15.00
112,Hydro Power,Nepal Hydro Developers Ltd.,377.00,534.00,157.00
113,Hydro Power,Ngadi Group Power Ltd.,233.90,341.00,107.10
114,Hydro Power,Nyadi Hydropower Limited,261.10,350.00,88.90
115,Hydro Power,Panchakanya Mai Hydropower Ltd,204.00,236.20,32.20
116,Hydro Power,Panchthar Power Compant Limited,269.00,253.90,-15.10
117,Hydro Power,People's Power Limited,249.00,455.00,206.00
118,Hydro Power,Peoples Hydropower Company Limited,335.00,319.90,-15.10
119,Hydro Power,Radhi Bidyut Company Ltd,234.00,268.20,34.20
120,Hydro Power,Rapti Hydro And General Construction Limited,247.00,352.50,105.50
121,Hydro Power,RASUWAGADHI HYDROPOWER COMPANY LIMITED,300.00,295.00,-5.00
122,Hydro Power,Rawa Energy Development Limited,353.20,587.00,233.80
123,Hydro Power,Ridi Power Company Limited,243.00,190.50,-52.50
124,Hydro Power,River Falls Power Limited,250.00,369.10,119.10
125,Hydro Power,Ru Ru Jalbidhyut Pariyojana Limited,778.10,662.00,-116.10
126,Hydro Power,Sagarmatha Jalabidhyut Company Limited,250.00,406.00,156.00
127,Hydro Power,Sahas Urja Limited,483.90,519.00,35.10
128,Hydro Power,Samling Power Company Limited,403.50,588.00,184.50
129,Hydro Power,Sanima Mai Hydropower Ltd.,355.00,339.50,-15.50
130,Hydro Power,Sanima Middle Tamor Hydropower Limited,285.00,450.00,165.00
131,Hydro Power,SANJEN JALAVIDHYUT COMPANY LIMITED,296.90,283.70,-13.20
132,Hydro Power,Sayapatri Hydropower Limited,365.00,599.90,234.90
133,Hydro Power,Shiva Shree Hydropower Ltd,182.60,179.00,-3.60
134,Hydro Power,Shuvam Power Limited,810.00,765.10,-44.90
135,Hydro Power,Sikles Hydropower Limited,387.00,805.80,418.80
136,Hydro Power,Singati Hydro Energy Limited,280.00,171.50,-108.50
137,Hydro Power,Super Madi Hydropower Limited,422.00,622.00,200.00
138,Hydro Power,Super Mai Hydropower Limited,564.80,863.00,298.20
139,Hydro Power,Swet-Ganga Hydropower & Construction Limited ,262.70,368.00,105.30
140,Hydro Power,Synergy Power Development Ltd.,250.10,254.90,4.80
141,Hydro Power,Terhathum Power Company Limited,363.00,536.70,173.70
142,Hydro Power,Three Star Hydropower Limited,-,590.00,-
143,Hydro Power,Trishuli Jal Vidhyut Company Limited ,-,497.00,-
144,Hydro Power,Union Hydropower Limited,196.00,250.50,54.50
145,Hydro Power,United IDI Mardi RB Hydropower Limited.,434.10,430.00,-4.10
146,Hydro Power,United Modi Hydropower Ltd.,213.00,256.00,43.00
147,Hydro Power,UNIVERSAL POWER COMPANY LTD,219.00,206.10,-12.90
148,Hydro Power,Upper Hewakhola Hydropower Company Limited,297.70,466.30,168.60
149,Hydro Power,Upper Lohore Khola Hydropower Company Limited,-,394.00,-
150,Hydro Power,Upper Solu Hydro Electric Company Limited,256.80,487.00,230.20
151,Hydro Power,Upper Syange Hydropower Limited,-,625.00,-
152,Hydro Power,Upper Tamakoshi Hydropower Ltd,426.80,176.70,-250.10
153,Hydro Power,Vision Lumbini Urja Company Limited ,-,529.00,-
154,Investment,CEDB Hydropower Development Company Limited,904.00,1159.00,255.00
155,Investment,Citizen Investment Trust,2089.00,1945.00,-144.00
156,Investment,Emerging Nepal Limited,696.00,1108.00,412.00
157,Investment,Hathway Investment Nepal Limited,-,1013.00,-
158,Investment,Hydorelectricity Investment and Development Company Ltd,184.00,179.00,-5.00
159,Investment,Nepal Infrastructure Bank Limited,224.00,228.00,4.00
160,Investment,NRN Infrastructure and Development Limited,513.00,748.00,235.00
161,Life Insurance,Asian Life Insurance Co. Limited,745.10,623.00,-122.10
162,Life Insurance,Citizen Life Insurance Company Limited,-,544.60,-
163,Life Insurance,Himalayan Life Insurance Limited,507.00,391.00,-116.00
164,Life Insurance,IME Life Insurance Company Limited,-,453.00,-
165,Life Insurance,Life Insurance Corporation (Nepal) Limited,1555.00,1438.00,-117.00
166,Life Insurance,National Life Insurance Co. Ltd.,645.00,595.00,-50.00
167,Life Insurance,Nepal Life Insurance Co. Ltd.,744.00,619.00,-125.00
168,Life Insurance,Prabhu Mahalaxmi Life Insurance Limited,587.00,564.10,-22.90
169,Life Insurance,Reliable Nepal Life Insurance Limited,-,458.00,-
170,Life Insurance,Sanima Reliance Life Insurance Limited,556.00,472.40,-83.60
171,Life Insurance,Sun Nepal Life Insurance Company Limited,-,511.30,-
172,Life Insurance,SuryaJyoti Life Insurance Company Limited,610.00,429.90,-180.10
173,Manufacturing And Processing,Arun Vanaspati Udhyog Limited,58.00,58.00,0.00
174,Manufacturing And Processing,Birat Shoe Limited,28.00,28.00,0.00
175,Manufacturing And Processing,Bottlers Nepal (Balaju) Limited,2311.90,15705.00,13393.10
176,Manufacturing And Processing,Bottlers Nepal (Terai) Limited,13800.00,13000.00,-800.00
177,Manufacturing And Processing,Butwal Spinning Mills Limited,18.00,18.00,0.00
178,Manufacturing And Processing,Fleur Himalayan Limited,75.00,75.00,0.00
179,Manufacturing And Processing,Ghorahi Cement Industry Limited,-,496.00,-
180,Manufacturing And Processing,Gorakhkali Rubber Udhyog Limited,38.00,38.00,0.00
181,Manufacturing And Processing,Harisiddhi Brick And Tiles Limited,4.00,4.00,0.00
182,Manufacturing And Processing,Himalayan Distillery Limited,2248.00,1384.00,-864.00
183,Manufacturing And Processing,Jyoti Sinning Mills Limited,27.00,27.00,0.00
184,Manufacturing And Processing,Nepal Bitumin And Barrel Udhyog Limited,64.00,64.00,0.00
185,Manufacturing And Processing,Nepal Khadya Udhyog Limited,32.00,32.00,0.00
186,Manufacturing And Processing,Nepal Lube Oil Limited,261.00,253.40,-7.60
187,Manufacturing And Processing,Nepal Vanaspati Ghee Udhyog Limited,300.00,300.00,0.00
188,Manufacturing And Processing,Raghupati Jute Mills Limited,100.00,100.00,0.00
189,Manufacturing And Processing,Sarbottam Cement Limited,-,806.50,-
190,Manufacturing And Processing,SHIVAM CEMENTS LTD,651.50,502.30,-149.20
191,Manufacturing And Processing,Shree Bhrikuti Pulp And Paper Limited,50.00,50.00,0.00
192,Manufacturing And Processing,Shree Ram Sugar Mills Limited,338.00,338.00,0.00
193,Manufacturing And Processing,Sonapur Minerals And Oil Limited,-,456.10,-
194,Manufacturing And Processing,Unilever Nepal Limited,32998.00,47328.00,14330.00
195,Microfinance,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,647.00,1230.00,583.00
196,Microfinance,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2363.90,2725.00,361.10
197,Microfinance,Asha Laghubitta Bittiya Sanstha Ltd,785.00,1026.00,241.00
198,Microfinance,Aviyan Laghubitta Bittiya Sanstha Limited,699.00,979.00,280.00
199,Microfinance,Chhimek Laghubitta Bittiya Sanstha Limited,1000.00,900.00,-100.00
200,Microfinance,CYC Nepal Laghubitta Bittiya Sanstha Limited,1410.00,1549.90,139.90
201,Microfinance,Deprosc Laghubitta Bittiya Sanstha Limited,826.00,841.00,15.00
202,Microfinance,Dhaulagiri Laghubitta Bittiya Sanstha Limited,749.00,1359.40,610.40
203,Microfinance,First Micro Finance Laghubitta Bittiya Sanstha Limited,736.30,681.00,-55.30
204,Microfinance,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1321.00,1413.00,92.00
205,Microfinance,Ganapati Laghubitta Bittiya Sanstha Limited,810.90,2205.00,1394.10
206,Microfinance,Global IME Laghubitta Bittiya Sanstha Ltd.,1061.00,1365.00,304.00
207,Microfinance,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,633.00,811.00,178.00
208,Microfinance,Gurans Laghubitta Bittiya Sanstha Limited,738.00,1821.00,1083.00
209,Microfinance,Himalayan Laghubitta Bittiya Sanstha Limited,754.00,1280.00,526.00
210,Microfinance,Infinity Laghubitta Bittiya Sanstha Limited,715.00,1196.00,481.00
211,Microfinance,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,1615.10,1442.10,-173.00
212,Microfinance,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1020.00,1425.10,405.10
213,Microfinance,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1600.10,1465.00,-135.10
214,Microfinance,Kalika Laghubitta Bittiya Sanstha Ltd,736.00,1199.90,463.90
215,Microfinance,Kisan Lagubitta Bittiya Sanstha Limited,709.00,1070.00,361.00
216,Microfinance,Laxmi Laghubitta Bittiya Sanstha Ltd.,893.00,1224.00,331.00
217,Microfinance,Mahila Lagubitta Bittiya Sanstha Limited ,2100.00,2035.00,-65.00
218,Microfinance,Mahuli Laghubitta Bittiya Sanstha Limited,869.90,1351.00,481.10
219,Microfinance,Manakamana Smart Laghubitta Bittiya Sanstha Limited,756.90,1169.00,412.10
220,Microfinance,Manushi Laghubitta Bittiya Sanstha Limited,788.00,1400.00,612.00
221,Microfinance,Mero Microfinance Bittiya Sanstha Ltd.,661.00,700.00,39.00
222,Microfinance,Mithila LaghuBitta Bittiya Sanstha Limited,1044.00,1379.10,335.10
223,Microfinance,Nadep Laghubittiya bittya Sanstha Ltd.,608.20,870.00,261.80
224,Microfinance,National Laghubitta Bittiya Sanstha Limited,1366.00,1409.00,43.00
225,Microfinance,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,688.00,720.20,32.20
226,Microfinance,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2044.00,2099.00,55.00
227,Microfinance,NIC ASIA Laghubitta Bittiya Sanstha Limited,729.00,705.00,-24.00
228,Microfinance,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,765.00,711.90,-53.10
229,Microfinance,NMB  Microfinance Bittiya Sanstha Ltd.,640.00,760.00,120.00
230,Microfinance,RSDC Laghubitta Bittiya Sanstha Ltd.,613.10,692.00,78.90
231,Microfinance,Sabaiko Laghubitta Bittiya Sanstha Limited,730.00,1045.00,315.00
232,Microfinance,Sadhana Laghubitta Bittiya Sanstha Limited,741.00,1067.00,326.00
233,Microfinance,Samaj Laghubittya Bittiya Sanstha Limited,-,2926.00,-
234,Microfinance,Samata Gharelu Laghubitta Bittiya Sanstha Limited,702.70,981.00,278.30
235,Microfinance,Samudayik Laghubitta Bittiya Sanstha Limited,949.00,1286.00,337.00
236,Microfinance,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,899.00,853.70,-45.30
237,Microfinance,Shrijanshil Laghubitta Bittiya Sanstha Limited,1187.00,1963.20,776.20
238,Microfinance,Support Microfinance Bittiya Sanstha Ltd.,955.80,1860.00,904.20
239,Microfinance,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,733.00,945.00,212.00
240,Microfinance,Swabalamban Laghubitta Bittiya Sanstha Limited,900.60,940.00,39.40
241,Microfinance,Swabhimaan Laghubitta Bittiya Sanstha Limited,1150.00,1599.00,449.00
242,Microfinance,Swarojgar Laghubitta Bittiya Sanstha Ltd.,705.00,851.00,146.00
243,Microfinance,Unique Nepal Laghubitta Bittiya Sanstha Limited,1318.00,2176.00,858.00
244,Microfinance,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,836.50,1750.00,913.50
245,Microfinance,Upakar Laghubitta Bittiya Sanstha Limited,1382.20,1985.30,603.10
246,Microfinance,Vijaya laghubitta Bittiya Sanstha Ltd.,713.00,1040.00,327.00
247,Microfinance,Wean Nepal Laghubitta Bittiya Sanstha Limited,805.00,1521.00,716.00
248,Non Life Insurance,Himalayan Everest Insurance Limited,600.00,632.00,32.00
249,Non Life Insurance,IGI Prudential insurance Limited,560.00,558.00,-2.00
250,Non Life Insurance,Neco Insurance Limited,891.10,836.00,-55.10
251,Non Life Insurance,Nepal Insurance Co. Ltd.,820.00,880.00,60.00
252,Non Life Insurance,NLG Insurance Company Ltd.,840.00,794.90,-45.10
253,Non Life Insurance,Prabhu Insurance Ltd.,747.00,826.00,79.00
254,Non Life Insurance,Rastriya Beema Company Limited,16099.00,13490.00,-2609.00
255,Non Life Insurance,Sagarmatha Lumbini Insurance Co. Limited,748.00,727.00,-21.00
256,Non Life Insurance,Sanima GIC Insurance Limited,649.90,577.00,-72.90
257,Non Life Insurance,Shikhar Insurance Co. Ltd.,845.00,723.00,-122.00
258,Non Life Insurance,Siddhartha Premier Insurance Limited,778.50,859.90,81.40
259,Non Life Insurance,United Ajod Insurance Limited,518.90,598.50,79.60
260,Others,Himalayan Reinsurance Limited,-,580.00,-
261,Others,Muktinath Krishi Company Limited,-,1390.00,-
262,Others,Nepal Doorsanchar Company Limited,906.90,845.00,-61.90
263,Others,Nepal Film Development Company Limited,34.00,34.00,0.00
264,Others,Nepal Reinsurance Company Limited,740.00,698.00,-42.00
265,Others,Nepal Republic Media Limited,-,437.40,-
266,Others,Nepal Warehousing Company Limited ,-,898.00,-
267,Tradings,Bishal Bazar Company Limited,3430.00,4087.00,657.00
268,Tradings,Nepal Tading Limited,56.00,56.00,0.00
269,Tradings,Nepal Welfare Company Limited,95.00,95.00,0.00
270,Tradings,Salt Trading Corporation,4899.00,4905.00,6.00
