S.N. ,Name of the Company,Symbol,Listing Date ,Unit Listed,Type of Listing
30,Citizen Life Insurance Company Limited,CLI,2080.11.17,1875000,Bonus
31,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,2080.11.17,860809.46,Bonus
32,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,2080.11.21,1417701,Bonus
33,Universal Power Company Limited,UPCL,2080.11.21,1795799.25,Bonus
34,Soaltee Hotel Limited ,SHL,2080.11.23,4423864,Bonus
35,United Ajod Insurance Limited,UAIL,2080.11.24,1954320,Bonus
36,Jeevan Bikas Laghubitta Bittya Sanstha Limited,JBLB,2080.11.24,1654847,Bonus
37,Himalayan Everest Insurance Limited,HEI,2080.11.24,1986224,Bonus
38,Muktinath Bikas Bank Limited,MNBBL,2080.11.27,6260377.76,Bonus
39,RSDC Laghubitta Bittiya Sanstha Limited,RSDC,2080.11.27,747828.65,Bonus
40, Nepal SBI Bank Limited,SBI,2080.11.27,3795235.7648,Bonus
41,Lumbini Bikas Bank Limited,LBBL,2080.11.29,1353128.51,Bonus
42,Ghorahi Cement Industry Limited,GCIL,2080.12.08,5957851,Bonus
43,Taragaon Regency Hotel Limited,TRH,2080.12.12,754661.6,Bonus
44,Laxmi Sunrise Bank Limited,LSL,2080.12.20,15169166.5,Bonus
45, Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,2080.12.21,4747555.941,Bonus
46,Reliable Nepal Life Insurance Limited,RNLI,2080.12.21,6400000,Bonus
47,Mandakini Hydropower Limited,MHL,2080.12.25,279317.53,Bonus
48,Asian Life Insurance Company Limitesd,ALICL,2081.01.09,"24,45,357.9",Bonus
49,Global IME Bank Limited,GBIME,2081.01.10,3577105.96,Bonus
50,Himalatan Reinsurance Limited,HRL,2081.01.23,4000000,Bonus
51,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,2081.02.07,213720.71,Bonus
52,United IDI Mardi and RB Hydropower Limited.,UMRH,2081.02.07,231000,Bonus
53,Kalika Power Company Limited,KPCL,2081.02.13,793500,Bonus
54,NLG Insurance Company Limited,NLG,2081.02.16,802601.69,Bonus
55,Swarojgar Laghubitta Bittiya Sanstha Limited,SLBBL,2081.02.16,"4,39,040.65",Bonus
56,Nepal Hydro Developer Limited,NHDL,2081.02.18,"2,35,148.55",Bonus
57,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,2081.02.21,1551088.1661,Bonus
58,Salt Trading Corporation Limited,STC,2081.02.21,418326.46,Bonus
59,National Laghubitta Bittiya Sanstha Limited,NMFBS,2081.02.25,"8,13,154.664",Bonus
60,Mountain Energy Nepal Limited,MEN,2081.02.25,"29,52,040.5",Bonus
61,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,2081.03.06,62338,Bonus
62,SuryaJyoti Life Insurance Company Limited,SJLIC,2081.03.16,"46,63,756.9746",Bonus
63,Support Laghubitta Bittiya Sanstha Limited,SMB,2081.03.17,"1,23,809.40",Bonus
64,11% Mahalaxmi Debenture 2089,MLBLD89,2080.05.13,1000000,Debenture
65,11% LBBL Debenture 2089,LBBLD89,2080.05.13,1000000,Debenture
66,9% Nepal SBI Bank Rinpatra 2089,SBID89,2080.06.16,1418366,Debenture
67,10% KBL Debenture 2090,KBLD90,2080.08.27,5000000,Debenture
68,10% Citizens Bank Debenture 2090,CIZBD90,2080.09.23,3000000,Debenture
69, 9% Nabil Debenture 2087,NABILD87,2080.11.16,3000000,Debenture
70,10% NIMB Debenture 2090,NIMBD90,2080.12.15,4040000,Debenture
71,Nepal Republica Media Limited ,NRM,2080.04.18,9675000,IPO
72,I.M.E. Life Insurance Company Limited ,ILI,2080.04.18,40000000,IPO
73,Ghorahi Cement Industry Limited ,GCIL,2080.04.25,39719006,IPO
74,Upper Syange Hydropower Limited ,USHL,2080.04.25,2200000,IPO
75,Three Star Hydropower Limited ,TSHL,2080.04.25,4925000,IPO
76,Kutheli Bukhari Small Hydropower Limited ,KBSH,2080.05.03,1218675,IPO
77,Reliable Nepal Life Insurance Limited,RNLI,2080.05.27,40000000,IPO
78,Sun Nepal Life Insurance Company Limited ,SNLI,2080.06.02,32000000,IPO
79,Upper Lohore Khola Hydropower Company Limited ,ULHC,2080.06.07,5098040,IPO
80,Manakamana Engineering Hydropower Limited ,MEHL,2080.06.07,8000000,IPO
81,Citizen Life Insurance Company Limited ,CLI,2080.06.10,37500000,IPO
82,Mandu Hydropower Limited ,MANDU,2080.06.23,13636370,IPO
83,Hathway Investment Nepal Limited ,HATHY,2080.06.23,23400000,IPO
84,Mid Solu Hydropower Limited ,MSHL,2080.06.24,7484000,IPO
85,Bhagawati Hydropower Development Company Limited ,BGWT,2080.06.24,5720647,IPO
86,Sonapur Minerals and  Oil Limited ,SONA,2080.07.02,30750500,IPO
87,Mathillo Mailun Khola Jalvidhyut Limited ,MMKJL,2080.07.23,10000000,IPO
88,Mirmire Laghubitta Bittiya Sanstha Limited ,MMFDB,2080.08.11,123816.45,FPO
89,Trishuli Jal Vidhyut Company Limited ,TVCL,2080.08.12,18525000,IPO
90,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited ,USLB,2080.08.18,178451.18,FPO
91,Muktinath Krishi Company Limited ,MKCL,2080.08.27,7000000,IPO
92,Vision Lumbini Urja Company Limited ,VLUCL,2080.09.04,19125000,IPO
93,Chirkhwa Hydropower Limited ,CKHL,2080.09.04,4000000,IPO
94,Nepal Warehousing Company Limited ,NWCL,2080.09.04,6875000,IPO
95,Himalayan Reinsurance Limited ,HRL,2080.09.22,100000000,IPO
96,Sarbottam Cement Limited,SARBTM,2080.12.05,46500000,IPO
97,Rasuwagadhi Hydropower Company Limited,RHPL,2081.02.13,6842100,additional units (local of Rasuwa)
98,Citizens Super 30 Mutual Fund ,C30MF,2080.04.23,75072390,Mutual Fund
99,Laxmi Value Fund 2,LVF2,2080.05.27,80000000,Mutual Fund
100,Himalayan 80-20,H8020,2080.08.27,100000000,Mutual Fund
101,NIC ASIA Growth Fund-2,NICGF2,2080.10.22,90500000,Mutual Fund
102, Kumari Sabal Yojana,KSY,2080.12.06,74475070,Mutual Fund
103,NIBL Stable Fund,NIBLSTF,2081.02.17,113000000,Mutual Fund
104,Himal Dolakha Hydropower Company Limited ,HDHPC,2080.05.21,12000000,Right
105,Nepal Finance Limited ,NFS,2080.05.24,40245,Right
106,National Hydro Power Company Limited ,NHPC,2080.07.02,8221459.7178,Right
107,Api Power Company Limited ,API,2080.07.24,16533137,Right
108,Multipurpose Finance Limited ,MPFL,2080.07.24,1582000,Right
109,Synergy Power Development Limited ,SPDL,2080.08.24,4032875,Right
110,Arun Kabeli Power Limited ,AKPL,2080.08.25,18552105,Right
111,Ghalemdi Hydro Limited ,GHL,2080.11.10,11000000,Right
112,Upper Tamakoshi Hydropower Limited,UPPER,2080.11.27,105900000,Right
113,Singati Hydro Energy Limited,SHEL,2081.01.20,14500000,Right
114,Ridi Power Company Limited,RIDI,2081.01.31,7744506,Right
115,Hydorelectricity Investment and Development Company Ltd,HIDCL,2081.02.02,981090,Right
116,Arun Valley Hydropower Development Company Limited,AHPC,2081.02.07,18679626,Right
,,,,,
,,,,,
,Government Bond Listing ,,,,
S.N. ,Name of the Bond,Listing Date,Amount in Crore,,
1,Bikas Rinpatra 2086 Chha ,2080.06.07,416,,
2,Bikas Rinpatra 2088 Kha,2080.06.07,690,,
3,Bikas Rinpatra 2086  Ja,2080.08.08,680,,
4,Bikas Rinpatra 2086 Jha,2080.08.08,1000,,
5,Bikas Rinpatra 2086 Ta,2080.08.08,880,,
6,Bikas Rinpatra 2086 Nya,2080.08.08,560,,
7,Bikas Rinpatra 2086 Thha,2080.08.08,695,,
8,Bikas Rinpatra 2085 Nya,2080.08.08,1000,,
9,Bikas Rinpatra 2088 Ga,2080.08.08,1310,,
10,Bikas Rinpatra 2088 Nga,2080.08.08,1000,,
11,Bikas Rinpatra 2088 Ghha,2080.08.08,1000,,
12,Bikas Rinpatra 2088 Cha ,2080.11.14,700,,
13,Bikas Rinpatra 2085 Ta,2080.11.14,700,,
14,Bikas Rinpatra 2088 Chha,2080.11.14,700,,
15,Bikas Rinpatra 2085 Tha,2080.11.14,1000,,
16,Bikas Rinpatra 2088 Ja,2081.01.21,700,,
17,Bikas Rinpatra 2088 Jha,2081.01.21,800,,
18,Bikas Rinpatra 2086 Da,2081.01.21,769,,
19,Bikas Rinpatra (208903),2081.02.27,500,,
20,Bikas Rinpatra (208705),2081.02.27,1000,,
21,Bikas Rinpatra (NPDB06062 087),2081.03.31,900,,
22,Bikas Rinpatra (NPDB08042 089),2081.03.31,900,,
