Nepal Stock Exchange Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
11,Narayani Finance Ltd,421745,100,42.17,15.44,3.53,58,260,22,224,94.47
12,ACE Finance Co. Ltd.,900000,100,90,24.68,7.79,116,355,250,320,288
13,Yeti Finance Ltd.,200000,100,20,0.37,0.08,7,220,210,220,44
14,Gorkha Finance Co. Ltd,250000,100,25,12.73,1.34,275,110,101,105,26.25
15,Samjhana Finance Co. Ltd,225000,100,22.5,11.76,1.23,8,105,105,105,23.63
16,Universal Finance Ltd,375000,100,37.5,15.32,2.6,139,191,130,181,67.88
17,Nepal Housing & Merchant Fin. Ltd,544500,100,54.45,11.63,2.49,49,250,200,210,114.35
18,General Fiance Ltd,220000,100,22,1.37,0.2,28,150,140,150,33
19,Mahalaxmi Finance Ltd,495320,100,49.53,11.36,3,77,280,248,260,128.78
20,Lalitpur Finance Co. Ltd,506250,100,50.63,3.89,1.03,90,301,240,245,124.03
21,Goodwill Finance Co. Ltd.,337500,95,32.06,12.84,2.38,22,185,185,185,62.44
22,Paschimanchal Finance Co. Ltd.,506000,100,50.6,5.36,1.34,20,250,245,250,126.5
23,Pokhara Finance Ltd.,400000,100,40,9.53,3.83,31,410,325,410,164
24,Lumbini Fin. & Leasing Com. Ltd.,600000,85,51,23.11,2.6,369,120,94,115,69
25,Nepal Merchant Bank & Fin. Ltd.,2000000,65,130,34.91,8.55,826,276,230,276,552
26,Siddhartha Finance Ltd,520000,100,52,23.55,3.63,203,172,145,158,82.16
27,Alpic Everest Finance Ltd,400000,100,40,123.6,19.68,211,165,140,153,61.2
28,Nepal Bangladesh Fin. & Leasing Co.,500480,100,50.05,2.39,0.25,116,110,90,110,55.05
29,United Finance Limited,600000,100,60,16.29,2.14,536,157,113,154,92.4
30,International Leas & Finance Co. Ltd,1200000,100,120,40.92,5.63,1166,152,125,147,176.4
31,Shree Investment & Finance Co. Ltd,480000,100,48,29.06,6.39,665,245,195,200,96
32,Central Finance Co. Ltd.,240000,100,24,23.31,3.84,395,190,145,180,43.2
33,Nepal Shreelanka Mer. Bank Ltd,1000000,100,100,24.25,2.36,770,116,90,90,90
34,Premier Finance Co. Ltd,240000,100,24,4.54,0.64,189,154,108,120,28.8
35,Nawa Durga Finance Ltd.,200000,100,20,4.75,0.53,143,120,110,110,22
36,Butwal Finance Ltd,500000,100,50,28.02,3.37,412,134,108,120,60
37,Janaki Finance Co. Ltd,200000,100,20,2.09,0.39,87,200,150,150,30
38,Standard Finance Limited,600000,100,60,97.79,10.14,2187,118,94,112,67.2
39,Om Finance Limited,500000,100,50,39.92,8.26,60,231,200,204,102
40,Cosmic Merchant & Finance Ltd.,750510,100,75.05,94.11,11.79,3345,144,120,120,90.06
41,Fewa Finance Com. Limited,500000,100,50,10.46,2.29,222,240,190,240,120
42,KIST Merchant Bank.&Finance,500000,100,50,66.59,9.37,1215,153,130,153,76.5
43,World Merchant Banking & Finance,600000,100,60,144.1,16.46,7449,135,104,114,68.4
44,Birgunj Finance Ltd.,600000,100,60,196.6,27.13,,151,117,148,88.8
45,Capital Mer. Bank & Finance,700000,100,70,230.3,24.3,2811,117,98,98,68.6
46,Everest Finance Ltd.,200000,100,20,43.45,4.99,3051,140,98,98,19.6
47,Prudential Bittiya Sanstha,500000,100,50,30.62,3.3,13,125,107,108,54
48,Royal Merchant banking & Fin,500000,100,50,2.2,0.27,47,125,122,122,61
,,26198100,,2539.12,1957.68,305.85,28875,,,,4930.63408
,,,,,,,,,,,
,Insurance,,,,,,,,,,
,Name of the Companies,Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,  Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Insurance Co. Ltd.,1026984,100,102.7,13.9,5.67,83,450,370,405,415.93
2,Rastriya Beema sasthan,828999,100,82.9,4.03,6.75,67,1750,1600,1750,1450.75
3,National Life & Gen. Insurance,300000,100,30,24.24,15.11,58,750,410,700,210
4,Himalayan Ge. Insurance Co.,300000,100,30,2.59,0.5,54,215,171,189,56.7
5,United Insurance Co. Ltd,600000,100,60,103.8,13.81,97,165,118,125,75
6,Everest Insurance Co. Ltd,600000,100,60,21.42,6.43,107,325,290,295,177
7,Premier Insurance Co. (Nepal ) Ltd.,300000,100,30,2.06,0.43,111,214,190,200,60
8,Neco Insurance Co.,550000,100,55,131.3,11.72,45,105,87,90,49.5
9,Alliance Insurance Co. Ltd.,500000,100,50,11.34,1.18,24,105,100,102,51
10,Sagarmatha Insurance Company Ltd,561000,100,56.1,10.87,1.91,249,210,158,210,117.81
11,NB Insurance Co. Limited,1000000,100,100,15.03,1.36,130,116,76,76,76
12,Nepal Life Insurance Co. Ltd,2500000,100,250,107.7,37.77,963,427,295,427,1067.5
13,Life Insurance Corp. Nepal Ltd,2500000,100,250,77.44,19.88,1373,360,213,360,900
14,Prudential Insurance Co. Ltd.,1000000,100,100,49.28,7.38,2826,230,144,145,145
,,12566983,,1256.7,575,129.9,6187,,,,4852.19
,,,,,,,,,,,
,Manufacturing & Processing,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Bottlers Nepal Ltd. (Balaju),1948887,100,194.89,0.6,0.3,1,500,500,500,974.44
2,Nepal Lube Oil Ltd.,203936,100,20.39,0.33,0.11,3,350,350,350,71.38
3,Gorakhkali Rubber Udyog Ltd.,3833400,75,287.51,24.31,1.03,37,48,39,39,149.5
4,Jyoti Spinning Mills Ltd. (Ord),1270288,100,127.03,0.35,0.01,10,32,25,25,31.76
5,Arun Vanaspati Udyog Ltd.,550343,100,55.03,0.11,0.01,3,60,58,58,31.92
6,Bottlers Nepal (Tarai) Ltd.,1210000,100,121,5.25,2.1,26,413,400,400,484
7,Harisddhi Bricks & Tile Fact. Ltd,1865000,10,18.65,19.33,0.03,4,1.6,1.6,1.6,2.98
8,Birat Shoes Com. Ltd.,165000,100,16.5,2.68,0.13,43,52,32,50,8.25
9,Unilever Nepal Ltd.,920700,100,92.07,6.34,13.42,94,2500,1630,2500,2301.75
10,Shree Bhrikuti Paper ( Nepal ) Ltd.,3500000,100,350,0.1,0.01,8,50,50,50,175
11,Himalayan Distillery Limited,4130000,100,413,0.4,0.04,4,94,90,94,388.22
,,19597554,,1696.07,59.8,17.19,233,,,,4619.2
,,,,,,,,,,,
,Hotel,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Yak & Yeti Hotel Ltd.,2209208,100,220.92,0.02,0.01,1,600,600,600,1325.52
2,Soaltee Hotel Ltd.,8697187,10,86.97,341.4,17.48,35,60,50,57,495.74
3,Taragaon Regency Hotel Ltd.,7449875,100,744.99,15.95,0.67,141,44,40,43,320.34
4,Oriental Hotels Limited,5000000,100,500,30.44,1.43,304,52,38,44,220
5,Taragaon Regency Hotel Ltd. (Pre.),800000,100,80,4.37,0.18,29,42,40,40,32
,,24156270,,1632.88,392.18,19.77,510,,,,2393.61
,,,,,,,,,,,
,Trading,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Salt Trading Corporation,247777,100,24.78,9.43,2.97,19,316,315,316,78.3
2,Bishal Bazar Co. Ltd.,273000,100,27.3,5.59,12.81,42,2400,2000,2400,655.2
3,Nepal Welfare Company Ltd.,41000,50,2.05,0.2,0.02,5,100,95,95,3.9
,,561777,,54.13,15.22,15.8,66,,,,737.39
,,,,,,,,,,,
,Development Bank,,,,,,,,,,
,,Outstanding,Paid up,Total Paid,Share,Traded,No.of tr-,High,Low,Closing,Market
,Name of the Companies,Equity,Value,up value,Quantity,Amount Rs.,ansactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Development Bank Limited,1600000,100,160,153.6,16.56,651,120,80,102,163.2
2,Development Credit Bank Ltd,2400000,100,240,177,59.83,1280,420,240,390,936
3,Nirdhan Utthan Bank Ltd,274317,100,27.43,3.5,0.37,200,115,100,100,27.43
4,Chhimek Development Bank Ltd.,100000,100,10,0.45,0.05,9,110,100,100,10
5,Paschimanchal Dev. Bank Ltd.,200000,100,20,15.85,1.79,1174,135,103,103,20.6
6,Deprosc Dev. Bank Ltd.,116000,100,11.6,4.63,0.55,115,123,100,110,12.76
7,Gandaki Development Fin. Ins.,500000,100,50,31.36,3.61,1311,115,115,115,57.5
,,5190317,,519.03,386.39,82.76,4740,,,,1227.49
,,,,,,,,,,,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value, share,Amount Rs.,actions,,,,Capitali-
,,,,(in million),( in '000),( in million),,,,,
1,Necon Air Ltd,1792000,100,179.2,0.12,0,1,22,22,22,39.42
2,Nepal Film Dev. Co. Ltd.,446623,100,44.66,0.47,0.02,2,40,38,38,16.97
3,National Hydro Power co. Ltd.,6606630,100,660.66,1.29,0.11,22,90,75,75,495.5
4,NCM Mutual Fund,1000000,10,10,2827,31.71,92,13,10,11,11
5,Butawal Power Co. Ltd.,8390577,100,839.06,15.36,7.26,89,540,380,540,4530.91
6,Chilime Hydro Power Co. Ltd,7296000,100,729.6,457.3,144.78,307,425,276,400,2918.4
,,25531830,,2463.18,3301.54,183.88,513,,,,8012.2
,,,,,,,,,,,
Ashadh 2063,,,,,,,,,,,
(15 June 2006 to 16 July 2006),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,,Traded,,,,,,
,Name of the Companies,Outstanding,Paid up,Total Paid,Share,Traded,No.of tran-,High,Low,Closing,Market
,,Equity,Value,,Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,6.11,13.13,108,2252,2095,2240,10998.29
2,Nepal Investment Bank Ltd.,5905860,100,590.59,21.6,26.24,146,1260,1175,1260,7441.38
3,Standard Chartered Bank Nepal,3746404,100,374.64,3.6,13.15,82,3775,3600,3775,14142.68
4,Himalayan Bank Limited,7722000,100,772.2,11.02,12.14,129,1130,1094,1100,8494.2
5,Nepal SBI Bank Limited,6478032,100,647.8,20.07,12.36,157,650,588,612,3964.56
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,14.3,2.69,108,202,168,199,1432.65
7,Everest Bank Limited,3780000,100,378,7.9,10.62,166,1400,1320,1379,5212.62
8,Bank of Kathmandu Limited,4635809,100,463.58,42.05,35.1,284,851,807,850,3940.44
9,Nepal Ind. & Commercial Bank Ltd.,6000000,100,600,104.6,52.35,238,515,489,496,2976
10,Macha Puchchhre Bank Ltd,5500000,100,550,16.57,5.36,95,330,316,320,1760
11,Laxmi Bank Limited,6100000,100,610,6.16,2.13,46,370,334,368,2244.8
12,Kumari Bank Limited,6250000,100,625,66.47,28.78,218,445,416,443,2768.75
13,Lumbini Bank Limited,5000000,100,500,48.11,8.2,132,174,163,172,860
14,NCC Bank Limited,7000000,100,700,15.58,1.44,58,95,90,94,658
15,Siddhartha Bank Ltd.,5000000,100,500,58.31,20.81,945,367,349,360,1800
,,85227315,,8522.73,442.45,244.5,2912,,,,68694.36
,,,,,,,,,,,
,Finance,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share, Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Finance & Saving Co. Ltd,200000,100,20,0.29,0.04,3,134,134,134,26.8
2,NIDC Capital Markets,600000,100,60,3.89,0.79,29,208,190,208,124.8
3,National Finance Co. Ltd.,950400,100,95.04,4.35,1.11,11,263,250,263,249.96
4,Annunapurna Finance Limited,800000,100,80,2.07,1.04,7,500,500,500,400
5,Kathmandu Finance Ltd,330000,100,33,0.29,0.04,14,140,139,140,46.2
6,Peoples Finance Ltd,400000,100,40,2.55,0.32,13,125,111,111,44.4
7,Union Finance Ltd,725153,100,72.52,0.44,0.05,12,108,105,105,76.14
8,Citizen Investment Trust,400000,100,40,1.66,0.44,10,266,265,266,106.4
9,Nepal Aawas Bikas Beeta Co. Ltd.,580242,100,58.02,1.91,0.36,24,193,190,190,110.25
10,Narayani Finance Ltd,421745,100,42.17,0.09,0.02,1,224,224,224,94.47
11,Ace Finance Co. Ltd,900000,100,90,0.97,0.31,4,325,320,320,288
12,Yeti Finance Co. Ltd,200000,100,20,0.01,0,1,220,220,220,44
13,Gorkha Finance Co. Ltd,250000,100,25,0.67,0.07,12,105,105,105,26.25
14,Samjhana Finance Co. Ltd,225000,100,22.5,0.03,0,3,105,105,105,23.63
15,Nepal Housing & Merchant Fin. Ltd,544500,100,54.45,5.15,1.09,7,215,210,210,114.35
16,General Fiance Ltd,220000,100,22,0.22,0.03,3,150,150,150,33
17,Lalitpur Finance Co. Ltd,506250,100,50.63,0.34,0.08,10,245,245,245,124.03
18,Goodwill Finance Co. Ltd,337500,95,32.06,0.09,0.02,1,185,185,185,62.44
19,Pokhara Finance Ltd,400000,100,40,0.19,0.08,6,410,410,410,164
20,Lumbini Fin. & Leasing Com. Ltd.,600000,85,51,1,0.12,23,115,115,115,69
21,Nepal Merchant Bank & Fin. Ltd.,2000000,65,130,4.46,1.15,61,276,251,276,552
22,Siddhartha Finance Ltd,520000,100,52,0.29,0.05,5,162,158,158,82.16
23,Alpic Everest Finance Ltd,400000,100,40,7.83,1.25,24,160,150,153,61.2
24,Nepal Bangladesh Fin. Leasing Co.,500480,100,50.05,0.02,0,2,110,110,110,55.05
25,United Finance Limited,600000,100,60,0.36,0.06,15,157,154,154,92.4
26,International Leas & Finance Co. Ltd,1200000,100,120,1.43,0.21,56,147,143,147,176.4
27,Shree Investment & Finance Co. Ltd,480000,100,48,0.06,0.01,5,201,200,200,96
28,Central Finance Co. Ltd.,240000,100,24,1.82,0.33,29,180,180,180,43.2
29,Nepal Shreelanka Mer. Bank Ltd,1000000,100,100,2.36,0.23,88,102,90,90,90
30,Premier Finance Co. Ltd,240000,100,20,0.29,0.03,17,120,120,120,28.8
31,Nawa Durga Finance Ltd.,200000,100,20,0.15,0.02,3,111,110,110,22
32,Butwal Finance Ltd,500000,100,50,0.05,0.01,1,120,120,120,60
33,Janaki Finance Co. Ltd,200000,100,20,0.36,0.06,10,185,150,150,30
34,Standard Finance Limited,600000,100,60,3.12,0.34,7,112,105,112,67.2
35,Om Finance Limited,500000,100,50,30.28,6.23,11,225,204,204,102
36,Fewa Finance Com. Limited,500000,100,50,3.77,0.9,79,240,239,240,120
37,World Merchant Banking & Finance,600000,100,60,12.55,1.4,139,114,110,114,68.4
38,Birgunj Finance Ltd.,600000,100,60,0.5,0.07,33,150,148,148,88.8
39,Capital Mer. Banking & Fin. Ltd,700000,100,70,1.72,0.17,32,99,98,98,68.6
40,Everest Finance Ltd.,200000,100,20,0.07,0.01,7,100,98,98,19.6
41,Royal Mer. Banking & Finance Ltd.,500000,100,50,2.2,0.27,47,125,122,122,61
,,21871270,,2102.44,99.9,18.81,865,,,,4212.91
,,,,,,,,,,,
,Insurance,,,,,,,,,,
,Name of the Companies,Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,  Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Insurance Co. Ltd.,1026984,100,102.7,0.05,0.02,2,405,405,405,415.93
2,Rastriya Beema sasthan,828999,100,82.9,0.18,0.31,3,1750,1750,1750,1450.75
3,National Life & Gen. Insurance,300000,100,30,0.59,0.42,8,725,700,700,210
4,Himalayan Ge. Insurance Co.,300000,100,30,0.26,0.05,3,189,180,189,56.7
5,United Insurance Co. Ltd,600000,100,60,0.04,0.03,7,125,125,125,75
6,Everest Insurance Co.Ltd.,600000,100,60,0.25,0.01,1,295,295,295,177
7,Premier Insurance Co. (Nepal ) Ltd.,300000,100,30,127.9,0.05,18,200,195,200,60
8,Neco Insurance Com. Ltd.,550000,100,55,0.78,11.4,21,91,87,90,49.5
9,Sagarmatha Insurance Company Ltd,561000,100,56.1,1.43,0.16,24,210,205,210,117.81
10,NB Insurance Com. Limited,1000000,100,100,5,0.11,18,80,76,76,76
11,Nepal Life Insurance Co. Ltd,2500000,100,250,11.67,2.03,57,427,400,427,1067.5
12,Life Insurance Corp. Nepal Ltd,2500000,100,250,0.14,3.75,171,360,300,360,900
13,Prudential Insurance Co. Ltd.,1000000,100,100,0.28,0.02,3,152,145,145,145
,,12066983,,1206.7,148.57,18.36,336,,,,4801.19
,,,,,,,,,,,
,Manufact. & Processing,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Unilever Nepal Ltd.,920700,100,92.07,0.47,1.17,10,2500,2400,2500,2301.75
2,Himalayan Distillery Limited,4130000,100,413,0.1,0.01,1,94,94,94,388.22
,,5050700,,505.07,0.57,1.18,11,,,,2689.97
,,,,,,,,,,,
,Hotel,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Soaltee Hotel Ltd.,8697187,10,86.97,0.04,0,1,57,57,57,495.74
2,Taragaon Regency Hotel Ltd.,7449875,100,744.99,0.41,0.02,7,43,42,43,320.34
3,Oriental Hotels Limited,5000000,100,500,3.32,0.14,23,44,39,44,220
,,21147062,,1331.96,3.77,0.16,31,,,,1036.08
,,,,,,,,,,,
,Trading,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Bishal Bazar Co. Ltd.,273000,100,27.3,0.03,0.07,1,2400,2400,2400,655.2
,,273000,,27.3,0.03,0.07,1,,,,655.2
,,,,,,,,,,,
,Development Bank,,,,,,,,,,
,,Outstanding,Paid up,Total Paid,Share,Traded,No.of tr-,High,Low,Closing,Market
,Name of the Companies,Equity,Value,up value,Quantity,Amount Rs.,ansactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Development Bank Limited,1600000,100,160,1.16,0.1,47,102,80,102,163.2
2,Development Credit Bank Ltd,2400000,100,240,6.06,2.27,116,392,365,390,936
3,Nirdhan Utthan Bank Ltd,274317,100,27.43,0.29,0.03,25,100,100,100,27.43
4,Paschimanchal Dev. Bank Ltd.,200000,100,20,0.4,0.04,2,103,103,103,20.6
5,Deprosc Dev. Bank Ltd.,116000,100,11.6,0.16,0.02,7,110,110,110,12.76
6,Gandaki Dev. Financial Ins.,500000,100,50,31.36,3.61,1311,115,115,115,57.5
,,5090317,,509.03,39.43,6.07,1508,,,,1217.49
,,,,,,,,,,,
        Other,,,,,,,,,,,
,,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,Name of the Companies,Equity,Value,up value, share,Amount Rs.,actions,,,,Capitali-
,,,,(in million),( in '000),( in million),,,,,
1,National Hydro Power co. Ltd.,6606630,100,660.66,0.09,0.01,9,75,75,75,495.5
2,NCM Mutual Fund,1000000,10,10,3.9,0.04,6,12,11,11,11
3,Butawal Power Co. Ltd.,8390577,100,839.06,1.07,0.57,3,540,513,540,4530.91
4,Chilime Hydro Power Co. Ltd.,7296000,100,729.6,96.55,38.15,156,425,352,400,2918.4
,,23293207,,2239.32,101.61,38.77,174,,,,7955.81
Jestha 2063,,,,,,,,,,,
(15 May 2006 to June 2006),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,,Traded,,,,,,
,Name of the Companies,Outstanding,Paid up,Total Paid,Share,Traded,No.of tran-,High,Low,Closing,Market
,,Equity,Value,,Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,8.69,18.69,90,2300,2075,2100,10310.9
2,Nepal Investment Bank Ltd.,5905860,100,590.59,33.51,40.54,273,1265,1170,1175,6939.39
3,Standard Chartered Bank Nepal,3746404,100,374.64,12.38,44.54,201,3700,3550,3600,13487.05
4,Himalayan Bank Limited,7722000,100,772.2,15.79,18,205,1200,1055,1095,8455.59
5,Nepal SBI Bank Limited,6478032,100,647.8,57.22,35.56,354,689,575,600,3886.82
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,22.89,3.91,153,190,152,170,1223.87
7,Everest Bank Limited,3780000,100,378,23.89,32.32,392,1410,1300,1333,5038.74
8,Bank of Kathmandu Limited,4635809,100,463.58,111.9,92.3,426,881,801,810,3755.01
9,Nepal Ind. & Commercial Bank Ltd.,6000000,100,600,36,18.11,274,550,470,489,2934
10,Macha Puchchhre Bank Ltd,5500000,100,550,28.82,9.82,128,370,328,331,1820.5
11,Laxmi Bank Limited,6100000,100,610,25.09,9.04,164,371,325,331,2019.1
12,Kumari Bank Limited,6250000,100,625,90.46,41.49,395,475,435,438,2737.5
13,Lumbini Bank Limited,5000000,100,500,41.06,6.84,262,175,162,163,815
14,NCC Bank Limited,7000000,100,700,20.12,1.83,116,98,88,91,637
15,Siddhartha Bank Ltd.,5000000,100,500,121.8,44.97,1781,387,350,359,1795
16,Everest Bank Limited (Pre),420000,100,42,0.1,0.01,1,102,102,102,42.84
,,85647315,,8564.73,649.72,417.97,5215,,,,65898.3
,,,,,,,,,,,
,Finance,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share, Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,NIDC Capital Markets,600000,100,60,1.87,0.37,8,200,180,197,118.2
2,National Finance Co. Ltd.,950400,100,95.04,9.39,2.36,25,264,250,263,249.96
3,Nepal Share Markets & Fin. Ltd.,1200000,100,120,102.3,14.83,10,145,145,145,174
4,Annunapurna Finance Limited,800000,100,80,2.94,1.45,23,500,480,480,384
5,Kathmandu Finance Ltd,330000,100,33,0.13,0.02,8,139,139,139,45.87
6,Peoples Finance Ltd,400000,100,40,0.46,0.06,28,126,120,120,48
7,Union Finance Ltd,725153,100,72.52,0.81,0.09,13,108,108,108,78.32
8,Citizen Investment Trust,400000,100,40,0.34,0.09,13,278,262,262,104.8
9,Nepal Aawas Bikas Beeta Co. Ltd.,580242,100,58.02,2.25,0.42,46,190,185,190,110.25
10,Narayani Finance Ltd,421745,100,42.17,11.01,2.5,11,235,224,224,94.47
11,Ace Finance Co. Ltd,900000,100,90,2.05,0.68,9,335,325,328,295.2
12,Gorkha Finance Co. Ltd,250000,100,25,0.21,0.02,10,108,105,105,26.25
13,Universal Finance Ltd,375000,100,37.5,4.6,0.84,18,182,181,181,67.88
14,Nepal Housing & Merchant Fin. Ltd,544500,100,54.45,3.72,0.77,11,215,201,215,117.07
15,General Fiance Ltd,220000,100,22,0.2,0.03,2,145,145,145,31.9
16,Mahalaxmi Finance Ltd,495320,100,49.53,0.33,0.09,6,270,260,260,128.78
17,Lalitpur Finance Co. Ltd,506250,100,50.63,0.61,0.15,12,250,245,245,124.03
18,Paschimanchal Finance Co. Ltd.,506000,100,50.6,0.29,0.07,3,250,250,250,126.5
19,Pokhara Finance Ltd,400000,100,40,0.12,0.05,3,410,410,410,164
20,Lumbini Fin. & Leasing Com. Ltd.,600000,85,51,2.71,0.31,73,116,114,116,69.6
21,Nepal Merchant Bank & Fin. Ltd.,2000000,65,130,2.27,0.55,76,250,234,250,500
