Nepal Stock Exchange Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
30,International Leas & Finance Co. Ltd,1200000,100,120,281.43,104.88,756,405,135,380,456
31,Shree Investment & Finance Co. Ltd,560000,100,56,12.75,3.48,157,340,195,315,176.4
32,Central Finance Co. Ltd.,480000,100,48,14.71,3.61,187,306,180,300,144
33,Nepal Shreelanka Mer. Bank Ltd,1000000,100,100,9.19,0.93,295,126,87,126,126
34,Premier Finance Co. Ltd,288000,100,28.8,3.92,0.71,111,235,120,235,67.68
35,Nawa Durga Finance Ltd.,395507,100,39.55,4.26,0.49,96,132,105,132,52.21
36,Butwal Finance Ltd,632500,100,63.25,50.65,7.47,69,219,115,200,126.5
37,Janaki Finance Co. Ltd,400000,100,40,66.42,12.58,48,212,148,200,80
38,Standard Finance Limited,660000,100,66,32.12,6.51,223,280,108,243,160.38
39,Om Finance Limited,700000,100,70,59.41,13.76,39,275,200,275,192.5
40,Cosmic Merchant & Finance Ltd.,750510,100,75.05,23.86,2.7,227,127,100,122,91.56
41,Fewa Finance Com. Limited,500000,100,50,7.95,1.99,76,300,210,300,150
42,KIST Merchant Bank.&Finance,1000000,100,100,162.51,69.08,504,670,160,560,560
43,World Merchant Banking & Finance,600000,100,60,65.99,13.18,770,296,110,265,159
44,Birgunj Finance Ltd.,660000,100,66,29.74,6.63,600,273,135,270,178.2
45,Capital Mer. Bank & Finance,770000,100,77,43.7,5.14,544,196,98,175,134.75
46,Everest Finance Ltd.,200000,100,20,27.73,3.24,655,168,95,168,33.6
47,Prudential Bittiya Sanstha,500000,100,50,33.29,4.38,181,179,103,155,77.5
48,Shrijana Finance Ltd.,100000,100,10,0.45,0.05,9,103,100,103,10.3
49,Royal Merchant banking & Fin,550000,100,55,63.93,8.7,1234,185,110,185,101.75
50,Guheshori Mer. Bank Finance,550000,100,55,92.24,9.76,1404,149,103,149,81.95
51,IME Fin. Inst Ltd.,500000,100,50,189.13,42.84,4851,386,105,386,193
52,Bhajuratna Fin & Saving Co. Ltd.,350000,100,35,40.71,4.09,683,111,100,111,38.85
53,Patan Finance Ltd.,500000,100,50,0.05,0.01,1,105,105,105,52.5
,,35336824,,3482.18,2534.19,713.57,18879,,,,11491.40449
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Insurance,,,,,,,,,,
,Name of the Companies,Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,  Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Insurance Co. Ltd. ,1026984,100,102.7,2.16,0.82,16,400,357,357,366.63
2,Rastriya Beema sasthan,828999,100,82.9,6.87,14.09,68,2150,1750,2150,1782.35
3,National Life & Gen. Insurance,300000,100,30,23.5,16.67,94,798,600,720,216
4,Himalayan Ge. Insurance Co.,300000,100,30,1.5,0.36,25,300,198,300,90
5,United Insurance Co. Ltd,600000,100,60,15.59,3.04,95,220,120,219,131.4
6,Everest Insurance Co. Ltd,900000,100,90,52.95,15.04,84,305,281,290,261
7,Premier Insurance Co. (Nepal ) Ltd.,300000,100,30,1.24,0.26,81,260,200,260,78
8,Neco Insurance Co.,550000,100,55,79.17,7.4,155,128,86,121,66.55
9,Alliance Insurance Co. Ltd.,500000,100,50,5.18,0.53,13,111,98,111,55.5
10,Sagarmatha Insurance Company Ltd,561000,100,56.1,3.97,0.85,169,227,200,227,127.35
11,NB Insurance Co. Limited,1000000,100,100,16.65,1.34,151,98,74,95,95
12,Nepal Life Insurance Co. Ltd,2500000,100,250,95.1,59.87,630,1000,427,766,1915
13,Life Insurance Corp. Nepal Ltd,2500000,100,250,57.98,31.5,856,880,360,880,2200
14,Prudential Insurance Co. Ltd.,1000000,100,100,88.18,9.36,3992,205,103,205,205
15,Shikhar Insurance Co. Ltd.,1250000,100,125,177.6,43.84,9774,306,220,296,370
,,14116983,,1411.7,627.64,204.97,16203,,,,7959.78
,,,,,,,,,,,
,Manufacturing & Processing,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total,Traded ,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Harisddhi Bricks & Tile Fact. Ltd,1865000,10,18.65,20.1,0.07,16,4.2,1.6,4.2,7.83
2,Birat Shoes Com. Ltd.,165000,100,16.5,0.07,0,7,30,28,28,4.62
3,Unilever Nepal Ltd.,920700,100,92.07,7.39,21.56,97,3450,2510,3400,3130.38
4,Gorakhkali Rubber Udyog Ltd.,3833400,75,287.51,0.6,0.02,2,39,39,39,149.5
5,Jyoti Spinning Mills Ltd. (Ord),1270288,100,127.03,38.61,1.04,6,27,26,27,34.3
6,Himalayan Distillery Limited,4130000,100,413,16.15,1.58,7,105,94,105,433.65
,,12184388,,954.75,82.92,24.27,135,,,,3760.28
,,,,,,,,,,,
,Hotel,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Soaltee Hotel Ltd.,8697187,10,86.97,53.77,5.31,49,126,55,126,1095.85
2,Taragaon Regency Hotel Ltd.,7449875,100,744.99,4.14,0.19,53,55,41,55,409.74
3,Oriental Hotels Limited,5000000,100,500,23.79,1.54,291,87,39,86,430
,,21147062,,1331.96,81.7,7.04,393,,,,1935.59
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Trading,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Salt Trading Corporation,247777,100,24.78,6.98,2.26,7,325,316,325,80.53
2,Bishal Bazar Co. Ltd.,273000,100,27.3,3.28,8.05,32,2575,2400,2575,702.98
3,Nepal Welfare Company Ltd.,41000,50,2.05,1.21,0.11,3,95,95,95,3.9
,,561777,,54.13,11.47,10.42,42,,,,787.4
,,,,,,,,,,,
,Development Bank,,,,,,,,,,
,,Outstanding,Paid up,Total,Share ,Traded ,No.of tr-,High,Low,Closing,Market
,Name of the Companies,Equity,Value,Paid up,Quantity,Amount Rs.,ansactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Development Bank Limited,1600000,100,160,60.9,8.71,1176,198,100,153,244.8
2,Development Credit Bank Ltd,2688000,100,268.8,303.5,221.81,1538,970,367,800,2150.4
3,Nirdhan Utthan Bank Ltd,328838,100,32.88,2.3,0.24,22,110,100,110,36.17
4,Chhimek Development Bank Ltd.,300000,100,30,4.29,0.89,250,242,105,242,72.6
5,Paschimanchal Dev. Bank Ltd.,525000,100,52.5,8.52,0.93,58,140,105,132,69.3
6,Deprosc Dev. Bank Ltd.,116000,100,11.6,0.56,0.07,23,156,110,156,18.1
7,Gandaki Development Fin. Ins.,500000,100,50,53.16,9.87,1661,280,110,260,130
8,Business Dev. Bank Ltd.,300000,100,30,102,24.89,5773,381,200,365,109.5
9,Siddartha Bikas Bank Ltd.,500000,100,50,88.22,14.54,1942,309,130,290,145
10,Bhrikutee Dev. Bank Ltd.,239572,100,23.96,2.65,0.39,22217,150,100,150,35.94
11,Sanima Bikas Bank Ltd.,3200000,100,320,650.4,280.06,2885,500,368,450,1440
12,Narayani Ind. Dev. Bank Ltd.,200000,100,20,69.34,10.94,275,205,140,140,28
13,Bageshori Dev. Bank Ltd.,300000,100,30,7.33,1.59,138,294,140,294,88.2
14,Sahayogi Vikas Bank Ltd.,200000,100,20,2.66,0.55,144,210,200,200,40
15,Gurkha Dev. Bank Ltd.,3200000,100,320,4.65,2.07,1311,460,429,429,1372.8
,,14197410,,1419.74,1360.48,577.55,39413,,,,5980.8
,,,,,,,,,,,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up, share,Amount Rs.,actions,,,,Capitali-
,,,,(in million),( in '000),( in million),,,,,
1,National Hydro Power co. Ltd.,6606630,100,660.66,3740,642.36,2044,252,78,185,1222.23
2,NCM Mutual Fund,1000000,10,10,74.1,1.03,106,17,10,15,15
3,Butawal Power Co. Ltd.,8390577,100,839.06,35.61,29.85,96,1000,530,1000,8390.58
4,Chilime Hydro Power Co. Ltd,7296000,100,729.6,884.7,584.98,1631,940,361,940,6858.24
5,Nepal Film Dev. Co. Ltd.,446623,100,44.66,14.24,0.54,21,38,38,38,16.97
,,23739830,,2283.98,4748.65,1258.76,3898,,,,16503.02
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company-wise Monthly Transactions,,,,,,,,,,,
Sharwan 2063,,,,,,,,,,,
(16 July 2006 to 16 Aug 2006),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,Total,Traded,,,,,,
,Name of the company,Outstanding,Paid up,Paid up,Share ,Traded ,No.of tran-,High,Low,Closing,Market
,,Equity,Value,(in million),Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,9.12,20.56,118,2305,2025,2250,11047.39
2,Nepal Investment Bank Ltd.,5905860,100,590.59,8.54,10.95,86,1350,1090,1275,7529.97
3,Standard Chartered Bank Nepal ,3746404,100,374.64,9.25,34.5,97,3860,3058,3740,14011.55
4,Himalayan Bank Limited,7722000,100,772.2,8.23,8.96,126,1171,1000,1100,8494.2
5,Nepal SBI Bank Limited,6478032,100,647.8,32.43,19.8,207,668,505,600,3886.82
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,37.65,8.88,214,279,200,252,1814.21
7,Everest Bank Limited,3780000,100,378,20.57,25.01,242,1369,1100,1325,5008.5
8,Bank of Kathmandu Limited,4635809,100,463.58,73.9,57.3,330,867,691,830,3847.72
9,Nepal Ind. & Commercial Bank Ltd.,6000000,100,600,17.1,8.64,140,527,475,480,2880
10,Macha Puchchhre Bank Ltd,5500000,100,550,41.41,13.91,170,355,300,330,1815
11,Laxmi Bank Limited,6100000,100,610,15.66,5.71,68,380,329,379,2311.9
12,Kumari Bank Limited,6250000,100,625,57.68,26.04,385,482,400,440,2750
13,Lumbini Bank Limited,5000000,100,500,34.5,6.11,477,188,173,173,865
14,NCC Bank Limited,7000000,100,700,5,0.51,50,104,95,95,665
15,Siddhartha Bank Ltd.,5000000,100,500,87.54,31.36,1381,380,305,366,1830
,,85227315,,8522.73,458.58,278.24,4091,,,,68757.26
,,,,,,,,,,,
,Finance,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share , Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Finance & Saving Co. Ltd,200000,100,20,0.1,0.01,1,134,134,134,26.8
2,NIDC Capital Markets,600000,100,60,0.55,0.11,3,212,205,205,123
3,National Finance Co. Ltd.,950400,100,95.04,0.84,0.22,8,263,263,263,249.96
4,Nepal Share Markets & Fin. Ltd.,1200000,100,120,41.58,6.03,13,145,145,145,174
5,Annunapurna Finance Limited,800000,100,80,1.54,0.78,4,510,500,510,408
6,Kathmandu Finance Ltd,330000,100,33,0.03,0,2,140,140,140,46.2
7,Peoples Finance Ltd,400000,100,40,0.02,0,1,115,115,115,46
8,Union Finance Ltd,725153,100,72.52,2.41,0.25,69,105,105,105,76.14
9,Citizen Investment Trust,400000,100,40,0.09,0.02,8,279,266,275,110
10,Nepal Aawas Bikas Beeta Co. Ltd.,580242,100,58.02,0.39,0.08,15,195,191,195,113.15
11,Narayani Finance Ltd,421745,100,42.17,0.39,0.09,4,224,224,224,94.47
12,Ace Finance Co. Ltd,900000,100,90,0.86,0.28,3,320,320,320,288
13,Gorkha Finance Co. Ltd,250000,100,25,3.09,0.33,3,108,107,108,27
14,Universal Finance Ltd,375000,100,37.5,0.07,0.01,7,181,181,181,67.88
15,Nepal Housing & Merchant Fin. Ltd,544500,100,54.45,0.25,0.05,5,215,210,210,114.35
16,Mahalaxmi Finance Ltd,495320,100,49.53,0.29,0.08,5,260,260,260,128.78
17,Lalitpur Finance Co. Ltd,506250,100,50.63,5.09,1.25,20,245,245,245,124.03
18,Goodwill Finance Co. Ltd,337500,95,32.06,0.01,0,1,185,185,185,62.44
19,Paschimanchal Finance Co. Ltd.,506000,100,50.6,0.55,0.14,6,250,250,250,126.5
20,Pokhara Finance Ltd,400000,100,40,0.64,0.26,3,400,400,400,160
21,Lumbini Fin. & Leasing Com. Ltd.,600000,85,51,5.86,0.67,59,116,115,115,69
22,Nepal Merchant Bank & Fin. Ltd.,2000000,65,130,1.82,0.5,45,277,270,271,542
23,Siddhartha Finance Ltd,520000,100,52,0.18,0.03,5,158,158,158,82.16
24,Nepal Bangladesh Fin. Leasing Co.,500480,100,50.05,0.12,0.01,3,110,110,110,55.05
25,United Finance Limited,600000,100,60,0.31,0.05,14,157,156,157,94.2
26,International Leas & Finance Co. Ltd,1200000,100,120,1.93,0.29,52,150,146,150,180
27,Shree Investment & Finance Co. Ltd,480000,100,48,0.32,0.06,3,200,200,200,96
28,Central Finance Co. Ltd.,360000,100,36,1.5,0.27,14,185,180,185,66.6
29,Nepal Shreelanka Mer. Bank Ltd,1000000,100,100,0.41,0.04,17,90,90,90,90
30,Premier Finance Co. Ltd,240000,100,20,0.01,0,1,120,120,120,28.8
31,Nawa Durga Finance Ltd.,200000,100,20,0.95,0.1,53,110,105,105,21
32,Butwal Finance Ltd,500000,100,50,0.18,0.02,1,120,120,120,60
33,Standard Finance Limited,600000,100,60,7.71,0.85,16,110,108,110,66
34,Fewa Finance Com. Limited,500000,100,50,1.02,0.24,8,240,240,240,120
35,World Merchant Banking & Finance,600000,100,60,0.68,0.08,53,115,115,115,69
36,Birgunj Finance Ltd.,600000,100,60,1.51,0.21,5,150,138,138,82.8
37,Capital Mer. Banking & Fin. Ltd,700000,100,70,1.4,0.14,26,99,98,99,69.3
38,Everest Finance Ltd.,200000,100,20,1.74,0.17,84,98,98,98,19.6
39,Prudencial Bittya Sanstha Ltd.,500000,100,50,0.26,0.03,1,108,108,108,54
40,Royal Mer. Banking & Finance Ltd.,500000,100,50,1.41,0.17,19,125,122,125,62.5
41,Guheyshwori Mer. Banking Fin.,500000,100,50,45.1,4.65,817,105,103,103,51.5
,,23822590,,2297.57,133.21,18.57,1477,,,,4546.2
,,,,,,,,,,,
,,,,,,,,,,,
,Insurance,,,,,,,,,,
,Name of the company,Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,  Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Insurance Co. Ltd. ,1026984,100,102.7,0.11,0.05,6,400,400,400,410.79
2,Rastriya Beema sasthan,828999,100,82.9,0.02,0.03,1,1750,1750,1750,1450.75
3,National Life & Gen. Insurance,300000,100,30,0.14,0.09,6,700,700,700,210
4,Himalayan Ge. Insurance Co.,300000,100,30,0.18,0.04,2,208,198,208,62.4
5,Everest Insurance Co.Ltd.,600000,100,60,0.03,0.01,2,295,295,295,177
6,Premier Insurance Co. (Nepal ) Ltd.,300000,100,30,0.17,0.03,4,200,200,200,60
7,Neco Insurance Com. Ltd.,550000,100,55,5.51,0.5,5,90,90,90,49.5
8,Alliance Insurance Co. Ltd.,500000,100,50,4.03,0.41,3,102,98,101,50.5
9,Sagarmatha Insurance Company Ltd,561000,100,56.1,0.34,0.07,20,210,210,210,117.81
10,NB Insurance Com. Limited,1000000,100,100,0.56,0.04,8,77,76,77,77
11,Nepal Life Insurance Co. Ltd,2500000,100,250,2.56,1.12,75,450,427,450,1125
12,Life Insurance Corp. Nepal Ltd,2500000,100,250,10.54,4.01,138,393,360,388,970
,,10966983,,1096.7,24.19,6.4,270,,,,4760.75
,,,,,,,,,,,
,Manufact. & Processing,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded ,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Unilever Nepal Ltd.,920700,100,92.07,1.95,4.97,13,2677,2510,2677,2464.71
,,920700,,92.07,1.95,4.97,13,,,,2464.71
,,,,,,,,,,,
,Hotel,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Soaltee Hotel Ltd.,8697187,10,86.97,0.9,0.05,1,55,55,55,478.35
2,Taragaon Regency Hotel Ltd.,7449875,100,744.99,0.4,0.02,4,43,43,43,320.34
3,Oriental Hotels Limited,5000000,100,500,0.81,0.04,5,44,44,44,220
,,21147062,,1331.96,2.11,0.11,10,,,,1018.69
,,,,,,,,,,,
,,,,,,,,,,,
,Trading,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Salt Trading Corporation,247777,100,24.78,0.28,0.09,1,316,316,316,78.3
2,Bishal Bazar Co. Ltd.,273000,100,27.3,0.11,0.25,1,2400,2400,2400,655.2
,,520777,,52.08,0.39,0.34,2,,,,733.5
,,,,,,,,,,,
,Development Bank,,,,,,,,,,
,,Outstanding,Paid up,Total,Share ,Traded ,No.of tr-,High,Low,Closing,Market
,Name of the company,Equity,Value,Paid up,Quantity,Amount Rs.,ansactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Development Bank Limited,1600000,100,160,1.1,0.12,31,110,102,110,176
2,Development Credit Bank Ltd,2400000,100,240,3.13,1.19,101,390,370,370,888
3,Nirdhan Utthan Bank Ltd,274317,100,27.43,1.1,0.11,1,100,100,100,27.43
4,Gandaki Dev. Financial Ins.,500000,100,50,4,0.46,200,115,115,115,57.5
,,4774317,,477.43,9.33,1.88,333,,,,1148.93
,,,,,,,,,,,
,Other,,,,,,,,,,
,,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,Name of the company,Equity,Value,Paid up, share,Amount Rs.,actions,,,,Capitali-
,,,,(in million),( in '000),( in million),,,,,
1,National Hydro Power co. Ltd.,6606630,100,660.66,2.75,0.25,15,101,78,96,634.24
2,NCM Mutual Fund,1000000,10,10,0.9,0.01,3,11,11,11.2,11.2
3,Butawal Power Co. Ltd.,8390577,100,839.06,0.22,0.12,3,565,530,565,4740.68
4,Chilime Hydro Power Co. Ltd.,7296000,100,729.6,83.47,31.53,93,402,361,391,2852.74
,,23293207,,2239.32,87.34,31.91,114,,,,8238.85
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company-wise Monthly Transactions,,,,,,,,,,,
Bhadra 2063,,,,,,,,,,,
(16 Aug 2006 to 16 Sept 2006),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,Total,Traded,,,,,,
,Name of the company,Outstanding,Paid up,Paid up,Share ,Traded ,No.of tran-,High,Low,Closing,Market
,,Equity,Value,(in million),Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,4.16,8.94,74,2240,2125,2140,10507.29
2,Nepal Investment Bank Ltd.,5905860,100,590.59,28.94,36.38,194,1295,1165,1270,7500.44
3,Standard Chartered Bank Nepal ,3746404,100,374.64,3.32,12,56,3700,3580,3625,13580.71
4,Himalayan Bank Limited,7722000,100,772.2,6.99,7.31,100,1090,1015,1045,8069.49
5,Nepal SBI Bank Limited,6478032,100,647.8,15.71,9.09,130,600,560,585,3789.65
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,12.65,2.85,85,250,210,218,1569.44
7,Everest Bank Limited,3780000,100,378,15.23,19.66,164,1305,1270,1290,4876.2
8,Bank of Kathmandu Limited,4635809,100,463.58,54.44,44.19,253,830,800,818,3792.09
9,Nepal Ind. & Commercial Bank Ltd.,6000000,100,600,20.62,9.7,174,479,465,470,2820
10,Machhapuchchhre Bank Ltd,7150000,100,715,36.04,12,213,345,327,333,2380.95
11,Laxmi Bank Limited,6100000,100,610,7.51,2.65,184,375,349,350,2135
12,Kumari Bank Limited,6250000,100,625,130.7,58.16,237,472,438,459,2868.75
13,Lumbini Bank Limited,5000000,100,500,254.4,40.61,115,168,157,167,835
14,NCC Bank Limited,7000000,100,700,9.53,0.91,73,97,94,95,665
15,Siddhartha Bank Ltd.,5000000,100,500,91.92,34.18,1301,381,365,373,1865
16,Everest Bank Limited (Pre),420000,100,42,2.9,0.29,2,100,100,100,42
,,87297315,,8729.73,695.06,298.92,3355,,,,67297.02
,,,,,,,,,,,
,Manufact. & Processing,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded ,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Gorakhali Rubber Udyog Ltd.,3833400,75,287.51,0.1,0,1,39,39,39,149.5
2,Harisiddhi Bricks & Title Fact. Ltd.,18650000,10,186.5,1,0,2,1.6,1.6,1.6,29.84
3,Unilever Nepal Ltd.,920700,100,92.07,0.76,2.14,14,2900,2810,2900,2670.03
4,Himalayan Distillery Limited,4130000,100,413,16.05,1.57,5,98,94,98,404.74
,,27534100,,979.08,17.91,3.71,22,,,,3254.11
,,,,,,,,,,,
,Hotel,,,,,,,,,,
,Name of the company,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share ,Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Soaltee Hotel Ltd.,8697187,10,86.97,0.18,0.01,1,57,57,57,495.74
2,Taragaon Regency Hotel Ltd.,7449875,100,744.99,0.54,0.02,4,41,41,41,305.44
