Nepal Stock Exchange Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
29,Annapurna Finance Co. Ltd.,100,80,195.18,1090,        21.11,        24.00,        30.87,
30,NIDC Capital Markets Ltd.,100,60,154.5,1350,        20.39,          8.41,          8.78,A
31,National Finance Co. Ltd.,100,95.04,184.64,1280,        15.17,        29.86,        16.50,
32,Nepal Share Markets Finance Ltd.,100,160,111.54,1498,         3.48,        13.13,        25.40,A
33,Kathmandu Finance Limited.,100,32.94,140.38,2400,         0.83,          5.39,          8.90,
34,Peoples Finance Limited,100,40,122.5,4387,         4.66,          7.04,          2.51,
35,Citizen Investment Trust,100,39.99,187.07,4120,        14.68,        26.78,        26.97,*
36,Nepal Aawas Bikas Beeta Co.,100,58.01,153.72,3877,        15.30,        15.80,        16.87,
37,Mahalaxmi Finance Limited,100,60,144.08,3715,        15.22,        13.41,        14.79,
38,Gorkha Finance Limited,100,25,145.49,1920,         3.63,          2.92,          7.08,
39,Narayani Dinance Ltd,100,42.17,156.99,1193,        10.15,        11.79,        13.40,
40,Lalitpur Finance Co. Ltd,100,50.62,188.86,1005,         5.59,        17.00,        19.00,
41,Paschimanchal Finance Ltd,100,50.06,50.06,1080,        12.06,        12.43,        12.45,
42,Universal Finance Ltd.,100,37.5,170.44,2370,        10.02,          9.67,        10.60,
43,Goodwill Finance co. Ltd.,100,54.45,120.57,1080,         4.44,          4.18,          8.63,
44,Lumbini Finance & leasing Company Ltd.,100,60,153.22,8900,        17.39,        41.99,          3.26,
45,Nepal Merchant Banking & Finance Ltd.,65,130,177.97,16500,        42.16,        32.05,        36.49,
46,Siddhartha Finance Limited,100,52,132.78,2351,        12.93,          7.01,        13.10,
47,Alpic Everest Finance Limited,100,50,123.31,2460,         8.68,          5.29,          4.94,
48,United Finance Limited,100,60,125.67,4976,         2.79,          3.75,        12.70,
49,International Leasing & Finance Limited ,100,120,120.79,6120,        11.64,        24.02,        12.82,
50,Union Finance Co. Ltd.,100,65.98,128.28,6801,        14.39,          3.75,        10.13,
51,Shree Investment & Finance Co.,100,48,145,2288,         8.52,        13.95,        12.20,
52,Premier Finance Co. Ltd.,100,24,153.29,1200,         3.38,          6.80,          7.34,
53,Butwal Finance Ltd.,100,57.5,130.63,1755,         4.04,          6.53,          7.78,
54,Nawa Durga Finance Co.,100,22,129.7,3620,         3.19,          6.32,          6.52,
55,Cosmic Merchant Banking & Finance,100,60,113.26,1552,         3.16,          6.67,          2.26,*
56,Central Finance Company Limited,100,36,156.91,1811,         4.05,          7.13,          8.38,
57,Standard Finance Limited,100,66,113.62,3501,         4.56,          5.05,          3.67,
58,Fewa Finance Co. Ltd.,100,50,128.52,3120,         2.56,          6.91,          9.98,
59,World Mechant Banking & Finance Co. L,100,60,132.38,6720,         7.14,          7.22,        13.27,
60,Birgunj Fiance Ltd.,100,60,118.3,3850,         0.73,          4.98,        11.34,A
61,Capital Merchant Banking & Fin,100,70,122.18,1405,         0.06,          3.10,          9.40,A
62,Kist Merchant banking 7 Fin.,100,88.99,114.6,2285,         5.13,          9.26,        16.50,A
63,Royal Merchant banking & Fiance,100,50,116.58,3150,         0.79,          3.24,          6.72,A
64,Guheswori Merchant banking 7 Fin,100,31.08,150.27,2850,         1.15,          8.06,        10.22,A
65,Unilever Nepal Limited,100,92.07,244.28,1290,      140.78,      189.20,      238.15,
66,Chilime Hydropwer Co.,100,729.39,204.75,3976,      224.60,      286.99,      252.46,A
,,,,,,,,,
1,Janaki Finance Limited,D,,,,,,,
2,Om Finance  Ltd,D,,,,,,,
3,NB Insurance Com. Ltd.,D,,,,,,,
*,Note: It denotes the profit for the F/Y 2005/06 is Provisional unaudited figure.,,,,,,,,
A,It Denotes  addition of the company in the F/Y 2005/06,,,,,,,,
D,It denotes delition of the company  in the F/Y 2005/06,,,,,,,,
,,,,,,,,,
Criteria for the classification of the listed companies as per Listing Bye-Laws 2053,,,,,,,,,
1. The paid-up capital of the company must be at least Rs. 20.00 million,,,,,,,,,
2. The number of equity shareholder must be at least 1000,,,,,,,,,
3.The company must have made the public floatation as per bye-laws 9 (ka) sub-byelaws (4).,,,,,,,,,
4. The company must be in profit since last three years.,,,,,,,,,
5. The book value of the share should not be less than its paid up value.,,,,,,,,,
6. Submission of the financial statement within six months from  the closure of the F/Y,,,,,,,,,
