Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchang Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,2006-08-03 00:00:00,60825.16,5518.15,2344.21,7950.89,764.44,5035.75,5038.49,1543.05,89020.13,
,,,2006-08-06 00:00:00,62806.81,5518.15,2344.21,7950.89,764.44,5048.25,5036.09,1543.05,91011.88,
,,,2006-08-07 00:00:00,67269.92,5518.15,2344.21,8357.44,764.44,5078.25,5027.39,1554.25,95914.05,
,,,2006-08-08 00:00:00,69218.14,5518.15,2344.21,8357.44,764.44,5063.25,5027.39,1554.25,97847.27,
,,,2006-08-13 00:00:00,69449.15,5518.15,2344.21,8357.44,764.44,5054.25,5023.19,1554.25,98065.08,
,,,2006-08-14 00:00:00,69063.91,5518.15,2344.21,8357.44,764.44,5076.75,5041.89,1554.25,97721.04,
,,,2006-08-15 00:00:00,68757.26,5635.08,2344.21,8291.78,764.44,5080.75,5042.09,1542.25,97457.86,
,,,,,,,,,,,,,
,,, Sectorwise market capitalization during Bhadra 2063 (16 Aug 2006 to 14 Sept 2006),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Bhadra 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2006-08-17 00:00:00,68325.79,5757.53,2329.31,8284.48,764.44,5085.35,5045.62,1542.25,97134.78,
,,,2006-08-20 00:00:00,67462.34,5757.53,2329.31,8277.19,764.44,5092.85,5046.82,1614.25,96344.73,
,,,2006-08-21 00:00:00,66915.67,5757.53,2329.31,8277.19,764.44,5095.35,5049.42,1686.25,95875.17,
,,,2006-08-22 00:00:00,66417.26,5757.53,2329.31,8248,764.44,5105.35,5045.4,1686.25,95353.55,
,,,2006-08-24 00:00:00,66247.86,5757.53,2329.31,8183.27,764.44,5152.65,5050.46,1667.35,95128.88,
,,,2006-08-27 00:00:00,65948.81,5794.36,2329.31,8139.5,764.44,5128.65,5060.46,1681.75,94847.28,
,,,2006-08-28 00:00:00,65826.48,5794.36,2329.31,8117.61,764.44,5138.65,5063.46,1669.75,94704.07,
,,,2006-08-29 00:00:00,66100.65,5794.36,2329.31,8088.43,764.44,5131.65,5061.16,1693.75,94963.75,
,,,2006-08-30 00:00:00,66488.08,5757.53,2329.31,8117.61,764.44,5125.65,5064.68,1681.75,95329.05,
,,,2006-08-31 00:00:00,66952.61,5757.53,2329.31,8033.7,764.44,5128.15,5058.52,1681.75,95706.02,
,,,2006-09-03 00:00:00,67040.07,5757.53,2329.31,8049.67,764.44,5132.15,5058.02,1673.75,95804.94,
,,,2006-09-04 00:00:00,67033.16,5757.53,2329.31,8049.67,764.44,5134.35,5049.14,1652.97,95770.58,
,,,2006-09-05 00:00:00,66589.15,5774.05,2329.31,8064.27,764.44,5130.85,5073.27,1650.57,95375.92,
,,,2006-09-07 00:00:00,66636.69,5856.91,2329.31,8086.15,777.89,5104.5,5072.55,1650.57,95514.58,
,,,2006-09-10 00:00:00,66545.98,5856.91,2329.31,8137.23,777.89,5127.85,5074.34,1651.37,95500.88,
,,,2006-09-11 00:00:00,66510.47,5856.91,2329.31,8166.41,777.89,5119.65,5077.37,1651.37,95489.38,
,,,2006-09-12 00:00:00,67438.53,5856.91,2346.71,8246.67,777.89,5161.1,5200.09,1672.97,96700.87,
,,,2006-09-13 00:00:00,67378.98,5856.91,2346.71,8188.3,777.89,5161.1,5197.89,1684.97,96592.75,
,,,2006-09-14 00:00:00,67255.02,5856.91,2346.71,8129.93,777.89,5184.83,5206.54,1682.57,96440.4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Aswin 2063 (17 Sept 2006 to 17 Oct 2006),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Aswin 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2006-09-17 00:00:00,*,*No Trading due t,,,,,,,,
,,,2006-09-18 00:00:00,68578.19,5718.81,2346.71,8202.89,777.89,5181.83,5214.98,1687.37,97708.66,
,,,2006-09-19 00:00:00,69939.2,5718.81,2346.71,8202.89,777.89,5182.83,5221.46,1687.37,99077.16,
,,,2006-09-20 00:00:00,70056.19,5718.81,2346.71,8173.71,777.89,5178.83,5228.7,1689.77,99170.6,
,,,2006-09-21 00:00:00,69741.78,5718.81,2346.71,8129.93,777.89,5174.01,5266.8,1684.97,98840.89,
,,,2006-09-24 00:00:00,69684.02,5718.81,2346.71,8093.45,777.89,5132.56,5285.8,1684.97,98724.21,
,,,2006-09-25 00:00:00,69850.95,5718.81,2326.71,8129.93,777.89,5145,5287.91,1684.97,98922.15,
,,,2006-09-26 00:00:00,69976.13,5718.81,2326.71,8093.45,777.89,5145,5288.85,1675.37,99002.2,
,,,2006-09-28 00:00:00,70315.37,5718.81,2326.71,8129.93,777.89,5145,5285.38,1752.17,99451.25,
,,,2006-10-08 00:00:00,71114.81,5718.81,2326.71,8129.93,777.89,5145,5295.18,1751.87,100260.19,
,,,2006-10-09 00:00:00,71461.38,5718.81,2326.71,8202.89,777.89,5145,5304.98,1737.97,100675.62,
,,,2006-10-10 00:00:00,71457,5718.81,2326.71,8290.44,777.89,5139,5296.93,1756.57,100763.35,
,,,2006-10-11 00:00:00,71121.86,5718.81,2326.71,8275.85,772.43,5134,5287.13,1756.57,100393.36,
,,,2006-10-12 00:00:00,71200.97,5810.88,2326.71,8319.63,772.43,5134,5350.13,1761.77,100676.51,
,,,2006-10-15 00:00:00,71219.07,5810.88,2326.71,8348.81,772.43,5136.5,5361.29,1787.47,100763.15,
,,,2006-10-16 00:00:00,70946.95,5810.88,2321.71,8356.11,772.43,5134.3,5377.45,1785.07,100504.89,
,,,2006-10-17 00:00:00,70998.12,5810.88,2321.71,8385.29,772.43,5125.3,5376.78,1775.47,100565.97,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Kartik 2063 (18 Oct 2006 to 16 Nov 2006),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Kartik 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2006-10-18 00:00:00,70968.12,5764.84,2321.71,8385.29,772.43,5125.3,5378.58,1775.47,100491.73,
,,,2006-10-19 00:00:00,71376.21,5700.39,2321.71,8421.77,772.43,5125.3,5382.18,1772.47,100872.45,
,,,2006-10-26 00:00:00,71725.32,5700.39,2321.71,8429.07,772.43,5125.3,5382.68,1772.47,101229.36,
,,,2006-10-29 00:00:00,72192.04,5700.39,2321.71,8458.25,772.43,5125.3,5377.75,1774.87,101722.74,
,,,2006-10-30 00:00:00,72684.04,5700.39,2321.71,8494.73,772.43,5126.3,5378.35,1777.27,102255.22,
,,,2006-10-31 00:00:00,73395.63,5700.39,2321.71,8596.87,772.67,5126.3,5380.4,1782.07,103076.05,
,,,2006-11-01 00:00:00,71637.37,5700.39,2321.71,8757.39,772.67,5125.3,5384.6,1794.07,101493.49,
,,,2006-11-02 00:00:00,74358.55,5700.39,2321.71,8793.87,772.67,5125.3,5473.6,1859.07,104405.16,
,,,2006-11-05 00:00:00,74892.92,5700.39,2321.71,8830.35,772.67,5072.8,5470.91,1858.77,104920.52,
,,,2006-11-06 00:00:00,75789.86,5700.39,2321.71,8968.97,772.67,5142.96,5474.24,1865.97,106036.77,
,,,2006-11-07 00:00:00,76870.12,5700.39,2321.71,9030.99,772.67,5167.96,5483.14,1866.87,107213.85,
,,,2006-11-08 00:00:00,79870.89,5718.81,2321.71,8994.51,772.67,5112.96,5494.39,1877.07,110163,
,,,2006-11-09 00:00:00,81962.5,5718.81,2321.71,9103.95,772.67,5165.46,5494.39,1930.47,112469.95,
,,,2006-11-12 00:00:00,82781.69,5718.81,2347.8,9140.43,772.67,5167.96,5499.21,1971.97,113400.54,
,,,2006-11-13 00:00:00,80572.49,5718.81,2347.8,9359.31,772.67,5170.96,5521.04,1992.37,111455.45,
,,,2006-11-14 00:00:00,80811.31,5718.81,2347.8,10061.55,772.67,5228.46,5539.91,1993.29,112473.82,
,,,2006-11-15 00:00:00,80682.93,5718.81,2347.8,10827.28,772.67,5253.46,5557.04,2095.59,113255.58,
,,,2006-11-16 00:00:00,80522.9,5718.81,2347.8,10754.32,772.67,5250.85,5562.42,2150.89,113080.66,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Marga 2063 (16 Nov 2006 to 16 Dec 2006),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Marga 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2006-11-19 00:00:00,80721.54,5718.81,2347.8,10644.88,772.67,5253.85,5560.88,2152.09,113172.52,
,,,2006-11-20 00:00:00,80205.97,5718.81,2347.8,10535.44,772.67,5254.15,5562.51,2216.39,112613.74,
,,,2006-11-21 00:00:00,80465.97,5718.81,2347.8,10404.11,772.67,5261.15,5583.31,2288.39,112842.22,
,,,2006-11-23 00:00:00,81978.69,5718.81,2347.8,10462.48,772.67,5274.15,5597.61,2343.99,114496.2,
,,,2006-11-26 00:00:00,84136.01,5718.81,2373.89,10827.28,772.67,5274.15,5602.91,2497.59,117203.31,
,,,2006-11-27 00:00:00,85422.95,5718.81,2373.89,10900.24,772.67,5281.65,5610.71,2582.09,118663.01,
,,,2006-11-28 00:00:00,87282.88,5718.81,2399.98,11119.12,772.67,5309.15,5624.64,2582.09,120809.35,
,,,2006-11-29 00:00:00,90544.55,5718.81,2399.98,11374.48,772.67,5309.15,5624.64,2717.29,124461.58,
,,,2006-11-30 00:00:00,89047.19,5718.81,2399.98,11301.52,772.67,5309.15,5624.14,2705.29,122878.76,
,,,2006-12-03 00:00:00,87666.7,5718.81,2399.98,11119.12,772.67,5309.15,5634.34,2650.09,121270.87,
,,,2006-12-04 00:00:00,86897.44,5718.81,2399.98,11111.82,772.67,5309.15,5654.34,2674.19,120538.41,
,,,2006-12-05 00:00:00,86378.62,5720.08,2399.98,11119.12,772.67,5309.15,5660.53,2692.69,120052.85,
,,,2006-12-06 00:00:00,85854.27,5720.08,2399.98,11119.12,772.67,5363.75,5661.35,2730.29,119621.51,
,,,2006-12-07 00:00:00,86333.58,5724.68,2404.98,11418.99,772.67,5401.25,5702.36,2745.49,120504.01,
,,,2006-12-10 00:00:00,87174.57,5724.68,2404.98,11586.8,772.67,5401.25,5743.36,2745.49,121553.81,
,,,2006-12-11 00:00:00,88209.38,5724.68,2404.98,11683.11,772.67,5469.25,5746.72,2745.49,122756.3,
,,,2006-12-12 00:00:00,89977.83,5724.68,2404.98,12040.61,772.67,5476.75,5746.72,2753.49,124897.75,
,,,2006-12-13 00:00:00,91529,5724.68,2404.98,12626.12,772.67,5551.75,5753.72,2767.89,127130.83,
,,,2006-12-14 00:00:00,92641.82,5766.11,2404.98,12808.52,772.67,5556.75,5800.72,2785.09,128536.68,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Poush 2063 (17 Dec 2006 to 114 Jan 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Poush 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2006-12-17 00:00:00,93925.69,5766.11,2431.08,13027.4,772.67,5556.75,5839.32,2678.19,129997.23,
,,,2006-12-18 00:00:00,94105.45,5766.11,2431.08,13277.3,772.67,5729.25,5930.52,2651.79,130664.18,
,,,2006-12-19 00:00:00,93926.69,5766.11,2431.08,13468.82,772.67,5729.25,6028.02,2654.99,130777.65,
,,,2006-12-20 00:00:00,92229.1,5766.11,2431.08,13359.38,772.67,5752.25,6108.12,2786.09,129204.81,
,,,2006-12-21 00:00:00,92889.09,5766.11,2431.08,13741.54,772.67,5779.75,6112.16,2785.89,130278.29,
,,,2006-12-24 00:00:00,93486.73,5766.11,2431.08,13741.54,772.67,5812.25,6270.66,4310.69,132591.74,
,,,2006-12-25 00:00:00,94029.05,5766.11,2431.08,13705.06,772.67,5812.25,6316.19,4353.59,133186.01,
,,,2006-12-26 00:00:00,94025.84,5766.11,2431.08,13668.58,772.67,5779.2,6318.19,4375.99,133137.67,
,,,2006-12-27 00:00:00,93776.82,5766.11,2431.08,13559.14,774.66,5933.8,6394.79,4308.89,132945.29,
,,,2006-12-28 00:00:00,92907.96,5812.15,2431.08,13559.14,774.66,6096.3,6503.79,4204.09,132289.16,
,,,2006-12-31 00:00:00,92219.55,5812.15,2431.08,13486.18,774.66,6104.06,6532.29,4152.89,131512.86,
,,,2007-01-01 00:00:00,91935.49,5812.15,2431.08,13376.74,774.66,6191.56,6463.29,4092.89,131077.85,
,,,2007-01-02 00:00:00,90812.1,5812.15,2431.08,13194.34,774.66,6279.06,6600.33,4213.69,130117.4,
,,,2007-01-03 00:00:00,89538.36,5812.15,2431.08,13084.9,774.66,6544.62,6661.53,4320.09,129167.39,
,,,2007-01-04 00:00:00,90969.29,5858.18,2431.08,13157.86,774.66,6657.12,6732.86,4394.49,130975.55,
,,,2007-01-07 00:00:00,92663.07,5858.18,2431.08,13486.18,774.66,6657.12,6883.86,4536.09,133290.24,
,,,2007-01-08 00:00:00,93279.92,5858.18,2441.08,13683.17,774.66,6712.12,6929.16,4609.69,134287.98,
,,,2007-01-09 00:00:00,94478.78,5858.18,2441.08,13675.87,766.47,6711.56,7073.66,4606.49,135612.1,
,,,2007-01-10 00:00:00,94954.46,5858.18,2451.08,13376.74,766.47,6820.06,7238.06,4613.69,136078.75,
,,,2007-01-11 00:00:00,94468.83,5858.18,2441.08,13585.57,766.47,6862.56,7471.26,4638.49,136092.44,
,,,2007-01-14 00:00:00,95182.3,5858.18,2441.08,13585.57,766.47,7050.06,7701.96,4723.29,137308.91,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Magh 2063 (15 Jan 2007 to 12 Feb 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Magh 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2007-01-15 00:00:00,95499.85,5858.18,2441.08,13585.57,766.47,7049.5,7708.86,4723.29,137632.79,
,,,2007-01-17 00:00:00,95612.13,5858.18,2467.17,13439.65,766.47,7051.7,7766.28,4715.29,137676.87,
,,,2007-01-18 00:00:00,95258.52,5858.18,2467.17,13135.03,766.47,7016,7808.23,4705.69,137015.29,
,,,2007-01-21 00:00:00,93824.87,5858.18,2467.17,13051.12,766.47,7063.8,7791.73,4623.29,135446.64,
,,,2007-01-22 00:00:00,93196.39,5858.18,2467.17,13051.12,766.47,7142.75,7642.53,4617.69,134742.3,
,,,2007-01-24 00:00:00,93121.23,5858.18,2477.17,13051.12,766.47,7142.75,7560.23,4580.89,134558.04,
,,,2007-01-25 00:00:00,95051.46,5858.18,2477.17,13036.53,766.47,7105.45,7958.04,4577.69,136830.99,
,,,2007-01-28 00:00:00,94288.4,5858.18,2482.17,12803.06,766.47,7111.45,8022.54,4529.09,135861.37,
,,,2007-01-29 00:00:00,92560.78,5858.18,2508.26,12722.8,766.47,6947.85,8074.99,4537.09,133976.43,
,,,2007-01-31 00:00:00,92658.59,5858.18,2508.26,12646.19,766.47,6963.35,8204.99,4537.09,134143.12,
,,,2007-02-01 00:00:00,93952.47,5858.18,2534.35,12689.28,766.47,7003.55,8274.38,4554.69,135633.38,
,,,2007-02-04 00:00:00,93911.7,5859.45,2544.35,13900.86,766.47,7005.75,8304.52,4529.49,135822.6,
,,,2007-02-05 00:00:00,93754.92,5859.45,2559.35,13066.6,766.47,6691.62,8399.72,4535.69,135933.83,
,,,2007-02-06 00:00:00,93929.35,5859.45,2559.35,12825.83,766.47,6941.62,8606.6,4564.09,136052.77,
,,,2007-02-07 00:00:00,93416.32,5859.45,2600.34,13917.23,766.47,6917.22,8729.24,4596.69,135802.96,
,,,2007-02-08 00:00:00,94255.83,5859.45,2600.34,12910.83,766.47,6936.92,8769,4597.49,136696.33,
,,,2007-02-11 00:00:00,94508.84,5859.45,2610.34,12910.83,766.47,6962.82,8922.18,4592.69,137133.61,
,,,2007-02-12 00:00:00,94296.01,5859.45,2610.34,12957.07,766.47,6995.22,8849.93,4576.69,136911.19,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Falgun 2063 (12 Feb 2007 to 14 March 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Falfun 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2007-02-13 00:00:00,93911.46,5860.37,2610.34,12990.11,766.47,7565.82,8942.55,4563.39,137210.51,
,,,2007-02-14 00:00:00,94140.24,5860.37,2610.34,12926.91,766.47,7545.17,8995.61,4611.09,137456.2,
,,,2007-02-15 00:00:00,94315.88,5860.37,2610.34,12943.29,766.47,7616.12,9009.67,4623.49,137745.62,
,,,2007-02-18 00:00:00,93427.12,5860.37,2645.13,12949.61,766.47,8053.37,9110.12,4597.69,137409.88,
,,,2007-02-20 00:00:00,92559.07,5860.37,2645.13,12919.44,766.47,8248.37,9170.16,4590.29,136759.31,
,,,2007-02-21 00:00:00,91758.15,5860.37,2660.13,12945.58,766.47,8394.77,9114.71,4544.29,136044.48,
,,,2007-02-22 00:00:00,91221.04,5860.37,2694.92,12972.01,788.58,8396.97,9199.54,4545.59,135679.03,
,,,2007-02-25 00:00:00,90795.14,5860.37,2694.92,13021.7,788.58,8404.78,9236.96,4542.19,135344.64,
,,,2007-02-26 00:00:00,90044.42,5860.37,2694.92,12919.16,788.58,8411.39,9259.6,4548.39,134526.83,
,,,2007-02-27 00:00:00,89167.97,5951.52,2744.71,12946.76,788.58,8410.54,9250.65,4531.59,133792.32,
,,,2007-02-28 00:00:00,88919.79,6089.63,2794.5,12966.58,788.58,8406.79,9265.84,4550.99,133782.69,
,,,2007-03-01 00:00:00,88171.24,6227.73,2829.29,12953.37,788.58,8418.19,9101.05,4528.89,133018.34,
,,,2007-03-04 00:00:00,87543.41,6227.73,2844.29,12817.5,788.58,8434.84,9072.55,4371.29,132100.19,
,,,2007-03-05 00:00:00,85796.85,6288.5,2844.29,12744.54,788.58,8439.09,8955.73,4383.49,130241.07,
,,,2007-03-06 00:00:00,82852.42,6288.5,2844.29,12708.06,788.58,8445.09,8853.02,4250.49,127030.45,
,,,2007-03-07 00:00:00,80425.29,6288.5,2844.29,12671.58,788.58,8445.09,8873.5,4104.29,124441.11,
,,,2007-03-08 00:00:00,83288.38,6288.5,2859.29,12718.4,788.58,8367.24,8881.56,4055.89,127247.84,
,,,2007-03-11 00:00:00,85577.47,6288.5,2894.19,12824.68,788.58,8364.49,8922.96,4157.49,129818.36,
,,,2007-03-12 00:00:00,86530.3,6319.8,2943.97,12910.86,788.58,8240.9,8967.69,4182.59,130884.69,
,,,2007-03-13 00:00:00,86276.82,6172.25,3007.46,12845.01,770.7,8248.27,8960.87,4194.59,130475.97,
,,,2007-03-14 00:00:00,86591.61,6172.25,3022.46,12511.7,762.23,7960.82,8961.8,4194.59,130177.48,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Chaitra 2063 (15 March 2007 to 12 April 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Chaitra 2063,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2007-03-15 00:00:00,86401.67,6172.25,3032.46,12648.5,762.23,8005.22,8927.24,4181.39,130130.97,
,,,2007-03-21 00:00:00,85945,6172.25,3052.46,12666.74,762.23,8019.92,8931.56,4170.49,129720.66,
,,,2007-03-22 00:00:00,85690.79,6172.25,3052.46,12712.35,762.23,8019.92,8898.96,4186.49,129495.46,
,,,2007-03-25 00:00:00,84869.56,6172.25,3047.46,12856.45,762.23,8006.97,8866.62,4136.89,128718.44,
,,,2007-03-28 00:00:00,85091.51,6172.25,3047.46,12736.55,762.23,8001.97,8902.02,4118.49,128832.5,
,,,2007-03-29 00:00:00,84855.77,6134.48,3047.46,12676.8,762.23,7993.92,8825.24,4127.19,128423.1,
,,,2007-04-01 00:00:00,90139.75,6134.48,3047.46,12968.64,762.23,8001.42,8837.84,4180.19,134072.02,
,,,2007-04-02 00:00:00,91781.31,5954.94,3047.46,12895.68,762.23,8001.42,8874.82,4172.39,135490.26,
,,,2007-04-03 00:00:00,90402.61,5913.51,3047.46,12885.63,762.23,7997.67,8792.24,4144.09,133945.45,
,,,2007-04-04 00:00:00,87791.68,5876.68,3047.46,12938.48,748.58,7993.92,8791.43,4070.19,131258.43,
,,,2007-04-05 00:00:00,87207.81,5858.27,3047.46,12865.52,748.58,7993.92,8788.83,4031.79,130542.19,
,,,2007-04-08 00:00:00,87059.91,5858.27,3047.46,12891.95,748.58,7991.42,8778.01,3977.19,130352.8,
,,,2007-04-09 00:00:00,86909.4,5858.27,3047.46,12919.56,748.58,7978.12,8757.84,3921.99,130141.22,
,,,2007-04-10 00:00:00,88064.37,5812.23,3047.46,12950.61,748.58,7978.12,8830.72,3924.29,131356.39,
,,,2007-04-11 00:00:00,88799.22,5812.23,3047.46,12908.66,748.58,7904.32,8721.53,3959.49,131901.5,
,,,2007-04-12 00:00:00,90306.87,5858.27,3047.46,13018.1,748.58,7909.32,8698.53,3811.69,133398.82,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Baishakh 2064 (15 April 2007 to 14 May 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Baishakh 2064,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2007-04-15 00:00:00,91242.18,5858.27,3062.36,12922.11,748.58,7919.32,8704.28,3790.09,134247.2,
,,,2007-04-16 00:00:00,91303.79,5858.27,3105.85,12885.63,748.58,7918.07,8710.6,3795.29,134326.09,
,,,2007-04-17 00:00:00,91630.93,5858.27,3105.85,12892.24,762.23,7837.67,8722.81,3755.19,134565.19,
,,,2007-04-18 00:00:00,92205.94,5858.27,3105.85,12917.41,762.23,7860.17,8747.32,3743.59,135200.78,
,,,2007-04-19 00:00:00,92739.38,5858.27,3065.85,12917.41,762.23,7839.18,8802.44,3761.09,135745.85,
,,,2007-04-22 00:00:00,92645.44,5858.27,3065.85,12885.75,762.23,7782.28,8816.44,3775.99,135592.26,
,,,2007-04-23 00:00:00,92357.32,5858.27,2992.46,12933.06,762.23,7776.03,8814.94,3776.89,135271.2,
,,,2007-04-25 00:00:00,92648.02,5858.27,2992.46,12860.1,762.23,7777.53,8840.15,3820.69,135559.45,
,,,2007-04-26 00:00:00,93524.98,5858.27,2992.46,12933.06,762.23,7778.63,8946.81,3848.69,136645.14,
,,,2007-04-29 00:00:00,94350.89,5858.27,2977.46,13042.5,762.23,7584.33,9040.36,3839.09,137455.14,
,,,2007-04-30 00:00:00,95384.63,5858.27,2977.46,13007.4,762.23,7581.08,9153.26,3827.89,138552.22,
,,,2007-05-03 00:00:00,95799.05,5858.27,2962.46,13035.89,762.23,7386.08,9177.73,3828.29,138810.01,
,,,2007-05-06 00:00:00,95821.4,5858.27,2977.46,13049.79,762.23,7395.38,9221.06,3816.29,138901.89,
,,,2007-05-07 00:00:00,96047.42,5858.27,2977.46,13086.27,762.23,7395.38,9261.19,3823.49,139211.73,
,,,2007-05-08 00:00:00,96229.05,5858.27,3020.95,13211.68,762.23,7395.38,9264.99,3813.89,139556.45,
,,,2007-05-09 00:00:00,96404.03,5858.27,3035.95,13469.11,762.23,7247.88,9276.71,3828.29,139882.48,
,,,2007-05-10 00:00:00,96432.93,5858.27,3050.95,13542.07,795.54,7216.63,9054.93,3837.99,139789.32,
,,,2007-05-13 00:00:00,96084.67,5858.27,3050.95,13545.52,762.23,7211.88,9051.13,3825.47,139390.13,
,,,2007-05-14 00:00:00,95164,5858.27,3055.85,13545.52,762.23,7217.88,9066.93,3816.32,138487.01,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Jestha 2064 (15 May 2007 to 14 June 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Trading ,Insurance,Finance,Dev.,Total,
,,,Jestha 2064,Bank,& Processing,,,,,,Bank,Rs. Millions,
,,,2007-05-15 00:00:00,94837.15,5858.27,3055.85,13565.34,762.23,7187.88,9092.68,3838.32,138197.73,
,,,2007-05-16 00:00:00,95386.76,5858.27,3070.75,13766.19,762.23,7171.88,9101.75,3840.72,138958.56,
,,,2007-05-17 00:00:00,96170.5,5858.27,3070.75,13874.13,762.23,7146.88,9152.12,3827.92,139862.8,
,,,2007-05-20 00:00:00,98020.65,5858.27,3070.75,13867.24,762.23,7146.88,9207.8,3842.12,141775.94,
