Unnamed: 0,Nepal Stock Exchange Limited,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
7,Peoples Finance Limited.,4260951-4252178,4262405,POB 9416 KTM,pefil@wlink.com.np,
8,Union Finance Co. Ltd.,4445442-4427091,4445442,GYANESHOR POB 9263 KTM,ufcl@wlink.com.np,www.unionfinance.org
9,Citizen Investment Trust,4228759-4240598,4240645,POB 5823 PUTALISADAK KTM,,
10,Nepal Aawas Bikas Beeta Co. Ltd.,4781861-4780259,4782753,POB 5624 NEW BANESHOR KTM,nhdfc@mos.com.np,www.nepalhousing.com
11,Narayani Finance Limited,4422554,4422554,POB 5929 BALUWATAR KTM,nafil@wlink.com.np,www.nafil.com.np
12,Ace Finance Company Ltd.,4441110,4445554,POB 13383 NARAYAN CHAUR KTM,info@ace.com.np,www.ace.com.np
13,Yeti Finance Company Ltd.,057-520822,057-521842,POB 35 HETAUDA NEPAL,,
14,Gorkha Finance Ltd.,4438396-4438647,4429096,POB 10951 HATTISAR KTM,gorkhfin@mail.com.np,
15,Samjhana Finance Co. Ltd.,4231051,4231050,KAMALAKSHI KTM,,
16,Universal Finance Ltd.,4230234-4240998,4245895,KANTIPATH KTM POB 12396,ufcm@ntc.net.np,
17,Nepal Housing & Merchant Fin.,4430528-4430838,4436183,POB 10609 DILLIBAZAR KTM,nhmf@wlink.com.np,
18,General Finance Ltd.,4484754,4484753,POB 20258 CHABAHIL KTM,,
19,Maha Laxmi Finance Ltd.,4224179,4239994,PUTALISADAK KTM,ktm@mahalaxmi.com.np,
20,Lalitpur Finance Ltd.,5536598-5523850,5531916,POB 8975 MANBHAWAN LALITPUR,lfcl@wlink.com.np,www.lalitpurfinance.com.np
21,Goodwill Finance Co. Ltd.,4422290,4416052,Dillibazar ktm,,
22,Paschimanchal Finance Co. Ltd,4239269-70,4239268,KAMALADI KTM,paficol@nec.com.np,
23,Pokhara Finance Ltd.,061531145-524942,61531610,POB 470 POKHARA,pofil@fewamail.com.np,
24,Lumbini Finance Ltd.,4423443-45,4425655,POB 11503 TRIDEVI MARGA KTM,lufil@mos.com.np,www.lumbinifinance.com
25,Nepal Merchant Bank & Fin.Co.,4246160,4246156,POB 11543 KATHMANDU NEPAL,nmb@mos.com.np,www.nmb.com.np
26,Siddhartha Finance Limited,4441702,4442968,PUTALISADAK KTM,,
27,Alpic Everest Finance Co. Ltd.,4150301-02-03,4150304,POB 12034 KATHMANDU MALL KT,aefl@wlink.com.np,
28,Nepal Bangladesh fin. & Leasing,021530972-79,21521851,,,
29,United Finance Ltd,4241648-49,4241645,POB 12311 DURBARMARGA KTM,ufl@mos.com.np,
30,International Leasing & Fin. Co.,4782010,4782267,POB 8975 NEW BANESHOR KTM,info@ilfco.com,www.ilfco.com
31,Shree Investment Finance Co. Ltd,4422038-4426146,4421779,POB 10717 DILLIBAZAR KTM,shreefin@websurfer.com.np,
32,Central Finance Co. Ltd.,5522289-5536420,5540842,POB 7062 KUPANDOL LALITPUR,central@ntc.net.np,
33,Nepal Shree Lanka Merchant Bank,4440300-4440824,4441034,POB 12248 KAMALADI KTM,nslmb@infor.com.np,
34,Premier Finance Co. Ltd,5521223-5521402,5550412,POB 13471 MANBHAWAN LALITPU,,
35,Nava Durga Finance Co.Ltd.,4225793-6612999,6611999,POB 25 ITACHE BHAKTAPUR,,
36,Butwal Finance Ltd,4241900-4247288,4223914,POB 75 BUTAWAL,butwalfin@hons.com.np,
37,Janaki Finance Ltd.,041-521586-523339,41-523340,DHANUSHA JANAKPUR,,
38,Standard Finance Ltd.,4418532-4433853,4435833,POB 8973 KAMALPOKHARI KTM,standard@ccslnp.com,
39,Om Finance Ltd.,061-532600-700,061-53280,POB 538 NEW ROAD POKHARA,omfinance@fewamail.com.np,www.omfinance.com
40,Cosmic Mer.Bank & Fin.,4223154-4223178,4232678,POB 21507 DURBARMARGA KTM,cmbfl@wlink.com.np,
41,Fewa Finance Co. Ltd.,061-538300-538400,061-538738,KASKI POKHARA,ffclpkr@fewamail.com.np,
42,KIST Merchant Bank. & Fin,4232500,4229588,POB 8975 ANAMNAGAR,info@kistfinance.com.np,www.kistfinance.com.np
43,World Merchant Bank Ltd,4218838-4212099,4212061,POB 44 HETAUDA,wmbl@ntc.net.np,
44,Birgunj Finance Ltd,4265381,4265281,KAMALADI KTM,bflktm@wlink.com.np,
45,Capital Mer. Bamk & Fin,4471458-4469702,4496321,POB 4193 BATTISPUTALI KTM,cmbfl@ntc.net.np,
46,"Everest Finance Ltd,",071-526507,71526508,"Rupandehi, nepal",,
47,Prudential Bittiya Sanstha,4445988-4446454,4446453,Dillibazar ktm,,
48,Shrijana Finance(Bittiya Sanstha),031-520979,,SHIRAHA LAHAN,,
49,Royal Mer. Bank.& Fin,4242900,4231347,POB 24062 DURBARMAGR KTM,rmbank@mos.com.np,www.royalmerchant.com
50,Guheyshwori Mer. Bank. Fin,5521506-5537407,5536169,POB 8975 JAWALAKHEL LALITPUR,,
51,IME Financial Institution,4239170-71-68,4224511,POB 19797 KANTIPATH KTM,info@imefil.com,www.imefil.com
52,Bhajuratna Fin.& Sav. Co. Ltd.,4249534,4261316,GPO 133 KANTIPATH KTM,,
53,Patan Finance Ltd.,5539475-5551102,5544206,POB 8975 MANBHAWAN LALITPUR,pfinance@wlink.com.np,
,,,,,,
,Development Bank,,,,,
1,Nepal Industrial Dev. Corp.,4228322-4227220,4227428,DURBARMARGA KTM,nidc@wlink.com.np,
2,Nepal Development Bank,4245740-59,4245753,POB 11017 HERITAGE PLAZA KTM,ndb@ccsl.com.np,
3,Development Credit Bank Ltd.,4231120-4231490,4231469,POB 7716 KATHMANDU PLAZA KT,info@dcbl.com.np,www.dcbl.com.np
4,Nirdhan Utthan Bank Ltd. ,4228369,4228369,anamnagar ktm,nirdhan@bcci.com.np,
5,Chhimek Vikash Bank Ltd.,4465785-057521575,4488912,POB 7629 BANESHOR KTM,cbb@ntc.net.np,
6,Paschimanchal Bikash Bank,071549899-549900,71549901,POB 66 BUTAWAL,,
7,Diprox Development Bank,4244723-4261354,4262396,POB 10953 THAPATHALI,deprosc_bank@yahoo.com,www.ddbank.org
8,Gandaki Dev. Fin. Inst.,06154466-541244,61541255,POB 167 POKHARA,,
9,Business Dev. Fin. Inst.,61540725,61540724,POB 264 POKHARA,info@bdfil.com.np,www.bdfil.com.np
10,Siddhartha Vikash Bank Ltd,071545543-546502,71550457,BUTAWAL NEPAL,sdbl@hons.com.np,www.sdblnepal.com
11,Bhrikuti Vikash Bank Ltd.,071544967-546967,71541483,POB 73 BUTAWAL,,
12,Sanima Vikash Bank Ltd.,4428979-80,4428969,POB 20394 NAGPOKHARI KTM,sanima@sanimabank.com,www.sanimbank.com
13,Narayani Industrial Dev. Bamk,56561258,56561670,CHITAWAN NEPAL,,
14,Bageshori Dev. Bank Ltd.,81526246,81526346,POB 46 BANKE,bdbl@wlink.com.np,www.bdbl.com
15,Sahayogi Vikas Bank Ltd.,041525971-525972,41525971,POB 18 JANAKPUR DHAM,sahayogi@jncsweb.net,
16,Gurkha Vikas Bank Ltd.,4255650-4255182,4242829,GPO 5617 Putalisadak Kathmandu,info@gdbl.com.np,www.gurkhabank.com
