Unnamed: 0,Nepal Stock Exchange Ltd.,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,16,World Merchant Banking & Finance Ltd. Listed it's Shares 600000 worth Rs. 60.00 Millions on 2061-10-18 (3 Feb. 2005),,,,,,
,17,Everest Insurance Com. Ltd.  It's Bonus shares 300000 worth Rs. 30.00 Millions on 2061/11/3 (14 Feb 2005),,,,,,
,18,National Finance Co. Ltd. it's listed Bonus shares 72000 worth Rs. 7.2 Millions on 2061/11/10 (21 Feb 2005),,,,,,
,19,Paschimanchal Finance Co. Ltd. It's Listed Bonus Share 40000 worth Rs. 4.00 Millions on 2061-12-24 (6 April 05),,,,,,
,20,Narayani Finance Co. Ltd. It's Listed Bonus Share 56198 worth Rs.5.60 Millions on 2061-12-24 (6 April 05),,,,,,
,21,Nepal Bangladesh Bank Ltd. It's Listed Right Share 3599260 worth Rs.3600.00 Millions on 2061-12-24 (6 April 05),,,,,,
,22,Birgunj Finance Ltd. It's Listed shares 600000 worth Rs. 60.00 Millions on 2061-12-07 (20 March 2005),,,,,,
,23,Peoples Finance Ltd. It's  Listed Right Shares 86745 worth Rs.8.67 Millions on 2062-01-13 (26 April 2005),,,,,,
,24,Nepal Bangladesh Fin. & Leasing Co. Ltd. It's Listed Right Share 200480 worth Rs.20.00 Millions on 2062-1-21 (4 May 05),,,,,,
,25,Annapurna Finance Co. Ltd.  It's Listed Right & Bonus Share 300000 worth Rs.30.00 Millions on 2062-1-21 (4 May 05),,,,,,
,26,Central Finance Com. Ltd. It's Listed Bonus Share 40000 worth Rs. 4.00 Millions on 2062-2-10 (24 May 2005),,,,,,
,27,Deprosc Dev. Bank Ltd. It's Listed Shares 116000 worth Rs. 10.16 Millions on 2062-2-16 (30 May 2005),,,,,,
,28,Nepal Housing & Merchant Finance Ltd. It's Listed Bonus Share 45000 worth Rs. 4.5 Millions on 2062-3-22 (6 July 2005),,,,,,
