Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
11,Nepal Investment Mega Bank Limited,,,,,,NIMB,341285949,,100,34128.59,48466787,11262.38,,168556,295,172.2,231.02,232.373048,231,78843.88,,
12,Nepal SBI Bank Limited,,,,,,SBI,108991581,,100,10899.16,20309644,8901.51,,55744,549,325.7,439.98,438.289976,231,47954.12,,
13,NIC Asia Bank Ltd.,,,,,,NICA,149175670,,100,14917.57,30182808,13116.83,,145670,573,333,420.05,434.579393,231,62661.24,,
14,NMB Bank Limited,,,,,,NMB,183667060,,100,18366.71,23946191,6139.49,,86190,300,213.8,269.72,256.38702,231,49538.68,,
15,Prabhu  Bank Limited,,,,,,PRVU,235424899,,100,23542.49,68069722,15739.41,,218169,297,160.5,221.89,231.224828,231,52238.43,,
16,Prime Commercial Bank Ltd.,,,,,,PCBL,194025759,,100,19402.58,32125834,8820.58,,98878,329,215,276.31,274.563576,231,53611.26,,
17,Sanima Bank Limited,,,,,,SANIMA,135815256,,100,13581.53,32128188,10653.48,,99610,382,278,374.77,331.592872,231,50899.48,,
18,Siddhartha Bank Limited,,,,,,SBL,140899802,,100,14089.98,20610639,6714.48,,59690,403,261,383.77,325.777503,231,54073.12,,
19,Standard Chartered Bank Limited,,,,,,SCB,100423684,,100,10042.37,9664927,6642.34,,62324,790,594,656.1,687.262749,231,65887.98,,
TOTAL,,,,,,,,3642571187,,,364257.12,653510741,191280.77,,2263420,,,,,,1171101.8900000004,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Development Banks,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
20,Corporate Development Bank Limited,,,,,,CORBL,5250000,,100,525,3636936,6036.38,,37967,2842.3,582,2476.78,1659.742704,231,13003.1,,
21,Excel Development Bank Ltd.,,,,,,EDBL,12496945,,100,1249.69,15880645,10190.73,,67519,838.2,451,649.42,641.707699,231,8115.77,,
22,Garima Bikas Bank Limited,,,,,,GBBL,56805175,,100,5680.52,14190393,6271.9,,66931,531.4,378.7,428.36,441.981872,231,24333.06,,
23,Green Development Bank Ltd.,,,,,,GRDBL,5696985,,100,569.7,8190721,9345.61,,61314,2001.4,489,1486.87,1141.000285,231,8470.68,,
24,Jyoti Bikas Bank Limited,,,,,,JBBL,43957860,,100,4395.79,22948202,8513.14,,103346,445,309,351.54,370.972053,231,15452.95,,
25,Kamana Sewa Bikas Bank Limited,,,,,,KSBBL,35108463,,100,3510.85,14726478,7080.52,,62467,564.8,412,500.69,480.802292,231,17578.46,,
26,Karnali Development Bank Limited,,,,,,KRBL,5028300,,100,502.83,7689822,5376.48,,40706,870,482.2,810,699.168125,100,4072.92,,
27,Lumbini Bikas Bank Ltd.,,,,,,LBBL,36236782,,100,3623.68,18826174,8942.26,,66743,560,376.5,480.69,474.99068,231,17418.66,,
28,Mahalaxmi Bikas Bank Ltd.,,,,,,MLBL,42964582,,100,4296.46,24828094,10370.47,,96527,498,350,411.67,417.690851,231,17687.23,,
29,Miteri Development Bank Limited,,,,,,MDB,12171002,,100,1217.1,14580639,9942.11,,86336,843.5,531,688.17,681.870507,231,8375.72,,
30,Muktinath Bikas Bank Ltd.,,,,,,MNBBL,70469382,,100,7046.94,15894170,6456.57,,83395,482,349,405.92,406.222574,231,28604.93,,
31,Narayani Development Bank Limited,,,,,,NABBC,2624676,,100,262.47,10726820,14415.59,,43540,2060,530,1643.93,1343.882582,231,4314.78,,
32,Saptakoshi Development Bank Ltd,,,,,,SAPDBL,8343385,,100,834.34,21803898,19689.38,,120736,1622.7,421.4,1052.91,903.021182,231,8784.83,,
33,Shangrila Development Bank Ltd.,,,,,,SADBL,35562558,,100,3556.26,21982091,9514.14,,72533,497,347,462.82,432.813181,231,16459.06,,
34,Shine Resunga Development Bank Ltd.,,,,,,SHINE,48757019,,100,4875.7,25099132,12283.19,,105769,625,390,431.97,489.38691,231,21061.57,,
35,Sindhu Bikash Bank Ltd,,,,,,SINDU,5574561,,100,557.46,18539758,17278.95,,141992,1482,450,866.7,931.994125,231,4831.47,,
TOTAL,,,,,,,,427047675,,,42704.79,259543973,161707.41999999998,,1257821,,,,,,218565.19,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
36,Best Finance Company Ltd.,,,,,,BFC,8904242,,100,890.42,16336563,10741.03,,114633,951.6,456,512.03,657.483869,231,4559.24,,
37,Capital Merchant Bank & Finance Co. Ltd.,,,,,,CMB,9350695,,100,935.07,0,0,,0,140,140,140,0,0,1309.1,,
38,Central Finance Co. Ltd.,,,,,,CFCL,9488756,,100,948.88,15483987,9872.51,,106168,820,457.7,549.96,637.594511,231,5218.44,,
39,Crystal Finance Ltd.,,,,,,CFL,700000,,100,70,0,0,,0,117,117,117,0,0,81.9,,
40,Goodwill Finance Limited,,,,,,GFCL,9461152,,100,946.12,17196701,16106.36,,132311,1353,591.5,714.37,936.595774,231,6758.76,,
41,Guheshowori Merchant Bank & Finance Co. Ltd.,,,,,,GMFIL,10121760,,100,1012.18,10050203,5974.54,,54986,759,436.5,504.87,594.47,231,5110.17,,
42,Gurkhas Finance Ltd.,,,,,,GUFL,8679938,,100,867.99,8521410,6460.89,,74399,1041,521.5,583.63,758.195047,231,5065.87,,
43,Himalayan Finance Limited (Bittiya Sanstha),,,,,,HFL,1400000,,100,140,0,0,,0,18,18,18,0,0,25.2,,
44,ICFC Finance Limited,,,,,,ICFC,11834710,,100,1183.47,12763076,9393.13,,90641,910,555,640.57,735.9616,231,7580.96,,
45,Janaki Finance Company Limited,,,,,,JFL,6904728,,100,690.47,21740741,16143.34,,151353,1083.3,400,503.87,742.538561,231,3479.09,,
46,Manjushree Finance Ltd.,,,,,,MFIL,13515529,,100,1351.55,11697678,8401.21,,82805,917,560,623.27,718.194528,231,8423.82,,
47,Multipurpose Finance Company  Limited,,,,,,MPFL,6102000,,100,610.2,10915012,7718.21,,72207,936.9,529.5,642.2,707.118972,231,3918.7,,
48,Nepal Finance Ltd.,,,,,,NFS,8389439,,100,838.94,21649894,27545.62,,210891,2614.9,576,741.37,1272.321229,231,6219.68,,
49,Nepal Share Markets Ltd.,,,,,,NSM,4320000,,100,432,0,0,,0,174,174,174,0,0,751.68,,
50,Pokhara Finance Ltd.,,,,,,PFL,10825567,,100,1082.56,16855144,9606.85,,122098,794.9,339.9,431.44,569.96522,231,4670.58,,
51,Progressive Finance Limited,,,,,,PROFL,8561070,,100,856.11,15897750,9956.84,,103612,865,430,521.87,626.305051,231,4467.77,,
52,Reliance Finance Ltd.,,,,,,RLFL,11214518,,100,1121.45,19184435,11717.39,,113625,838,450,504.27,610.775929,231,5655.14,,
53,Samjhana Finance Co. Ltd.,,,,,,SFC,225000,,100,22.5,0,0,,0,230,230,230,0,0,51.75,,
54,Samriddhi Finance Company Limited,,,,,,SFCL,8189114,,100,818.91,19796500,13180.97,,132251,1117.9,455,539.47,665.823028,231,4417.78,,
55,Shree Investment Finance Co. Ltd.,,,,,,SIFC,10000000,,100,1000,10494005,6422.36,,66876,795,481,543.54,612.002701,231,5435.4,,
TOTAL,,,,,,,,158188218,,,15818.82,228583099,169241.25000000003,,1628856,,,,,,83201.02999999998,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Hotels And Tourism,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
56,Chandragiri Hills Limited,,,,,,CGH,15340910,,100,1534.09,11873460,11589.75,,98865,1360,842.1,956.02,976.105331,231,14666.22,,
57,City Hotel Limited,,,,,,CITY,16740000,,100,1674,4444161,4065.06,,55673,1168.5,732.9,873.65,914.695854,231,14624.9,,
58,Kalinchowk Darshan Limited,,,,,,KDL,6000000,,100,600,2197946,2617.42,,33905,1381,970,1157.21,1190.849044,231,6943.26,,
59,Oriental Hotels Limited,,,,,,OHL,11844950,,100,1184.49,3681290,3547.91,,25051,1205,777.1,880.45,963.768762,231,10428.89,,
60,Soaltee Hotel Limited,,,,,,SHL,102186269,,10,1021.86,30812543,16971.37,,94662,636.5,440,577.58,550.794166,231,59020.75,,
61,Taragaon Regency Hotel Limited,,,,,,TRH,19621202,,100,1962.12,3722289,4232.92,,25885,1538,801,946.12,1137.18184,231,18564.01,,
62,Yak And Yeti Hotel Limited,,,,,,YHL,2209208,,100,220.92,0,0,,0,600,600,600,0,0,1325.52,,
TOTAL,,,,,,,,173942539,,,8197.48,56731689,43024.42999999999,,334041,,,,,,125573.54999999999,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Hydro Power,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
63,Ankhu Khola Jalvidhyut Company Ltd,,,,,,AKJCL,20000000,,100,2000,43331650,9226.91,,152818,274.9,150.9,208.2,212.937041,231,4164,,
64,Api Power Company Ltd.,,,,,,API,60759278,,100,6075.93,88948260,26546.6,,299340,390,191,295.92,298.449935,231,17979.89,,
65,Arun Kabeli Power Ltd.,,,,,,AKPL,38959421,,100,3895.94,70507355,18176.1,,217671,326,184,262.97,257.7901,231,10245.16,,
66,Arun Valley Hydropower Development Co. Ltd.,,,,,,AHPC,38480030,,100,3848,87830928,24524.29,,244530,349,178.8,291.69,279.221608,231,11224.24,,
67,Asian Hydropower Limited,,,,,,AHL,3400000,,100,340,2931353,2105.15,,34694,904,521,619.18,718.149502,231,2105.21,,
68,Balephi Hydropower Limited,,,,,,BHL,36559400,,100,3655.94,38135985,9434.69,,130599,520,202.2,210.74,247.395885,231,7704.53,,
69,Barahi Hydropower Public Limited,,,,,,BHPL,2500000,,100,250,2799340,2486.73,,32906,1308.4,637,769.69,888.328032,231,1924.23,,
70,Barun Hydropower Co. Ltd.,,,,,,BARUN,10716300,,100,1071.63,35042321,15559.99,,133130,589,296.1,418.13,444.034154,231,4480.81,,
71,Bhagawati Hydropower Development Company Limited,,,,,,BGWT,5949473,,100,594.95,2752359,2828.69,,38545,1241,857.6,941.86,1027.731145,231,5603.57,,
72,Bhugol Energy Development Company Limited,,,,,,BEDC,5440534,,100,544.05,9227577,6532.14,,73823,1080,417.1,664.05,707.893098,231,3612.79,,
73,Bindhyabasini Hydropower Development Company Limited,,,,,,BHDC,11298000,,100,1129.8,5896806,3496.45,,50885,829.7,426,493.63,592.939887,231,5577.03,,
74,Buddha Bhumi Nepal Hydropower Company Limited,,,,,,BNHC,4000000,,100,400,4800534,2561.47,,44517,689.8,440,507.23,533.580607,231,2028.92,,
75,Butwal Power Company Limited,,,,,,BPCL,34090646,,100,3409.06,33401275,21183.93,,139942,960.6,308,957.29,634.225217,231,32634.63,,
76,Chhyangdi Hydropower Ltd.,,,,,,CHL,7739550,,100,773.96,14016749,6068.93,,70294,599.7,276,319.14,432.976877,231,2470,,
77,Chilime Hydropower Company Limited,,,,,,CHCL,87823974,,100,8782.4,27219431,15406.34,,109108,697,456.2,533.45,566.005218,231,46849.7,,
78,Chirkhwa Hydropower Limited ,,,,,,CKHL,4000000,,100,400,2962569,2180.99,,34640,910,590,662.09,736.181388,231,2648.36,,
79,Dibyashwori Hydropower Ltd.,,,,,,DHPL,2640000,,100,264,11768810,3858.77,,74654,427.2,213.1,323.83,327.881124,231,854.91,,
80,Dolti Power Company Limited,,,,,,DOLTI,5364860,,100,536.49,8152531,5392.16,,74220,1017,450,568.48,661.409326,231,3049.82,,
81,Dordi Khola Jal Bidyut Company Limited,,,,,,DORDI,21085208,,100,2108.52,13484742,5872.6,,81649,696,300.1,337.15,435.499434,231,7108.88,,
82,Eastern Hydropower Limited,,,,,,EHPL,6200000,,100,620,3569958,2671.47,,32946,997,530.3,576.61,748.318426,231,3574.98,,
83,Ghalemdi Hydro Limited,,,,,,GHL,16500000,,100,1650,69069023,17206.17,,186394,318,165,248.81,249.115543,231,4105.36,,
84,Green Ventures Limited,,,,,,GVL,34375000,,100,3437.5,7780220,4183.3,,69063,699.9,424,482.3,537.684001,231,16579.06,,
85,GreenLife Hydropower Limited,,,,,,GLH,18000000,,100,1800,26497835,7064.43,,109292,336,219,272.62,266.603912,231,4907.16,,
86,Himal Dolakha Hydropower Company Limited,,,,,,HDHPC,28000000,,100,2800,67387322,14020.49,,220509,273,147.1,197.76,208.058243,231,5537.28,,
87,Himalaya Urja Bikas Company Limited,,,,,,HURJA,19800000,,100,1980,44952650,11244.71,,134212,291.7,196,250.92,250.14569,231,4968.22,,
88,Himalayan Hydropower Limited,,,,,,HHL,10950000,,100,1095,9151589,4373.85,,71075,635,351,367.48,477.933408,231,4023.91,,
89,Himalayan Power Partner Ltd.,,,,,,HPPL,10654170,,100,1065.42,39411150,20698.39,,116363,711,290.1,496.29,525.191267,231,5287.56,,
90,Ingwa Hydropower Limited,,,,,,IHL,6000000,,100,600,6098901,3917.6,,53243,838,440,566.84,642.344821,231,3401.04,,
91,Joshi Hydropower Development Company Ltd,,,,,,JOSHI,6128100,,100,612.81,20687226,8200.84,,111362,521.6,265,346.79,396.420521,231,2125.16,,
92,Kalika power Company Ltd,,,,,,KPCL,9339495,,100,933.95,7168627,3963.51,,37107,652.4,440,542.62,552.896973,231,5067.8,,
93,Khanikhola Hydropower Co. Ltd.,,,,,,KKHC,9314286,,100,931.43,13380906,4820.42,,71587,475.9,235.2,291.34,360.246394,231,2713.62,,
94,Kutheli Bukhari Small Hydropower Limited,,,,,,KBSH,1340543,,100,134.05,571237,1321.83,,16473,3300,1468.1,1910.1,2313.983681,231,2560.57,,
95,Liberty Energy Company Limited,,,,,,LEC,22500000,,100,2250,36781175,8869.58,,122084,344,195,215.05,241.144519,231,4838.63,,
96,Madhya Bhotekoshi Jalavidyut Company Limited,,,,,,MBJC,60000000,,100,6000,20096819,7097.35,,167912,433,293.5,316.05,353.158081,231,18963,,
97,Mai Khola Hydropower Limited,,,,,,MKHL,3921568,,100,392.16,7188605,4756.38,,54678,1027,450.8,915.95,661.655184,231,3591.96,,
98,Mailung Khola Jal Vidhyut Company Limited,,,,,,MKJC,3763198,,100,376.32,10670118,5958.21,,63236,700,402,520.1,558.401112,231,1957.24,,
99,Makar Jitumaya Suri Hydropower Limited,,,,,,MAKAR,7600000,,100,760,6164589,3990.78,,49287,860,431.3,632.9,647.371525,231,4810.04,,
100,Manakamana Engineering Hydropower Limited,,,,,,MEHL,8000000,,100,800,9090742,4368.3,,90050,696,341.3,423.32,480.521891,231,3386.56,,
101,Mandakini Hydropower Limited,,,,,,MHL,6467672,,100,646.77,3282819,2675.99,,36523,1101,554,602.38,815.150356,231,3896,,
102,Mandu Hydropower Limited,,,,,,MANDU,13636370,,100,1363.64,2958101,3097.25,,48101,1463.3,805.6,903.53,1047.040255,231,12320.87,,
103,Mathillo Mailun Khola Jalvidhyut Limited,,,,,,MMKJL,10000000,,100,1000,7256490,4869.44,,56086,890.4,451.8,592.1,671.046557,231,5921,,
104,Maya Khola Hydropower Company Limited,,,,,,MKHC,10000000,,100,1000,8897650,4287.52,,73437,627,307.4,413.74,481.870768,231,4137.4,,
105,Menchhiyam Hydropower Limited,,,,,,MCHL,5425833,,100,542.58,4003742,2321.13,,42228,714,448,533.03,579.740145,231,2892.13,,
106,Mid Solu Hydropower Limited,,,,,,MSHL,7484000,,100,748.4,2283724,2155.55,,27905,1180,665,916.96,943.873705,231,6862.53,,
107,Modi Energy Limited,,,,,,MEL,29000000,,100,2900,18657267,5940.42,,145885,393,230,314.1,318.397281,231,9108.9,,
108,Molung Hydropower Company Limited,,,,,,MHCL,8025000,,100,802.5,8641367,4514.15,,75206,655,355.1,446.8,522.388206,231,3585.57,,
109,Mountain Energy Nepal Limited,,,,,,MEN,26027158,,100,2602.72,24512527,16115.49,,107467,809.5,552.4,639.19,657.438823,231,16636.3,,
110,Mountain Hydro Nepal Limited,,,,,,MHNL,12500000,,100,1250,9118760,2618.98,,42331,379,234,264.87,287.207728,231,3310.88,,
111,National Hydro Power Company Limited,,,,,,NHPC,24664380,,100,2466.44,48334453,10891,,157791,290,159.7,213.83,225.325753,231,5273.98,,
112,Nepal Hydro Developers Ltd.,,,,,,NHDL,3881967,,100,388.2,5548354,4141.48,,32188,1002.6,520,676.78,746.434421,231,2627.24,,
113,Ngadi Group Power Ltd.,,,,,,NGPL,37025585,,100,3702.56,126956461,49254.34,,334293,571,250,398.67,387.962483,231,14760.99,,
114,Nyadi Hydropower Limited,,,,,,NYADI,15000000,,100,1500,14409994,7921.48,,104026,880,283.3,455.06,549.721559,231,6825.9,,
115,Panchakanya Mai Hydropower Ltd,,,,,,PMHPL,11000000,,100,1100,10447411,3525.31,,48427,459,237,406.66,337.43354,231,4473.26,,
116,Panchthar Power Compant Limited,,,,,,PPCL,9625000,,100,962.5,16546643,5432.74,,62401,409.9,221.6,365.86,328.32877,231,3521.4,,
117,People's Power Limited,,,,,,PPL,9489000,,100,948.9,7817666,4185.1,,74838,648.6,368.3,385.49,535.338627,231,3657.91,,
118,Peoples Hydropower Company Limited,,,,,,PHCL,32000000,,100,3200,24372183,13084.16,,140804,745.6,310,511,536.848114,231,16352,,
119,Radhi Bidyut Company Ltd,,,,,,RADHI,18389795,,100,1838.98,68198759,40567.19,,214861,866,268,810.24,594.837693,231,14900.15,,
120,Rapti Hydro And General Construction Limited,,,,,,RHGCL,12255876,,100,1225.59,9191991,4434.34,,74632,708,308,344.58,482.413854,231,4223.13,,
121,RASUWAGADHI HYDROPOWER COMPANY LIMITED,,,,,,RHPL,68421000,,100,6842.1,30933390,12962.32,,130172,527,296,336.35,419.039867,231,23013.4,,
122,Rawa Energy Development Limited,,,,,,RAWA,2800000,,100,280,3945477,3112.76,,37183,990,578,796.02,788.944485,231,2228.86,,
123,Ridi Power Company Limited,,,,,,RIDI,23233518,,100,2323.35,45919759,11710.61,,151782,311,191,258.02,255.023317,231,5994.71,,
124,River Falls Power Limited,,,,,,RFPL,7000000,,100,700,17294311,12258.01,,128178,1484,365,616.5,708.788685,231,4315.5,,
125,Ru Ru Jalbidhyut Pariyojana Limited,,,,,,RURU,5673223,,100,567.32,6531328,5057.47,,50689,926.8,651.6,728.94,774.339904,231,4135.44,,
126,Sagarmatha Jalabidhyut Company Limited,,,,,,SMJC,11732000,,100,1173.2,14573090,8415.29,,118017,800,403,532.46,577.454075,231,6246.82,,
127,Sahas Urja Limited,,,,,,SAHAS,37800000,,100,3780,40368369,21811.05,,226644,725,409.5,640.04,540.300389,231,24193.51,,
128,Samling Power Company Limited,,,,,,SPC,5000000,,100,500,10240808,5953.58,,67235,722,471.7,538.17,581.358094,231,2690.85,,
129,Sanima Mai Hydropower Ltd.,,,,,,SHPC,37379938,,100,3737.99,70674558,39915.02,,218368,684.9,335.4,626.91,564.772101,231,23433.86,,
130,Sanima Middle Tamor Hydropower Limited,,,,,,TAMOR,33325000,,100,3332.5,12922972,6968.76,,101223,637,439.2,517.53,539.253545,231,17246.69,,
131,SANJEN JALAVIDHYUT COMPANY LIMITED,,,,,,SJCL,36500000,,100,3650,10470494,3777.23,,67356,442,281,317.28,360.750159,231,11580.72,,
132,Sayapatri Hydropower Limited,,,,,,SPHL,3000000,,100,300,1667648,1226.45,,21901,922,605,667.69,735.43693,231,2003.07,,
133,Shiva Shree Hydropower Ltd,,,,,,SSHL,14764000,,100,1476.4,35608060,8407.56,,119757,281.1,178.8,255.93,236.113891,231,3778.55,,
134,Shuvam Power Limited,,,,,,SPL,2000000,,100,200,1813212,1668.59,,26216,1109.6,760,832.26,920.237853,231,1664.52,,
135,Sikles Hydropower Limited,,,,,,SIKLES,8500000,,100,850,3366797,3144.89,,34705,1475,637,860.53,934.089144,231,7314.51,,
136,Singati Hydro Energy Limited,,,,,,SHEL,29000000,,100,2900,81986816,21952.14,,234917,334.4,172,288.37,267.752084,231,8362.73,,
137,Super Madi Hydropower Limited,,,,,,SMHL,22050000,,100,2205,8474227,8236.52,,64809,1657,557.1,1108.38,971.949738,231,24439.78,,
138,Super Mai Hydropower Limited,,,,,,SMH,5350000,,100,535,1054305,1084.43,,16979,1283,790,871.07,1028.569078,231,4660.22,,
139,Swet-Ganga Hydropower & Construction Limited ,,,,,,SGHC,15930000,,100,1593,7033037,3415.03,,58023,649.5,351.9,396.82,485.570031,231,6321.34,,
140,Synergy Power Development Ltd.,,,,,,SPDL,12098625,,100,1209.86,39791501,14400.79,,132424,465,252,417.51,361.906233,231,5051.3,,
141,Terhathum Power Company Limited,,,,,,TPC,8000000,,100,800,10238562,5387.74,,66229,671.6,334,385.89,526.220087,231,3087.12,,
142,Three Star Hydropower Limited,,,,,,TSHL,4925000,,100,492.5,3217884,2792.59,,39316,1231,585,731.7,867.834804,231,3603.62,,
143,Trishuli Jal Vidhyut Company Limited ,,,,,,TVCL,18525000,,100,1852.5,6954500,3828.38,,63232,697,431,495.64,550.489723,231,9181.73,,
144,Union Hydropower Limited,,,,,,UNHPL,7500000,,100,750,27340441,9734.21,,100835,486.4,235,417.81,356.036924,231,3133.57,,
145,United IDI Mardi RB Hydropower Limited.,,,,,,UMRH,4608240,,100,460.82,17518251,10443.92,,85245,790,406.7,611.69,596.17346,231,2818.81,,
146,United Modi Hydropower Ltd.,,,,,,UMHL,12305000,,100,1230.5,42676407,17956.45,,136373,580,254.1,563.37,420.758251,231,6932.27,,
147,UNIVERSAL POWER COMPANY LTD,,,,,,UPCL,22799300,,100,2279.93,79548923,29021.38,,229795,489,205,403.87,364.824308,231,9207.95,,
148,Upper Hewakhola Hydropower Company Limited,,,,,,UHEWA,5000000,,100,500,5237444,3500.33,,46840,993.4,427,600.29,668.328862,231,3001.45,,
149,Upper Lohore Khola Hydropower Company Limited,,,,,,ULHC,5098040,,100,509.8,8820193,4410.3,,77358,693,364,473.61,500.023451,231,2414.48,,
150,Upper Solu Hydro Electric Company Limited,,,,,,USHEC,13500000,,100,1350,6142287,3573.62,,55563,752,410,466.23,581.805699,231,6294.1,,
151,Upper Syange Hydropower Limited,,,,,,USHL,2200000,,100,220,2169447,1639.19,,28700,961,585,644.35,755.581864,231,1417.57,,
152,Upper Tamakoshi Hydropower Ltd,,,,,,UPPER,211800000,,100,21180,72095053,15830.34,,285599,295,175,198.56,219.575942,231,42055.01,,
153,Vision Lumbini Urja Company Limited ,,,,,,VLUCL,19125000,,100,1912.5,7677835,5197.35,,81979,816,518.5,612.07,676.928823,231,11705.84,,
TOTAL,,,,,,,,1702033554,,,170203.36,2064673015,822997.8999999998,,9017910,,,,,,713483.2699999998,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Investment,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
154,CEDB Holdings Limited,,,,,,CHDC,10342371,,100,1034.24,18392237,37784.4,,173997,2829,1150,2641.99,2054.367009,231,27324.44,,
