.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Ashutosh Brokerage & Securities (PVT) Ltd.,17952847002.61,22240149298.19,Ashutosh Brokerage & Securities (PVT) Ltd.,17952847002.61,Ashutosh Brokerage & Securities (PVT) Ltd.,17952847002.61,22240149298.19,Ashutosh Brokerage & Securities (PVT) Ltd.,17952847002.61,58336002.16,11667200.37,39668481.42,412610,95092839,129988686.63,25997737.26,103990949.31,15598642.40,88392306.91
Asian Securities Private Ltd.,30771691264.33,31182455264.44,Asian Securities Private Ltd.,30771691264.33,Asian Securities Private Ltd.,30771691264.33,31182455264.44,Asian Securities Private Ltd.,30771691264.33,23748094.39,4749618.82,16148704.23,199345,63385048,49991621.08,9998324.19,39993297.01,5998994.59,33994302.48
Beni Securities Pvt.Ltd.,758201434.1,673537847.7,Beni Securities Pvt.Ltd.,758201434.1,Beni Securities Pvt.Ltd.,758201434.1,673537847.7,Beni Securities Pvt.Ltd.,758201434.1,37782209.36,7556441.80,25691902.33,364378,57957352,79614988.38,15922997.63,63691990.71,9553798.65,54138192.13
BHOLE GANESH SECURITIES LTD,7827301545.6,7483104869,BHOLE GANESH SECURITIES LTD,7827301545.6,BHOLE GANESH SECURITIES LTD,7827301545.6,7483104869,BHOLE GANESH SECURITIES LTD,7827301545.6,62935555.54,12587110.94,42796177.89,503654,93252797,130847835.25,26169566.95,104678268.41,15701740.24,88976528.03
Bhrikuti Stock Broking Co. Pvt. Ltd.,40041682131.5,38379894679.66,Bhrikuti Stock Broking Co. Pvt. Ltd.,40041682131.5,Bhrikuti Stock Broking Co. Pvt. Ltd.,40041682131.5,38379894679.66,Bhrikuti Stock Broking Co. Pvt. Ltd.,40041682131.5,111476234.24,22295246.69,75803839.36,801299,156867931,224648357.84,44929671.32,179718686.52,26957803.04,152760883.49
Blue Chip Securities Ltd,11680408700.7,12029112381.7,Blue Chip Securities Ltd,11680408700.7,Blue Chip Securities Ltd,11680408700.7,12029112381.7,Blue Chip Securities Ltd,11680408700.7,99169210.72,19833842.06,67435063.46,623757,145422230,197334028.13,39466805.49,157867222.67,23680083.37,134187139.23
Capital Hub P. Ltd,7460732650.7,6903287941.2,Capital Hub P. Ltd,7460732650.7,Capital Hub P. Ltd,7460732650.7,6903287941.2,Capital Hub P. Ltd,7460732650.7,152213536.60,30442707.28,103505205.05,973132,266049360,314635577.77,62927115.27,251708462.41,37756269.34,213952193.11
Capital Max Securities Ltd,43778128121.38,40784387845.12,Capital Max Securities Ltd,43778128121.38,Capital Max Securities Ltd,43778128121.38,40784387845.12,Capital Max Securities Ltd,43778128121.38,26230293.78,5246058.78,17836599.82,168995,34257970,51311693.13,10262338.57,41049354.63,6157403.23,34891951.43
Citizens Share Broker Limited,10679024167.06,9645029228.24,Citizens Share Broker Limited,10679024167.06,Citizens Share Broker Limited,10679024167.06,9645029228.24,Citizens Share Broker Limited,10679024167.06,62036214.60,12407242.77,42184626.02,514853,86858032,127038998.08,25407799.41,101631198.56,15244679.81,86386518.81
Creative Securities Pvt Ltd,14990899837.01,15064693293.31,Creative Securities Pvt Ltd,14990899837.01,Creative Securities Pvt Ltd,14990899837.01,15064693293.31,Creative Securities Pvt Ltd,14990899837.01,39025003.69,7805000.75,26537002.60,157755,46691534,75074762.72,15014952.54,60059810.23,9008971.52,51050838.67
Cristal Kanchanjanga Securites Pvt. Ltd.,31707128695.17,31598002823.29,Cristal Kanchanjanga Securites Pvt. Ltd.,31707128695.17,Cristal Kanchanjanga Securites Pvt. Ltd.,31707128695.17,31598002823.29,Cristal Kanchanjanga Securites Pvt. Ltd.,31707128695.17,85912533.15,17182506.55,58420522.60,695161,114731170,174591645.07,34918328.82,139673316.23,20950997.43,118722318.83
Dakshinkali Investment & Securities Pvt. Ltd.,38015823911.3,37098338495.59,Dakshinkali Investment & Securities Pvt. Ltd.,38015823911.3,Dakshinkali Investment & Securities Pvt. Ltd.,38015823911.3,37098338495.59,Dakshinkali Investment & Securities Pvt. Ltd.,38015823911.3,80072413.62,16014482.60,54449241.32,706760,115700479,166315091.41,33263018.13,133052073.28,19957811.07,113094262.27
Deevyaa Securities & Stock House Pvt. Ltd,27801932869.06,28149878247.82,Deevyaa Securities & Stock House Pvt. Ltd,27801932869.06,Deevyaa Securities & Stock House Pvt. Ltd,27801932869.06,28149878247.82,Deevyaa Securities & Stock House Pvt. Ltd,27801932869.06,71016613.06,14203322.55,48291297.05,554081,101542649,145192909.45,29038581.67,116154327.76,17423149.15,98731178.56
Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,51824917201.57,52531046626.65,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,51824917201.57,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,51824917201.57,52531046626.65,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,51824917201.57,99244591.96,19848918.19,67486322.54,644728,141087091,199438700.43,39887739.91,159550960.62,23932644.13,135618316.45
Dynamic Money Managers Securities Pvt. Ltd.,55720590552.19,55361175023.42,Dynamic Money Managers Securities Pvt. Ltd.,55720590552.19,Dynamic Money Managers Securities Pvt. Ltd.,55720590552.19,55361175023.42,Dynamic Money Managers Securities Pvt. Ltd.,55720590552.19,123884140.03,24776828.05,84241215.17,601208,163013694,248210409.66,49642081.89,198568327.77,29785249.10,168783078.58
Elite Stock House Limited,5204265588.2,4948024151.66,Elite Stock House Limited,5204265588.2,Elite Stock House Limited,5204265588.2,4948024151.66,Elite Stock House Limited,5204265588.2,87516256.94,17503251.40,59511054.79,589518,121791444,177067858.25,35413571.50,141654286.66,21248143.06,120406143.73
Garima Securities Limited,2382538756.23,2226650397.61,Garima Securities Limited,2382538756.23,Garima Securities Limited,2382538756.23,2226650397.61,Garima Securities Limited,2382538756.23,124915572.23,24983114.36,84942589.22,892459,189221698,254940313.30,50988062.49,203952250.78,30592837.65,173359413.17
Global IME Securities Limited,4798033711.72,4722178234.8,Global IME Securities Limited,4798033711.72,Global IME Securities Limited,4798033711.72,4722178234.8,Global IME Securities Limited,4798033711.72,119588843.16,23917768.58,81320413.39,590526,172392656,236753706.91,47350741.36,189402965.58,28410444.87,160992520.75
Hatemalo Financial Services Private Limited,20455875074.82,17879879974.05,Hatemalo Financial Services Private Limited,20455875074.82,Hatemalo Financial Services Private Limited,20455875074.82,17879879974.05,Hatemalo Financial Services Private Limited,20455875074.82,250647498.85,50129499.56,170440299.35,1761992,391511934,509421444.21,101884288.43,407537155.80,61130573.57,346406582.31
Himalayan Brokerage Company Limited,9943210252.2,9191860399.99,Himalayan Brokerage Company Limited,9943210252.2,Himalayan Brokerage Company Limited,9943210252.2,9191860399.99,Himalayan Brokerage Company Limited,9943210252.2,125989002.66,25197800.50,85672521.88,914846,171494312,252583190.42,50516637.92,202066552.62,30309982.95,171756569.73
Himalayan Securities Limited,11799599050.7,11074953053.06,Himalayan Securities Limited,11799599050.7,Himalayan Securities Limited,11799599050.7,11074953053.06,Himalayan Securities Limited,11799599050.7,86225692.19,17245138.45,58633470.82,627038,121926247,173192481.66,34638496.11,138553985.53,20783097.85,117770887.67
Imperial Securities Company Pvt. Ltd.,87777220888.45,83852480958.22,Imperial Securities Company Pvt. Ltd.,87777220888.45,Imperial Securities Company Pvt. Ltd.,87777220888.45,83852480958.22,Imperial Securities Company Pvt. Ltd.,87777220888.45,23922769.50,4784553.82,16267483.35,189373,34788316,49487188.79,9897437.76,39589751.08,5938462.64,33651288.34
INDEX SECURITIES LIMITED,11658769927.42,11365131988.26,INDEX SECURITIES LIMITED,11658769927.42,INDEX SECURITIES LIMITED,11658769927.42,11365131988.26,INDEX SECURITIES LIMITED,11658769927.42,167603483.86,33520696.48,113970369.20,1409976,227231888,338761695.06,67752338.42,271009356.55,40651403.63,230357952.95
Indira securities pvt. ltd,7980620214.98,7050773481.41,Indira securities pvt. ltd,7980620214.98,Indira securities pvt. ltd,7980620214.98,7050773481.41,Indira securities pvt. ltd,7980620214.98,126808208.29,25361641.57,86229581.69,749241,171250301,254483411.90,50896682.19,203586729.64,30538009.50,173048720.20
Infinity Securities Limited,10933393712.13,10373970570.62,Infinity Securities Limited,10933393712.13,Infinity Securities Limited,10933393712.13,10373970570.62,Infinity Securities Limited,10933393712.13,48706574.64,9741314.90,33120470.78,353639,74312751,97741362.92,19548272.51,78193090.39,11728963.63,66464126.69
Investment Management Nepal Pvt. Ltd.,16439908170.01,21325620075.39,Investment Management Nepal Pvt. Ltd.,16439908170.01,Investment Management Nepal Pvt. Ltd.,16439908170.01,21325620075.39,Investment Management Nepal Pvt. Ltd.,16439908170.01,133467293.53,26693458.59,90757759.60,977102,165404630,271366174.74,54273234.75,217092940.10,32563941.03,184528998.95
J.F. Securites (PVT) Ltd.,18769355463.8,19845514214.71,J.F. Securites (PVT) Ltd.,18769355463.8,J.F. Securites (PVT) Ltd.,18769355463.8,19845514214.71,J.F. Securites (PVT) Ltd.,18769355463.8,236010487.79,47202097.48,160487131.79,1754704,362852709,471078504.19,94215700.46,376862803.76,56529420.74,320333383.13
K.B.L. Securities Limited ,13767563296.95,13409876296.89,K.B.L. Securities Limited ,13767563296.95,K.B.L. Securities Limited ,13767563296.95,13409876296.89,K.B.L. Securities Limited ,13767563296.95,83640422.19,16728084.38,56875487.23,600696,176780276,172043789.17,34408757.84,137635031.50,20645254.70,116989776.88
KALASH STOCK MARKET PVT. LTD.,15554544948.12,15106508946.99,KALASH STOCK MARKET PVT. LTD.,15554544948.12,KALASH STOCK MARKET PVT. LTD.,15554544948.12,15106508946.99,KALASH STOCK MARKET PVT. LTD.,15554544948.12,175133485.81,35026697.07,119090770.29,892941,249681461,350091239.50,70018247.73,280072991.71,42010948.77,238062042.92
Kalika Securities Pvt. Ltd.,9910918218.26,10567002823.9,Kalika Securities Pvt. Ltd.,9910918218.26,Kalika Securities Pvt. Ltd.,9910918218.26,10567002823.9,Kalika Securities Pvt. Ltd.,9910918218.26,280725448.51,56145089.48,190893305.19,1904341,363213659,549593789.03,109918757.24,439675031.77,65951254.89,373723776.86
Kohinoor Investment & Securities Pvt. Ltd.,39065592017.08,39316248291.7,Kohinoor Investment & Securities Pvt. Ltd.,39065592017.08,Kohinoor Investment & Securities Pvt. Ltd.,39065592017.08,39316248291.7,Kohinoor Investment & Securities Pvt. Ltd.,39065592017.08,32713260.40,6542652.01,22245017.02,304368,48355444,67437870.29,13487573.93,53950296.32,8092544.46,45857751.83
Kumari Securities Private Limited,21966071960.8,22782869116.66,Kumari Securities Private Limited,21966071960.8,Kumari Securities Private Limited,21966071960.8,22782869116.66,Kumari Securities Private Limited,21966071960.8,66074705.90,13214941.11,44930800.03,509364,109109937,136400735.94,27280147.05,109120588.90,16368088.42,92752500.53
Linch Stock Market Ltd.,41582494389.41,42732934632.05,Linch Stock Market Ltd.,41582494389.41,Linch Stock Market Ltd.,41582494389.41,42732934632.05,Linch Stock Market Ltd.,41582494389.41,137538989.87,27507797.88,93526513.02,891512,208909401,273727017.88,54745403.39,218981614.43,32847242.22,186134372.25
Machhapuchchhre Securities Limited,2427074943,2574956854.97,Machhapuchchhre Securities Limited,2427074943,Machhapuchchhre Securities Limited,2427074943,2574956854.97,Machhapuchchhre Securities Limited,2427074943,220362087.76,44072417.31,149846219.93,1641977,379372905,447257184.93,89451436.48,357805748.51,53670862.35,304134886.14
Magnet Securities and Investment Company Private Limited,5629301511.9,5353907350.93,Magnet Securities and Investment Company Private Limited,5629301511.9,Magnet Securities and Investment Company Private Limited,5629301511.9,5353907350.93,Magnet Securities and Investment Company Private Limited,5629301511.9,100542808.33,20108561.58,68369109.67,573939,138876772,201333759.44,40266751.81,161067007.68,24160051.10,136906956.38
Malla & Malla Stock Broking Company Pvt. Limited,11477059980.93,12784456472.02,Malla & Malla Stock Broking Company Pvt. Limited,11477059980.93,Malla & Malla Stock Broking Company Pvt. Limited,11477059980.93,12784456472.02,Malla & Malla Stock Broking Company Pvt. Limited,11477059980.93,68849143.89,13769828.66,46817417.97,570040,96366066,139419258.95,27883851.55,111535407.31,16730311.04,94805096.19
Market Securities & Exchange (PVT) Ltd.,11918354761.16,12765764302.13,Market Securities & Exchange (PVT) Ltd.,11918354761.16,Market Securities & Exchange (PVT) Ltd.,11918354761.16,12765764302.13,Market Securities & Exchange (PVT) Ltd.,11918354761.16,76968212.82,15393642.49,52338384.79,641110,113326292,155577357.40,31115471.25,124461886.14,18669282.95,105792603.17
Midas Stock Broking Company Private Limited,26282287981.61,27161337396.5,Midas Stock Broking Company Private Limited,26282287981.61,Midas Stock Broking Company Private Limited,26282287981.61,27161337396.5,Midas Stock Broking Company Private Limited,26282287981.61,53705735.12,10741147.02,36519899.94,440690,83657820,123203865.35,24640772.94,98563092.36,14784463.89,83778628.40
MILKY WAY SHARE BROKER COMPANY LTD ,10360751777.32,9175573646,MILKY WAY SHARE BROKER COMPANY LTD ,10360751777.32,MILKY WAY SHARE BROKER COMPANY LTD ,10360751777.32,9175573646,MILKY WAY SHARE BROKER COMPANY LTD ,10360751777.32,43966784.38,8793356.80,29897413.37,362038,56273689,88584314.72,17716862.85,70867451.86,10630117.84,60237334.05
Miyo Securities Pvt Ltd,15976150135.05,14405544419.2,Miyo Securities Pvt Ltd,15976150135.05,Miyo Securities Pvt Ltd,15976150135.05,14405544419.2,Miyo Securities Pvt Ltd,15976150135.05,123397708.28,24679541.01,83910442.22,712319,156175703,241577965.10,48315592.36,193262372.74,28989355.87,164273016.94
Money World Share Exchange PVT Ltd,72081744.6,55788150.3,Money World Share Exchange PVT Ltd,72081744.6,Money World Share Exchange PVT Ltd,72081744.6,55788150.3,Money World Share Exchange PVT Ltd,72081744.6,133279346.76,26655869.29,90629955.84,772580,159523613,270914952.44,54182990.21,216731962.15,32509794.42,184222167.89
N.M.B. SECURITIES LIMITED,6697200502.6,6504318029.05,N.M.B. SECURITIES LIMITED,6697200502.6,N.M.B. SECURITIES LIMITED,6697200502.6,6504318029.05,N.M.B. SECURITIES LIMITED,6697200502.6,198357316.26,39671463.03,134882975.24,1598078,277687815,396923718.95,79384743.28,317538975.63,47630846.53,269908129.21
Naasa Securities Co. Ltd.,130372331337.31,130047746218.67,Naasa Securities Co. Ltd.,130372331337.31,Naasa Securities Co. Ltd.,130372331337.31,130047746218.67,Naasa Securities Co. Ltd.,130372331337.31,406552813.91,81310562.37,276455913.70,2869251,540698246,813500764.29,162700151.81,650800612.52,97620091.93,553180520.66
Nabil Stock Dealer Ltd.,22057645010.6,18241563381.61,Nabil Stock Dealer Ltd.,22057645010.6,Nabil Stock Dealer Ltd.,22057645010.6,18241563381.61,Nabil Stock Dealer Ltd.,22057645010.6,90182838.23,18036567.55,61324330.03,599923,135118086,179534670.30,35906933.87,143627736.47,21544160.52,122083576.08
Nagarik Stock Dealer ,25439471746.33,25179876375.62,Nagarik Stock Dealer ,25439471746.33,Nagarik Stock Dealer ,25439471746.33,25179876375.62,Nagarik Stock Dealer ,25439471746.33,80747551.65,16149510.30,54908335.10,342506,94167656,160195840.22,32039167.94,128156672.09,19223500.83,108933171.32
Neev Securities Pvt. Ltd.,20368929672.55,21766088054.45,Neev Securities Pvt. Ltd.,20368929672.55,Neev Securities Pvt. Ltd.,20368929672.55,21766088054.45,Neev Securities Pvt. Ltd.,20368929672.55,25090182.69,5018036.60,17061324.19,127018,27769384,48937424.62,9787484.92,39149939.74,5872491.07,33277448.68
Nepal Investment And Securities Trading Private Limited,18973876979.43,19923700430.57,Nepal Investment And Securities Trading Private Limited,18973876979.43,Nepal Investment And Securities Trading Private Limited,18973876979.43,19923700430.57,Nepal Investment And Securities Trading Private Limited,18973876979.43,138844573.91,27768914.70,94414310.26,688492,154122742,267723597.83,53544719.45,214178878.40,32126831.86,182052046.48
Nepal Stock House (PVT) Ltd.,34460631524.78,34961471088.4,Nepal Stock House (PVT) Ltd.,34460631524.78,Nepal Stock House (PVT) Ltd.,34460631524.78,34961471088.4,Nepal Stock House (PVT) Ltd.,34460631524.78,32237281.95,6447456.33,21921351.74,186774,40440438,61856804.57,12371360.93,49485443.68,7422816.53,42062627.16
NIMB Stock Markets Limited,12023132936.31,11817489520.68,NIMB Stock Markets Limited,12023132936.31,NIMB Stock Markets Limited,12023132936.31,11817489520.68,NIMB Stock Markets Limited,12023132936.31,64207435.35,12841487.03,43661056.02,282611,78807047,126013049.35,25202609.81,100810439.49,15121565.88,85688873.71
Online Securities Pvt. Ltd.,69352165181.58,71102992889.79,Online Securities Pvt. Ltd.,69352165181.58,Online Securities Pvt. Ltd.,69352165181.58,71102992889.79,Online Securities Pvt. Ltd.,69352165181.58,112622982.43,22524596.44,76583628.04,395512,124818855,207316988.19,41463397.61,165853590.61,24878038.61,140975551.96
Opal Securities Investment (PVT) Ltd.,28036099278.87,30905285986.16,Opal Securities Investment (PVT) Ltd.,28036099278.87,Opal Securities Investment (PVT) Ltd.,28036099278.87,30905285986.16,Opal Securities Investment (PVT) Ltd.,28036099278.87,51542334.21,10308466.87,35048787.30,273796,59019532,97703559.58,19540711.90,78162847.79,11724427.14,66438420.54
Oxford Securities Pvt. Ltd.,21067627778.67,21581070214.17,Oxford Securities Pvt. Ltd.,21067627778.67,Oxford Securities Pvt. Ltd.,21067627778.67,21581070214.17,Oxford Securities Pvt. Ltd.,21067627778.67,42806872.00,8561374.46,29108672.99,192715,58533609,80791565.77,16158313.19,64633252.65,9694987.96,54938264.78
pahiinvestment,211619882.2,195755008.2,pahiinvestment,211619882.2,pahiinvestment,211619882.2,195755008.2,pahiinvestment,211619882.2,16811440.98,3362288.19,11431779.97,102588,21568097,32751358.44,6550271.81,26201086.77,3930163.09,22270923.79
Prabhu Stock Market Limited,4275557455.9,4092725483,Prabhu Stock Market Limited,4275557455.9,Prabhu Stock Market Limited,4275557455.9,4092725483,Prabhu Stock Market Limited,4275557455.9,36892777.12,7378555.44,25087088.48,153758,41236581,72447861.17,14489572.21,57958288.92,8693743.34,49264545.48
Pragyan Securities (PVT) Ltd.,7333632351.3,8144979941.62,Pragyan Securities (PVT) Ltd.,7333632351.3,Pragyan Securities (PVT) Ltd.,7333632351.3,8144979941.62,Pragyan Securities (PVT) Ltd.,7333632351.3,34549544.80,6909908.98,23493690.50,176531,38868902,67526403.55,13505280.66,54021122.85,8103168.38,45917954.43
Premier Securities Company Ltd.,38535305470.54,40363363933.69,Premier Securities Company Ltd.,38535305470.54,Premier Securities Company Ltd.,38535305470.54,40363363933.69,Premier Securities Company Ltd.,38535305470.54,56088022.32,11217604.43,38139855.17,255861,70638663,112987323.01,22597464.65,90389858.42,13558478.83,76831379.64
Primo Securities (PVT) Ltd.,30813723497.23,30461105702.45,Primo Securities (PVT) Ltd.,30813723497.23,Primo Securities (PVT) Ltd.,30813723497.23,30461105702.45,Primo Securities (PVT) Ltd.,30813723497.23,61047315.32,12209463.07,41512174.46,236841,53225248,116092646.83,23218529.40,92874117.52,13931117.69,78942999.87
Property Wiard Limited,13542626928.61,12028145653.23,Property Wiard Limited,13542626928.61,Property Wiard Limited,13542626928.61,12028145653.23,Property Wiard Limited,13542626928.61,242055.71,48411.19,164597.86,2178,240674,425447.32,85089.49,340357.78,51053.64,289304.10
R.B.B. Securities Company Ltd,2262316758.9,2103562637.6,R.B.B. Securities Company Ltd,2262316758.9,R.B.B. Securities Company Ltd,2262316758.9,2103562637.6,R.B.B. Securities Company Ltd,2262316758.9,49361141.07,9872228.27,33565576.00,241657,54370939,97344584.13,19468916.85,77875667.39,11681350.19,66194317.22
Roadshow securities limited,6079064559.7,5468133465,Roadshow securities limited,6079064559.7,Roadshow securities limited,6079064559.7,5468133465,Roadshow securities limited,6079064559.7,38127966.05,7625593.22,25927016.87,167404,41240066,75336533.48,15067306.72,60269226.74,9040384.06,51228842.74
S.P.S.A. Securities Limited,5167898173.21,5189453294.67,S.P.S.A. Securities Limited,5167898173.21,S.P.S.A. Securities Limited,5167898173.21,5189453294.67,S.P.S.A. Securities Limited,5167898173.21,7719589.56,1543917.96,5249320.81,49321,9125024,15761474.88,3152295.01,12609179.95,1891376.94,10717802.96
Sagarmatha Securities Private Limited,8089595879.08,7775558176.78,Sagarmatha Securities Private Limited,8089595879.08,Sagarmatha Securities Private Limited,8089595879.08,7775558176.78,Sagarmatha Securities Private Limited,8089595879.08,69225204.30,13845040.96,47073138.91,287705,70627708,126522427.73,25304485.50,101217942.18,15182691.38,86035250.84
Sajilo Broker Limited,2507379369.58,2377033345.66,Sajilo Broker Limited,2507379369.58,Sajilo Broker Limited,2507379369.58,2377033345.66,Sajilo Broker Limited,2507379369.58,7580946.76,1516189.25,5155043.86,38200,15595142,14654142.15,2930828.40,11723313.68,1758497.08,9964816.70
Sani Securities Company Ltd.,73339619806.99,73116099302.61,Sani Securities Company Ltd.,73339619806.99,Sani Securities Company Ltd.,73339619806.99,73116099302.61,Sani Securities Company Ltd.,73339619806.99,701952.87,140390.61,477328.01,8469,976534,1350146.07,270029.20,1080116.92,162017.56,918099.30
Sanima Securities Limited,5462785545.1,5259908818.41,Sanima Securities Limited,5462785545.1,Sanima Securities Limited,5462785545.1,5259908818.41,Sanima Securities Limited,5462785545.1,25690028.95,5138005.78,17469219.80,135830,29755784,48358313.97,9671662.76,38686651.32,5802997.69,32883653.59
Secured Securities Ltd.,26520808795.7,26772237932.27,Secured Securities Ltd.,26520808795.7,Secured Securities Ltd.,26520808795.7,26772237932.27,Secured Securities Ltd.,26520808795.7,51159156.43,10231831.29,34788226.40,201286,62412664,97235583.68,19447116.62,77788466.89,11668270.02,66120196.89
Sewa Securities Pvt. Ltd.,13482760883.65,13721566144.09,Sewa Securities Pvt. Ltd.,13482760883.65,Sewa Securities Pvt. Ltd.,13482760883.65,13721566144.09,Sewa Securities Pvt. Ltd.,13482760883.65,21206188.40,4241237.69,14420208.10,84046,25346297,41676792.94,8335358.58,33341434.36,5001215.20,28340219.29
Sharepro Securities Private Limited,36960668313.22,30890470719.47,Sharepro Securities Private Limited,36960668313.22,Sharepro Securities Private Limited,36960668313.22,30890470719.47,Sharepro Securities Private Limited,36960668313.22,17492188.53,3498437.72,11894688.23,79968,27277117,34202167.17,6840433.39,27361733.73,4104260.04,23257473.68
Shree Krishna Securities Ltd.,39948470102.03,40146962487.63,Shree Krishna Securities Ltd.,39948470102.03,Shree Krishna Securities Ltd.,39948470102.03,40146962487.63,Shree Krishna Securities Ltd.,39948470102.03,32056072.48,6411214.45,21798129.26,129792,58997700,60787975.70,12157595.13,48630380.68,7294557.10,41335823.53
SHUBHAKAMANA SECURITIES PVT. LTD,17568029688.08,18079109169.7,SHUBHAKAMANA SECURITIES PVT. LTD,17568029688.08,SHUBHAKAMANA SECURITIES PVT. LTD,17568029688.08,18079109169.7,SHUBHAKAMANA SECURITIES PVT. LTD,17568029688.08,23766280.13,4753256.07,16161070.49,109604,29849614,45657355.74,9131471.12,36525884.67,5478882.77,31047001.93
Sipla Securities Private Limited,12962774979.54,12225406767.65,Sipla Securities Private Limited,12962774979.54,Sipla Securities Private Limited,12962774979.54,12225406767.65,Sipla Securities Private Limited,12962774979.54,20974009.49,4194801.93,14262326.51,104576,25785419,40566596.86,8113319.33,32453277.48,4867991.63,27585285.79
Siprabi Securities Pvt. Ltd.,24596910218.05,26495339520.23,Siprabi Securities Pvt. Ltd.,24596910218.05,Siprabi Securities Pvt. Ltd.,24596910218.05,26495339520.23,Siprabi Securities Pvt. Ltd.,24596910218.05,16559578.40,3311915.68,11260513.21,85693,17715867,33058954.24,6611790.81,26447163.44,3967074.44,22480088.82
South Asian Bulls Pvt. Ltd.,25882209292.69,27629474143.38,South Asian Bulls Pvt. Ltd.,25882209292.69,South Asian Bulls Pvt. Ltd.,25882209292.69,27629474143.38,South Asian Bulls Pvt. Ltd.,25882209292.69,37073425.96,7414685.18,25209929.61,179491,41522756,75084619.29,15016923.86,60067695.42,9010154.36,51057541.17
Sri Hari Securities Pvt. Ltd.,41959944606.3,43259074839.54,Sri Hari Securities Pvt. Ltd.,41959944606.3,Sri Hari Securities Pvt. Ltd.,41959944606.3,43259074839.54,Sri Hari Securities Pvt. Ltd.,41959944606.3,7983904.77,1596780.98,5429055.21,40501,9998415,16193362.11,3238672.45,12954689.74,1943203.53,11011486.32
