Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
13,Nabil Bank Limited,,,,,,NABIL,270569984,,100,27057,14749969,10643.21,,187879,930,574.3,599.2,721.575175,236,162125.53
14,Nepal Bangladesh Bank Limited,,,,,,NBB,0,,100,0,0,0,,0,399,399,100,0,0,0
15,Nepal Bank Limited,,,,,,NBL,146940224,,100,14694.02,12878693,3508.16,,65359,317.5,240,249,272.400627,236,36588.12
16,Nepal Credit And Commercial Bank Limited,,,,,,NCCB,0,,100,0,6604555,1336.69,,19731,220,175.7,100,202.38921,77,0
17,Nepal Investment Mega Bank Limited,,,,,,NIMB,341285949,,100,34128.59,10217361,1982.84,,48793,278.4,170.1,173.8,194.065759,129,59315.5
18,Nepal SBI Bank Limited,,,,,,SBI,101206288,,100,10120.63,6995331,2199.96,,23155,378.4,251,341,314.489627,236,34511.34
19,NIC Asia Bank Ltd.,,,,,,NICA,115640056,,100,11564.01,13611265,10037.6,,100591,861.9,600.3,793.8,737.44781,236,91795.08
20,NMB Bank Limited,,,,,,NMB,183667060,,100,18366.71,9683083,2279.74,,45587,277,215,226,235.435501,236,41508.76
21,Prabhu  Bank Limited,,,,,,PRVU,235424899,,100,23542.49,15840512,2958.61,,78222,234.9,155,162.6,186.775136,236,38280.09
22,Prime Commercial Bank Ltd.,,,,,,PCBL,194025759,,100,19402.58,13158542,2895.33,,66456,271.9,186,195,220.034535,236,37835.02
23,Sanima Bank Limited,,,,,,SANIMA,124601152,,100,12460.12,9608945,2418.45,,47069,280,222,260.5,251.687716,236,32458.6
24,Siddhartha Bank Limited,,,,,,SBL,140899802,,100,14089.98,8350082,2394.76,,44695,348,238,253,286.79423,236,35647.65
25,Standard Chartered Bank Limited,,,,,,SCB,94294539,,100,9429.45,6170345,3039.89,,38082,572,387,530.1,492.661029,236,49985.54
26,Sunrise Bank Limited,,,,,,SRBL,101188929,,100,10118.89,6616435,1285.99,,26161,226.5,167.7,173.1,194.363623,235,17515.8
TOTAL,,,,,,,,3487872444,,,348787.25,217240584,66858.17,,1176717,,,,,,953494.7000000001
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Development Banks,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
27,Corporate Development Bank Limited,,,,,,CORBL,5250000,,100,525,1440831,457.72,,12588,392.1,243.2,350,317.676281,236,1837.5
28,Excel Development Bank Ltd.,,,,,,EDBL,12496945,,100,1249.69,4532391,1517.82,,21453,442.8,266.4,325.4,334.883477,236,4066.51
29,Garima Bikas Bank Limited,,,,,,GBBL,51876872,,100,5187.69,7210998,2743.7,,48495,435.4,330,405,380.488292,236,21010.13
30,Green Development Bank Ltd.,,,,,,GRDBL,5190000,,100,519,1658741,445.19,,12331,330,220.8,306,268.391902,236,1588.14
31,Jyoti Bikas Bank Limited,,,,,,JBBL,43957860,,100,4395.79,9688465,2905.7,,55042,359,249.1,298,299.913356,236,13099.44
32,Kamana Sewa Bikas Bank Limited,,,,,,KSBBL,32811648,,100,3281.16,7244848,2448.48,,43531,424,275,327,337.961178,236,10729.41
33,Karnali Development Bank Limited,,,,,,KRBL,5300100,,100,530.01,3932847,1065.78,,20554,339,206,282,270.993687,236,1494.63
34,Lumbini Bikas Bank Ltd.,,,,,,LBBL,33828213,,100,3382.82,9667106,3645.24,,48772,450,305,413,377.076952,236,13971.05
35,Mahalaxmi Bikas Bank Ltd.,,,,,,MLBL,41713186,,100,4171.32,9476880,3392.43,,54468,446,281,325.5,357.969356,236,13577.64
36,Miteri Development Bank Limited,,,,,,MDB,10150015,,100,1015,2741267,1074.98,,15138,447,341.5,404.1,392.14891,236,4101.62
37,Muktinath Bikas Bank Ltd.,,,,,,MNBBL,64209004,,100,6420.9,6101437,2584.83,,51969,505.1,377.2,407,423.642228,236,26133.06
38,Narayani Development Bank Limited,,,,,,NABBC,2624676,,100,262.47,1008551,428.03,,7966,513.7,336,414,424.39898,234,1086.62
39,Saptakoshi Development Bank Ltd,,,,,,SAPDBL,8343385,,100,834.34,2302491,580.01,,15007,305,202,258,251.906367,236,2152.59
40,Shangrila Development Bank Ltd.,,,,,,SADBL,32675918,,100,3267.59,7218087,2324.22,,30411,367.2,263.5,322,321.999813,236,10521.65
41,Shine Resunga Development Bank Ltd.,,,,,,SHINE,42838833,,100,4283.88,11257244,3843.67,,53669,399.5,270.3,384,341.439894,236,16450.11
42,Sindhu Bikash Bank Ltd,,,,,,SINDU,5574561,,100,557.46,2199956,629.09,,12162,347.8,227.7,279,285.954411,236,1555.3
TOTAL,,,,,,,,398841216,,,39884.12,87682140,30086.889999999996,,503556,,,,,,143375.39999999997
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
43,Best Finance Company Ltd.,,,,,,BFC,8548167,,100,854.82,3382835,1225.65,,24820,475,287,353,362.315664,236,3017.5
44,Capital Merchant Bank & Finance Co. Ltd.,,,,,,CMB,9350695,,100,935.07,0,0,,0,140,140,140,0,0,1309.1
45,Central Finance Co. Ltd.,,,,,,CFCL,9488756,,100,948.88,4699911,1641.06,,31509,423,275.5,393,349.168541,233,3729.08
46,Crystal Finance Ltd.,,,,,,CFL,700000,,100,70,0,0,,0,117,117,117,0,0,81.9
47,Goodwill Finance Limited,,,,,,GFCL,9461152,,100,946.12,3756128,1905.94,,24245,634,405.1,483,507.422405,236,4569.74
48,Guheshowori Merchant Bank & Finance Co. Ltd.,,,,,,GMFIL,10121760,,100,1012.18,3557447,1277.27,,18369,424,277,396.8,359.040189,236,4016.31
49,Gurkhas Finance Ltd.,,,,,,GUFL,8679937,,100,867.99,8704381,4914.74,,60406,715,454,560,564.628275,236,4860.76
50,Himalayan Finance Limited (Bittiya Sanstha),,,,,,HFL,1400000,,100,140,0,0,,0,18,18,18,0,0,25.2
51,ICFC Finance Limited,,,,,,ICFC,11834710,,100,1183.47,7593222,3708.07,,56322,585,391,525,488.338875,236,6213.22
52,Janaki Finance Company Limited,,,,,,JFL,6904728,,100,690.47,3297180,1366.51,,24634,527,332.2,409,414.448168,236,2824.03
53,Manjushree Finance Ltd.,,,,,,MFIL,13515529,,100,1351.55,5378118,2531.68,,46141,587,367.1,550,470.737585,236,7433.54
54,Multipurpose Finance Company  Limited,,,,,,MPFL,4520000,,100,452,3619009,1221.29,,20007,414,237.2,381.1,337.465784,234,1722.57
55,Nepal Finance Ltd.,,,,,,NFS,8389439,,100,838.94,6968376,2164.01,,42703,390,238,351,310.547563,236,2944.69
56,Nepal Share Markets Ltd.,,,,,,NSM,4320000,,100,432,0,0,,0,174,174,174,0,0,751.68
57,Pokhara Finance Ltd.,,,,,,PFL,10825567,,100,1082.56,3175043,1253.05,,25489,470,307,398,394.656997,236,4308.58
58,Progressive Finance Limited,,,,,,PROFL,8561070,,100,856.11,5433761,1851.59,,30404,465,233,408.9,340.755744,236,3500.62
59,Reliance Finance Ltd.,,,,,,RLFL,11214518,,100,1121.45,5709976,1971.27,,31512,404,268,385.9,345.232229,236,4327.68
60,Samjhana Finance Co. Ltd.,,,,,,SFC,225000,,100,22.5,0,0,,0,230,230,230,0,0,51.75
61,Samriddhi Finance Company Limited,,,,,,SFCL,8189114,,100,818.91,7652807,2305.83,,43641,375,215.7,323,301.304964,236,2645.08
62,Shree Investment Finance Co. Ltd.,,,,,,SIFC,9816832,,100,981.68,3857778,1341.78,,21949,408.5,273.1,375,347.811624,236,3681.31
TOTAL,,,,,,,,156066974,,,15606.7,76785972,30679.739999999998,,502151,,,,,,62014.340000000004
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hotels And Tourism,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
63,Chandragiri Hills Limited,,,,,,CGH,15340910,,100,1534.09,881926,1054.66,,18706,1487,940,1280,1195.861746,236,19636.36
64,City Hotel Limited,,,,,,CITY,16740000,,100,1674,632199,422.13,,39102,744,111.1,680.1,667.709237,25,11384.87
65,Kalinchowk Darshan Limited,,,,,,KDL,6000000,,100,600,1121951,973.73,,37320,1102,134.4,934,867.892043,78,5604
66,Oriental Hotels Limited,,,,,,OHL,11280905,,100,1128.09,2918597,1864.58,,18755,842,413.8,799,638.862869,236,9013.44
67,Soaltee Hotel Limited,,,,,,SHL,88471506,,10,884.72,19053292,6769.69,,57813,536,191.8,485,355.30269,236,42908.68
68,Taragaon Regency Hotel Limited,,,,,,TRH,18866540,,100,1886.65,5356410,2935.96,,26987,890.5,310,790.3,548.120827,236,14910.23
69,Yak And Yeti Hotel Limited,,,,,,YHL,2209208,,100,220.92,0,0,,0,600,600,600,0,0,1325.52
TOTAL,,,,,,,,158909069,,,7928.47,29964375,14020.75,,198683,,,,,,104783.1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hydro Power,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
70,Ankhu Khola Jalvidhyut Company Ltd,,,,,,AKJCL,8000000,,100,800,11293150,2476.22,,56653,262,159.8,192.5,219.267799,236,1540
71,Api Power Company Ltd.,,,,,,API,57865979,,100,5786.6,33338663,8549.45,,157726,315,192,197,256.442568,236,11399.6
72,Arun Kabeli Power Ltd.,,,,,,AKPL,40814632,,100,4081.46,15542947,6376.43,,84579,519,220,234.5,410.245988,236,9571.03
73,Arun Valley Hydropower Development Co. Ltd.,,,,,,AHPC,18679626,,100,1867.96,18340993,5809.69,,76639,408,240.5,255,316.759928,236,4763.3
74,Asian Hydropower Limited,,,,,,AHL,3400000,,100,340,591085,223.95,,20820,480.9,298.8,330,378.873455,78,1122
75,Balephi Hydropower Limited,,,,,,BHL,18279700,,100,1827.97,2274574,707.11,,40387,397,225.4,260,310.876921,236,4752.72
76,Barahi Hydropower Public Limited,,,,,,BHPL,2500000,,100,250,732553,385.2,,21379,677.2,194.3,454.5,525.832048,124,1136.25
77,Barun Hydropower Co. Ltd.,,,,,,BARUN,5358150,,100,535.82,5115743,1349.91,,31788,449,190.3,249,263.87345,236,1334.18
78,Bhugol Energy Development Company Limited,,,,,,BEDC,5440534,,100,544.05,432194,116.47,,22367,326.3,202.8,232.2,269.480731,26,1263.29
79,Bindhyabasini Hydropower Development Company Limited,,,,,,BHDC,10500000,,100,1050,1685738,697.35,,45953,520,310,390,413.674344,226,4095
80,Buddha Bhumi Nepal Hydropower Company Limited,,,,,,BNHC,4000000,,100,400,836221,339.06,,13800,484.7,312,335,405.467713,235,1340
81,Butwal Power Company Limited,,,,,,BPCL,34090646,,100,3409.06,2981079,980.43,,27021,377,288,330.5,328.884221,236,11266.96
82,Chhyangdi Hydropower Ltd.,,,,,,CHL,3869775,,100,386.98,3541338,1048.64,,21474,370,193.1,264,296.113681,236,1021.62
83,Chilime Hydropower Company Limited,,,,,,CHCL,72581795,,100,7258.18,7120242,3405.85,,44346,594,350.1,536.7,478.333919,236,38954.65
84,Dibyashwori Hydropower Ltd.,,,,,,DHPL,2640000,,100,264,2469133,531.02,,16318,262,160.1,185,215.063944,236,488.4
85,Dolti Power Company Limited,,,,,,DOLTI,5364860,,100,536.49,461771,125.36,,21858,311,222,228,271.473337,26,1223.19
86,Dordi Khola Jal Bidyut Company Limited,,,,,,DORDI,10542604,,100,1054.26,3084144,949.49,,59833,408,217,245,307.861176,236,2582.94
87,Eastern Hydropower Limited,,,,,,EHPL,6200000,,100,620,722112,279.39,,20973,508,216,311,386.900028,138,1928.2
88,Ghalemdi Hydro Limited,,,,,,GHL,5500000,,100,550,8398354,2059.54,,43062,309,164.2,222,245.230875,236,1221
89,Green Ventures Limited,,,,,,GVL,31250000,,100,3125,4991560,1997.24,,69813,511,272,385,400.124358,236,12031.25
90,GreenLife Hydropower Limited,,,,,,GLH,18000000,,100,1800,3044504,916.99,,26726,377,219,255.5,301.194715,236,4599
91,Himal Dolakha Hydropower Company Limited,,,,,,HDHPC,28000000,,100,2800,28307382,5850.78,,90905,280.3,142.1,152,206.6875,234,4256
92,Himalaya Urja Bikas Company Limited,,,,,,HURJA,9900000,,100,990,3724882,1168.72,,19229,443.4,190.5,274,313.760205,236,2712.6
93,Himalayan Hydropower Limited,,,,,,HHL,10950000,,100,1095,2816519,795.97,,58844,362.1,202,249,282.606471,217,2726.55
94,Himalayan Power Partner Ltd.,,,,,,HPPL,10654170,,100,1065.42,5742433,1734.17,,21708,418,217.6,285.9,301.991996,236,3046.03
95,Ingwa Hydropower Limited,,,,,,IHL,6000000,,100,600,334267,100.41,,20565,352.9,246.2,257,300.378593,18,1542
96,Joshi Hydropower Development Company Ltd,,,,,,JOSHI,3714000,,100,371.4,6567167,1681.26,,36377,318,168,269,256.009669,236,999.07
97,Kalika power Company Ltd,,,,,,KPCL,7935000,,100,793.5,1224009,463.97,,11524,439.3,289,355,379.055375,235,2816.93
98,Khanikhola Hydropower Co. Ltd.,,,,,,KKHC,4657143,,100,465.71,2311430,531.09,,17098,288,163.8,203.6,229.766147,236,948.19
99,Liberty Energy Company Limited,,,,,,LEC,15000000,,100,1500,2866055,753.83,,21093,318,203.8,244.5,263.019087,236,3667.5
100,Madhya Bhotekoshi Jalavidyut Company Limited,,,,,,MBJC,60000000,,100,6000,5784625,1693.22,,96904,363,197,295.1,292.709635,236,17706
101,Mai Khola Hydropower Limited,,,,,,MKHL,3921568,,100,392.16,761657,225.43,,26987,335,268.1,276.1,295.972486,41,1082.74
102,Mailung Khola Jal Vidhyut Company Limited,,,,,,MKJC,3681430,,100,368.14,1067084,489.17,,13894,582.4,354,392,458.413745,236,1443.12
103,Makar Jitumaya Suri Hydropower Limited,,,,,,MAKAR,7600000,,100,760,764902,216.92,,30237,351,230,273.1,283.593027,48,2075.56
104,Mandakini Hydropower Limited,,,,,,MHL,5880369,,100,588.04,1373077,504.11,,34568,436,237.3,303,367.138432,210,1781.75
105,Maya Khola Hydropower Company Limited,,,,,,MKHC,10000000,,100,1000,1128211,311.03,,39338,367.5,217,233.5,275.680021,79,2335
106,Menchhiyam Hydropower Limited,,,,,,MCHL,5425833,,100,542.58,219938,55.41,,12557,297.8,220.3,226,251.939712,20,1226.24
107,Modi Energy Limited,,,,,,MEL,29000000,,100,2900,688932,149.3,,38296,275.4,197.9,207.5,216.712517,8,6017.5
108,Molung Hydropower Company Limited,,,,,,MHCL,8025000,,100,802.5,1142560,264.44,,39508,274.4,141,209.4,231.445617,63,1680.43
109,Mountain Energy Nepal Limited,,,,,,MEN,19680270,,100,1968.03,948797,801.53,,12378,1040,692,995,844.784689,236,19581.87
110,Mountain Hydro Nepal Limited,,,,,,MHNL,12500000,,100,1250,6596639,1929.06,,27545,356.9,212,238,292.430676,236,2975
111,National Hydro Power Company Limited,,,,,,NHPC,24000000,,100,2400,21620056,5126.9,,88449,297.8,165.1,177.9,237.136306,236,4269.6
112,Nepal Hydro Developers Ltd.,,,,,,NHDL,3359265,,100,335.93,2363471,908.51,,14857,432,294,377,384.396965,236,1266.44
113,Ngadi Group Power Ltd.,,,,,,NGPL,18512792,,100,1851.28,19764588,5278.23,,93179,340,185.2,233.9,267.0548,236,4330.14
114,Nyadi Hydropower Limited,,,,,,NYADI,15000000,,100,1500,1220378,392.3,,22783,400,250.1,261.1,321.454098,236,3916.5
115,Panchakanya Mai Hydropower Ltd,,,,,,PMHPL,11000000,,100,1100,2775665,663.1,,15995,288.2,168,204,238.898433,236,2244
116,Panchthar Power Compant Limited,,,,,,PPCL,9625000,,100,962.5,5206589,1716.95,,23707,389.3,252,269,329.764334,236,2589.13
117,People's Power Limited,,,,,,PPL,6326000,,100,632.6,2507087,684.42,,61793,336,190,249,272.994467,172,1575.17
118,Peoples Hydropower Company Limited,,,,,,PHCL,32000000,,100,3200,5693766,1875.48,,147804,416.1,196.9,335,329.39106,138,10720
119,Radhi Bidyut Company Ltd,,,,,,RADHI,16759799,,100,1675.98,9343902,2855.7,,61095,680.3,195.3,234,305.621818,236,3921.79
120,Rairang Hydropower Development Company Ltd.,,,,,,RRHP,0,,100,0,0,0,,0,563.1,563.1,100,0,0,0
121,Rapti Hydro And General Construction Limited,,,,,,RHGCL,6127938,,100,612.79,3085118,905.77,,64039,406,191.6,247,293.593425,199,1513.6
122,RASUWAGADHI HYDROPOWER COMPANY LIMITED,,,,,,RHPL,61578900,,100,6157.89,7226684,2130.55,,39515,371,210,300,294.817219,236,18473.67
123,Rawa Energy Development Limited,,,,,,RAWA,2800000,,100,280,153294,53.59,,9055,415,249.3,353.2,349.594592,8,988.96
124,Ridi Power Company Limited,,,,,,RIDI,15489012,,100,1548.9,17781051,8414.1,,99315,838,234.4,243,473.206263,204,3763.83
125,River Falls Power Limited,,,,,,RFPL,7000000,,100,700,3304615,908.31,,63695,325,204.5,250,274.861551,236,1750
126,Ru Ru Jalbidhyut Pariyojana Limited,,,,,,RURU,4933237,,100,493.32,286279,229.74,,7034,1133.8,665.1,778.1,802.490582,236,3838.55
127,Sagarmatha Jalabidhyut Company Limited,,,,,,SMJC,11200000,,100,1120,2036327,572.07,,71381,367.4,233.2,250,280.93341,63,2800
128,Sahas Urja Limited,,,,,,SAHAS,35000000,,100,3500,4340366,2282.33,,72971,616,402,483.9,525.837921,236,16936.5
129,Samling Power Company Limited,,,,,,SPC,5000000,,100,500,1296162,621.92,,17704,664,362,403.5,479.815071,231,2017.5
130,Sanima Mai Hydropower Ltd.,,,,,,SHPC,30892510,,100,3089.25,14202730,4688.11,,57240,403,250,355,330.084973,236,10966.84
131,Sanima Middle Tamor Hydropower Limited,,,,,,TAMOR,33325000,,100,3332.5,3004553,909.8,,97117,342,255,285,302.808616,66,9497.63
132,SANJEN JALAVIDHYUT COMPANY LIMITED,,,,,,SJCL,32850000,,100,3285,4192193,1243.5,,28929,359,210,296.9,296.622886,236,9753.17
133,Sayapatri Hydropower Limited,,,,,,SPHL,900000,,100,90,730499,295.1,,19539,520.2,194.8,365,403.975539,171,328.5
134,Shiva Shree Hydropower Ltd,,,,,,SSHL,14764000,,100,1476.4,16228744,3572.93,,56266,290,155.1,182.6,220.160337,236,2695.91
135,Shuvam Power Limited,,,,,,SPL,2000000,,100,200,575925,346.89,,20265,814.8,265,810,602.320044,88,1620
136,Sikles Hydropower Limited,,,,,,SIKLES,8500000,,100,850,1267980,533.35,,34651,510,315.5,387,420.629424,156,3289.5
137,Singati Hydro Energy Limited,,,,,,SHEL,14500000,,100,1450,1768890,554.6,,22202,403.9,210,280,313.532768,236,4060
138,Super Madi Hydropower Limited,,,,,,SMHL,21000000,,100,2100,1652909,671.24,,49562,506,299,422,406.094051,89,8862
139,Super Mai Hydropower Limited,,,,,,SMH,5000000,,100,500,375379,210.51,,15151,629.6,391,564.8,560.801841,76,2824
140,Swet-Ganga Hydropower & Construction Limited ,,,,,,SGHC,15930000,,100,1593,2926000,939.03,,64582,411.6,202.1,262.7,320.926806,210,4184.81
141,Synergy Power Development Ltd.,,,,,,SPDL,8065750,,100,806.58,6277407,1938.41,,30933,386,234,250.1,308.792156,236,2017.24
142,Terhathum Power Company Limited,,,,,,TPC,4000000,,100,400,1058134,446.89,,14251,553,303.9,363,422.338582,236,1452
143,Union Hydropower Limited,,,,,,UNHPL,7500000,,100,750,7418217,1702.48,,33268,280,166.6,196,229.50027,236,1470
144,United IDI Mardi RB Hydropower Limited.,,,,,,UMRH,4200000,,100,420,1863938,1075.63,,17428,849.9,390,434.1,577.071338,236,1823.22
145,United Modi Hydropower Ltd.,,,,,,UMHL,12305000,,100,1230.5,12538283,3324.31,,50331,334,205,213,265.132519,236,2620.97
146,UNIVERSAL POWER COMPANY LTD,,,,,,UPCL,21003500,,100,2100.35,21220460,5252.55,,80214,295,197,219,247.522787,236,4599.77
147,Upper Hewakhola Hydropower Company Limited,,,,,,UHEWA,5000000,,100,500,1914731,753.35,,45666,481,130.2,297.7,393.451608,214,1488.5
148,Upper Solu Hydro Electric Company Limited,,,,,,USHEC,13500000,,100,1350,1954819,649.73,,52345,431.9,237,256.8,332.370994,210,3466.8
149,Upper Tamakoshi Hydropower Ltd,,,,,,UPPER,105900000,,100,10590,13475837,6458.71,,93996,590,354,426.8,479.280774,236,45198.12
TOTAL,,,,,,,,1274250787,,,127425.08,426021690,130231.70000000004,,3451377,,,,,,407389.0199999999
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Investment,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
150,CEDB Hydropower Development Company Limited,,,,,,CHDC,8394100,,100,839.41,2318060,1785.42,,30447,954,590,904,770.2212,236,7588.27
151,Citizen Investment Trust,,,,,,CIT,53137504,,100,5313.75,2945239,6706.37,,69054,3072,1780,2089,2277.019222,236,111004.25
152,Emerging Nepal Limited,,,,,,ENL,5556000,,100,555.6,591990,412.73,,11240,869,535,696,697.194067,236,3866.98
153,Hydorelectricity Investment and Development Company Ltd,,,,,,HIDCL,227757994,,100,22775.8,24358166,4875.08,,134719,245,159.8,184,200.141348,236,41907.47
154,Nepal Infrastructure Bank Limited,,,,,,NIFRA,216000000,,100,21600,22874841,5132.48,,174719,269.2,176.9,224,224.372307,236,48384
155,NRN Infrastructure and Development Limited,,,,,,NRN,12232117,,100,1223.21,2960400,1463.73,,27227,580,385,513,494.435827,236,6275.08
TOTAL,,,,,,,,523077715,,,52307.77,56048696,20375.81,,447406,,,,,,219026.05
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Life Insurance,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
156,Asian Life Insurance Co. Limited,,,,,,ALICL,31553006,,100,3155.3,7936380,5133.01,,48343,812,428,745.1,646.769547,236,23510.14
157,Gurans Life Insurance Company Ltd.,,,,,,GLICL,0,,100,0,1293353,547.21,,8274,489,340.1,100,423.097391,63,0
158,Himalayan Life Insurance Limited,,,,,,HLI,80203836,,100,8020.38,6262935,3222.83,,36630,574,340,507,514.588048,79,40663.34
159,Jyoti Life Insurance Company Limited,,,,,,JLI,0,,100,0,0,0,,0,351.9,351.9,100,0,0,0
160,Life Insurance Corporation (Nepal) Limited,,,,,,LICN,26532000,,100,2653.2,2416500,3540.29,,27128,1800,1183,1555,1465.049014,236,41257.26
161,National Life Insurance Co. Ltd.,,,,,,NLICL,50116666,,100,5011.67,5619010,3405.67,,39454,705,492,645,606.097702,236,32325.25
